word_key,syllables,phoneme_hint,grapheme_notes,stress_pattern,has_schwa,morphemes,morphology_notes,irregularity_notes,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status
colour_en_gb,2,/ˈkʌlə/,Approved Base Word family release pronunciation metadata.,first,TRUE,colour,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
colourful_en_gb,3,/ˈkʌləfəl/,Approved Base Word family release pronunciation metadata.,first,TRUE,colour + ful → colourful,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
colourless_en_gb,3,/ˈkʌlələs/,Approved Base Word family release pronunciation metadata.,first,TRUE,colour + less → colourless,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
immigrant_en_gb,3,/ˈɪmɪɡrənt/,Approved Base Word family release pronunciation metadata.,first,TRUE,im + migrant → immigrant,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
lock_en_gb,1,/lɒk/,Approved Base Word family release pronunciation metadata.,single,FALSE,lock,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
locking_en_gb,2,/ˈlɒkɪŋ/,Approved Base Word family release pronunciation metadata.,first,FALSE,lock + ing → locking,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
migrant_en_gb,2,/ˈmaɪɡrənt/,Approved Base Word family release pronunciation metadata.,first,TRUE,migrant,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
misplace_en_gb,2,/mɪsˈpleɪs/,Approved Base Word family release pronunciation metadata.,second,FALSE,mis + place → misplace,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
painter_en_gb,2,/ˈpeɪntə/,Approved Base Word family release pronunciation metadata.,first,TRUE,paint + er → painter,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
painting_en_gb,2,/ˈpeɪntɪŋ/,Approved Base Word family release pronunciation metadata.,first,FALSE,paint + ing → painting,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
replace_en_gb,2,/rɪˈpleɪs/,Approved Base Word family release pronunciation metadata.,second,FALSE,re + place → replace,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
sweetly_en_gb,2,/ˈswiːtli/,Approved Base Word family release pronunciation metadata.,first,FALSE,sweet + ly → sweetly,See the reviewed Base Word family authority for the lesson morphology projection.,,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure
