"case_id","family","source_text","focus_surface","start_utf16","end_utf16","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","confidence","rationale"
"g2-its-its-0226","ITS_ITS","The note arrived on a windy Tuesday. The school kept it's book near the entrance. Weather and whether were discussed as an unrelated near-homophone pair.","it's","53","57","","","","","",""
"g2-its-its-0142","ITS_ITS","After lunch, everyone returned quietly. The machine kept its teacher near the entrance. The sentence stood on its own in the draft.","its","57","60","","","","","",""
"g2-its-its-0258","ITS_ITS","The science group compared yesterday's notes. its been useful since early morning. The author was describing a real event.","its","46","49","","","","","",""
"g2-its-its-0221","ITS_ITS","its awake beside the open window. Weather and whether were discussed as an unrelated near-homophone pair.","its","0","3","","","","","",""
"g2-its-its-0249","ITS_ITS","The youngest pupil reread the instructions. its been kind since early morning. The author was describing a real event.","its","44","47","","","","","",""
"g2-its-its-0065","ITS_ITS","it's delighted beside the open window. The next page contained a different example.","it's","0","4","","","","","",""
"g2-its-its-0143","ITS_ITS","it's delighted beside the open window. The sentence stood on its own in the draft.","it's","0","4","","","","","",""
"g2-its-its-0127","ITS_ITS","Before rehearsal, the group counted slowly. The boat kept Its shells near the entrance. No answer choices were visible.","Its","58","61","","","","","",""
"g2-its-its-0339","ITS_ITS","A small crowd waited near the noticeboard. Zoe copied “its” onto a vocabulary card. The short line came from an imperfect first draft.","its","55","58","","","","","",""
"g2-its-its-0239","ITS_ITS","A small crowd waited near the noticeboard. Its curious beside the open window. Weather and whether were discussed as an unrelated near-homophone pair.","Its","43","46","","","","","",""
"g2-its-its-0366","ITS_ITS","The note arrived on a windy Tuesday. Omar wrote quickly the lights went out it's the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","it's","76","80","","","","","",""
"g2-its-its-0371","ITS_ITS","After the long journey, nobody hurried. Sam wrote quickly the lights went out Its the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","Its","78","81","","","","","",""
"g2-its-its-0043","ITS_ITS","The rain stopped before the gate opened. The dog kept Its friend near the entrance. A partner checked the line once more.","Its","54","57","","","","","",""
"g2-its-its-0388","ITS_ITS","In the kitchen, a timer clicked twice. In the unseen picture, the label beside the arrow might be it's. The writer had not yet revised the response.","it's","98","102","","","","","",""
"g2-its-its-0200","ITS_ITS","The final clue appeared beneath a blue card. its tired beside the open window. The class discussed why context mattered.","its","45","48","","","","","",""
"g2-its-its-0004","ITS_ITS","During art club, the tables stayed busy. The boat kept its tickets near the entrance. Nobody changed the original wording.","its","55","58","","","","","",""
"g2-its-its-0299","ITS_ITS","its awake beside the open window. A second reader interpreted the passage independently.","its","0","3","","","","","",""
"g2-its-its-0300","ITS_ITS","The final clue appeared beneath a blue card. its been brilliant since early morning. A second reader interpreted the passage independently.","its","45","48","","","","","",""
"g2-its-its-0295","ITS_ITS","Once the music ended, the hall became still. The dog kept It's garden near the entrance. A second reader interpreted the passage independently.","It's","58","62","","","","","",""
"g2-its-its-0343","ITS_ITS","The rain stopped before the gate opened. The unfinished note about Its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","Its","67","70","","","","","",""
"g2-its-its-0246","ITS_ITS","The note arrived on a windy Tuesday. Its been fast since early morning. The author was describing a real event.","Its","37","40","","","","","",""
"g2-its-its-0057","ITS_ITS","Just before dusk, the clouds turned orange. It's been silent since early morning. A partner checked the line once more.","It's","44","48","","","","","",""
"g2-its-its-0359","ITS_ITS","A small crowd waited near the noticeboard. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","69","72","","","","","",""
"g2-its-its-0292","ITS_ITS","The caretaker unlocked the side entrance. The boat kept it's toy near the entrance. A second reader interpreted the passage independently.","it's","56","60","","","","","",""
"g2-its-its-0342","ITS_ITS","After lunch, everyone returned quietly. The unfinished note about it's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it's","66","70","","","","","",""
"g2-its-its-0170","ITS_ITS","By the window, three plants leaned toward the light. its right beside the open window. A later paragraph changed the subject.","its","53","56","","","","","",""
"g2-its-its-0387","ITS_ITS","Before rehearsal, the group counted slowly. In the unseen picture, the label beside the arrow might be its. The writer had not yet revised the response.","its","103","106","","","","","",""
"g2-its-its-0069","ITS_ITS","The youngest pupil reread the instructions. itʼs been heavy since early morning. The next page contained a different example.","itʼs","44","48","","","","","",""
"g2-its-its-0396","ITS_ITS","The coach placed a clipboard on the bench. In the unseen picture, the label beside the arrow might be it's. The writer had not yet revised the response.","it's","102","106","","","","","",""
"g2-its-its-0390","ITS_ITS","In the unseen picture, the label beside the arrow might be it's. The writer had not yet revised the response.","it's","59","63","","","","","",""
"g2-its-its-0111","ITS_ITS","A margin note mentioned “it’s” as a word form. After the long journey, nobody hurried. it’s been kind since early morning. The writer left the punctuation exactly as shown.","it’s","87","91","","","","","",""
"g2-its-its-0046","ITS_ITS","The note arrived on a windy Tuesday. The school kept its team near the entrance. A partner checked the line once more.","its","53","56","","","","","",""
"g2-its-its-0192","ITS_ITS","The caretaker unlocked the side entrance. its been kind since early morning. The class discussed why context mattered.","its","42","45","","","","","",""
"g2-its-its-0002","ITS_ITS","After lunch, everyone returned quietly. it's wet beside the open window. Nobody changed the original wording.","it's","40","44","","","","","",""
"g2-its-its-0217","ITS_ITS","Just before dusk, the clouds turned orange. The fox kept it's toy near the entrance. The notebook also contained two unrelated spelling slips.","it's","57","61","","","","","",""
"g2-its-its-0153","ITS_ITS","A robin landed beside the chalk line. its been awake since early morning. The sentence stood on its own in the draft.","its","38","41","","","","","",""
"g2-its-its-0148","ITS_ITS","A margin note mentioned “Its” as a word form. In the kitchen, a timer clicked twice. The boat kept Its bag near the entrance. The sentence stood on its own in the draft.","Its","99","102","","","","","",""
"g2-its-its-0149","ITS_ITS","The youngest pupil reread the instructions. it's fragile beside the open window. The sentence stood on its own in the draft.","it's","44","48","","","","","",""
"g2-its-its-0361","ITS_ITS","At sunrise, the class checked its plan. Zoe wrote quickly the lights went out its the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","its","78","81","","","","","",""
"g2-its-its-0199","ITS_ITS","A small crowd waited near the noticeboard. The boat kept it’s dog near the entrance. The class discussed why context mattered.","it’s","57","61","","","","","",""
"g2-its-its-0326","ITS_ITS","The note arrived on a windy Tuesday. Sam copied “it's” onto a vocabulary card. The short line came from an imperfect first draft.","it's","49","53","","","","","",""
"g2-its-its-0100","ITS_ITS","The final clue appeared beneath a blue card. The dog kept its coat near the entrance. Everyone understood the surrounding scene.","its","58","61","","","","","",""
"g2-its-its-0048","ITS_ITS","In the kitchen, a timer clicked twice. it's been nervous since early morning. A partner checked the line once more.","it's","39","43","","","","","",""
"g2-its-its-0157","ITS_ITS","Just before dusk, the clouds turned orange. The machine kept it's hamster near the entrance. The sentence stood on its own in the draft.","it's","61","65","","","","","",""
"g2-its-its-0267","ITS_ITS","Before rehearsal, the group counted slowly. Its been delighted since early morning. The teacher preserved the learner's original phrasing.","Its","44","47","","","","","",""
"g2-its-its-0257","ITS_ITS","Just before dusk, the clouds turned orange. its careful beside the open window. The author was describing a real event.","its","44","47","","","","","",""
"g2-its-its-0284","ITS_ITS","During art club, the tables stayed busy. its small beside the open window. A second reader interpreted the passage independently.","its","41","44","","","","","",""
"g2-its-its-0393","ITS_ITS","A robin landed beside the chalk line. In the unseen picture, the label beside the arrow might be its. The writer had not yet revised the response.","its","97","100","","","","","",""
"g2-its-its-0353","ITS_ITS","A robin landed beside the chalk line. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","64","67","","","","","",""
"g2-its-its-0193","ITS_ITS","A robin landed beside the chalk line. The machine kept it's teacher near the entrance. The class discussed why context mattered.","it's","55","59","","","","","",""
"g2-its-its-0382","ITS_ITS","After lunch, everyone returned quietly. In the unseen picture, the label beside the arrow might be it's. The writer had not yet revised the response.","it's","99","103","","","","","",""
"g2-its-its-0009","ITS_ITS","The youngest pupil reread the instructions. it's been fragile since early morning. Nobody changed the original wording.","it's","44","48","","","","","",""
"g2-its-its-0119","ITS_ITS","A small crowd waited near the noticeboard. it's brilliant beside the open window. The writer left the punctuation exactly as shown.","it's","43","47","","","","","",""
"g2-its-its-0094","ITS_ITS","The morning began with an unexpected puzzle. The fox kept its garden near the entrance. Everyone understood the surrounding scene.","its","58","61","","","","","",""
"g2-its-its-0129","ITS_ITS","The youngest pupil reread the instructions. it's been delighted since early morning. No answer choices were visible.","it's","44","48","","","","","",""
"g2-its-its-0186","ITS_ITS","The note arrived on a windy Tuesday. its been nervous since early morning. The class discussed why context mattered.","its","37","40","","","","","",""
"g2-its-its-0151","ITS_ITS","After the long journey, nobody hurried. The dog kept it's book near the entrance. The sentence stood on its own in the draft.","it's","53","57","","","","","",""
"g2-its-its-0227","ITS_ITS","Before rehearsal, the group counted slowly. its fragile beside the open window. Weather and whether were discussed as an unrelated near-homophone pair.","its","44","47","","","","","",""
"g2-its-its-0173","ITS_ITS","A robin landed beside the chalk line. its silent beside the open window. A later paragraph changed the subject.","its","38","41","","","","","",""
