row_number,word_key,field,removed_value,reason
2,a_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
3,ability_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
4,about_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
5,act_action_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
6,action_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
7,activity_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
8,actor_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
9,actual_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
10,again_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
11,agreement_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
12,air_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
13,align_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
14,allowed_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
15,aloud_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
16,alphabet_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
17,angle_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
18,animal_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
19,ankle_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
20,answer_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
21,antique_en_gb,has_schwa,FALSE,Unsafe placeholder cleared pending lexicon-derived pronunciation metadata intake.
