word_key,display_word,age_band,complexity_band,dictation_sentence,dictation_target_token_index,audio_text,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at,review_notes
colour_en_gb,colour,middle_primary,medium,Blue is my favourite colour.,4,Blue is my favourite colour.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
colourful_en_gb,colourful,middle_primary,medium,The market was full of colourful flags.,5,The market was full of colourful flags.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
colourless_en_gb,colourless,upper_primary,medium,The liquid was clear and colourless.,5,The liquid was clear and colourless.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
immigrant_en_gb,immigrant,upper_primary,high,The immigrant started a new life in the city.,1,The immigrant started a new life in the city.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
lock_en_gb,lock,early_primary,low,Please lock the door before we leave.,1,Please lock the door before we leave.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
locking_en_gb,locking,middle_primary,medium,She is locking the gate now.,2,She is locking the gate now.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
migrant_en_gb,migrant,upper_primary,high,The migrant travelled to find a new home.,1,The migrant travelled to find a new home.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
misplace_en_gb,misplace,middle_primary,medium,I sometimes misplace my pencil case.,2,I sometimes misplace my pencil case.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
painter_en_gb,painter,middle_primary,medium,The painter carefully covered the wall with blue paint.,1,The painter carefully covered the wall with blue paint.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
painting_en_gb,painting,middle_primary,medium,She is painting a picture of the sea.,2,She is painting a picture of the sea.,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
