micro_skill_key,content_version,version_status,is_active,readiness_state,blocker_reasons,blocker_fields,blocker_messages,teaching_objective,sample_preview_word_key
D4_SCHWA_INITIAL_A_INITIAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak initial a.,about_en_gb
D4_SCHWA_INITIAL_E_INITIAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak initial e.,eleven_en_gb
D4_SCHWA_INITIAL_O_INITIAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak initial o.,opinion_en_gb
D4_SCHWA_MEDIAL_COMMON_WEAK_VOWELS,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak middle vowels.,family_en_gb
D4_SCHWA_MEDIAL_NATURAL_ACTUAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak middle vowel in natural/actual type words.,natural_en_gb
D4_SCHWA_FINAL_ER_FINAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak final /uh/ spelled -er.,teacher_en_gb
D4_SCHWA_FINAL_OR_FINAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak final /uh/ spelled -or.,doctor_en_gb
D4_SCHWA_FINAL_AR_FINAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak final /uh/ spelled -ar.,dollar_en_gb
D4_SCHWA_FINAL_A_FINAL,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,phoneme_stress_schwa_metadata,"D4_SCHWA first-exposure content requires schwa, stress, or phoneme metadata support.",Child can preserve the correct written vowel in words with weak final /uh/ spelled -a.,sofa_en_gb
D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,human_reviewed_v1,in_review,FALSE,ready_for_guided_review_only,missing_rule_explanation,morphology_metadata,D4_MOR first-exposure content requires morphology metadata support.,Child can use meaning parts to spell base words with prefixes.,unhappy_en_gb
