micro_skill_key,title,teaching_objective,child_friendly_explanation,rule_explanation,misconception,watch_for_cue,anchor_word,wording_flags,proposed_decision,reviewer_decision,reviewer_comment
D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,Base word + prefix,Child spells words made of a prefix in front of an unchanged base word.,"A prefix is a part that goes in FRONT of a base word. It changes the meaning, but it never changes the base word's spelling. Prefix + base — two chunks, snap them together.","Prefix spelling is fixed and base spelling is preserved: re + play = replay, un + tie = untie. Spell each chunk, then join them with no letters lost.","Child blends prefix and base by sound and loses letters at the join (unatural for unnatural), or misspells the prefix itself.","Two chunks: spell the prefix, spell the base, push them together. Nothing falls off.",replay,metaphor_may_overstate_no_change; morphological_invariance_may_overstate; overly_absolute_never,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,Base word + suffix,Child spells words made of a base word plus a suffix ending.,"A suffix is a part that goes on the END of a base word. It changes the word's job (slow → slowly) but the base usually keeps its spelling. Find the base, spell it, add the ending.","Suffix spelling is fixed and, by default, base spelling is preserved: slow + ly = slowly, kind + ness = kindness. Spell base then suffix as two chunks.","Child spells the ending by ear (slowlee, kindniss) or corrupts the base while thinking about the ending.","Say the word in two chunks — base, then ending — and spell each chunk.",slowly,qualified_base_preservation_ok_but_review,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_BASE_WORDS_IDENTIFY_BASE,Find the base word,Child can find the base word hiding inside a longer word before spelling it.,"Long words are built from a smaller word plus extra parts. Find the small word first — it's the Keeper of the meaning. If you can spell the base, most of the long word is already done.","A base word is a complete word that can stand alone (help in helpful, play in replaying). Spot the base first, spell it, then add the extra parts around it.","Child sounds out the whole long word letter by letter and never notices the small word inside, so the base gets mangled (helful, replaing).","Before you spell a long word, ask: what small word is hiding inside?",helpful,overly_absolute_never,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_BASE_WORDS_PRESERVE_BASE,Keep the base word's spelling,Child keeps the base word's spelling unchanged when parts are added.,"When you add a part to a word, the base word usually keeps every one of its letters. The Keeper doesn't drop letters just because a new part arrives.","Base spelling is usually preserved when affixes are added: hope + less = hopeless, joy + ful = joyful. (Some suffix rules change the ending — that's a different skill — but the default is: keep the base whole.)","Child drops or changes letters at the join (hopless, joyfull), especially where two of the same letter meet (unnecessary, really).","Spell the base first, then bolt the part on — don't lose any letters at the join, even if it makes a double letter.",really,base_preservation_may_overstate,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,Closed compound words,"Child can spell compounds written as one word, preserving both bases.","Some words are two whole words glued into one: foot + ball = football, rain + bow = rainbow. Both little words keep ALL their letters — two Keepers, one word.","Closed compounds join two complete base words with no letters lost, even where letters double up at the join: book + keeper = bookkeeper.",Child drops letters at the join (foot+ball → 'footbal') or spells the whole thing by sound instead of finding the two words.,"Find BOTH little words first. Spell each one whole, then push them together — nothing falls off at the join.",football,metaphor_may_overstate_no_change,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,Open and hyphenated compounds,"Child can spell compounds written as separate words or with a hyphen, keeping parts and spacing correct.","Some two-word teams stay apart (ice cream), and some hold hands with a hyphen (well-known). The words themselves stay perfectly spelled — the skill is knowing whether they're glued, hyphenated, or separate. Hyphenated compound: Join the words with a hyphen when they work together as one describing idea. Open compound: Leave a space when the two words belong together but are usually written separately.","Open compounds keep a space (ice cream, living room); hyphenated compounds join with - (twenty-one, part-time). Each word part keeps its full spelling.","Child glues open compounds into one word (icecream), drops the hyphen, or hyphenates randomly.","Spell each word perfectly first; then ask — glued, hyphen, or space? Learn each team's style like a name.",ice cream,perfection_wording,approve_with_amendments_recommended,approved_with_amendment,Human-approved with amended child-friendly explanation for open and hyphenated compounds. Approval recorded 2026-07-11.
D4_MOR_PREFIXES_DIS_MIS,The prefixes dis- and mis-,Child can spell words with dis- (not/opposite) and mis- (wrongly) and keep the base intact.,dis- means NOT or the OPPOSITE (disagree = not agree). mis- means WRONGLY or BADLY (misspell = spell wrongly). Both keep their own letters AND the base keeps its letters.,"dis- and mis- are fixed spellings before an unchanged base: dis + appear = disappear (one s from dis, keep the base), mis + spell = misspell (s from mis + s from spell = ss).","Child writes one s where two belong (mispell) or two where one belongs (dissapear), because they can't hear the join.","You can't HEAR the join — you have to BUILD it: mis + spell = misspell (ss); dis + appear = disappear (one s, two p's from the base).",misspell,,appears_approvable_without_changes,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_PREFIXES_IN_IM_IL_IR,"The changing prefix in-, im-, il-, ir-",Child can choose the right form of the negative prefix in-/im-/il-/ir- by looking at the base word's first letter.,This 'not' prefix is a shape-shifter: it copies the start of the base so it's easier to say. Before most letters it's in- (invisible). Before m or p it's im- (impossible). Before l it's il- (illegal). Before r it's ir- (irregular).,"The negative prefix assimilates to the base's first letter: im- before m/p, il- before l, ir- before r, in- elsewhere. This often creates a double letter: il + legal = illegal, ir + regular = irregular.","Child uses in- everywhere (inpossible, inlegal), or writes a single letter where the assimilated double belongs (ilegal, iregular).","Look at the FIRST letter of the base — the prefix copies it: l → il (illegal, ll), r → ir (irregular, rr), m/p → im.",impossible,assimilation_metaphor_needs_review,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_PREFIXES_RE_PRE,The prefixes re- and pre-,Child can spell words with re- (again) and pre- (before) and tell them apart by meaning.,re- means AGAIN (replay = play again). pre- means BEFORE (preheat = heat before). Both are two-letter parts that snap onto the front of a base word without changing it.,"re- and pre- are fixed spellings attached before an unchanged base: re + build = rebuild, pre + view = preview. Choose the prefix by meaning: again → re-, before → pre-.","Child confuses which prefix carries which meaning, or spells them by ear (ri-, per-, pri-).",Ask the meaning first: is it 'again' (re-) or 'before' (pre-)? Then spell the base unchanged.,rebuild,,appears_approvable_without_changes,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_PREFIXES_SUB_INTER_SUPER,"The prefixes sub-, inter-, super-","Child can spell longer Latin prefixes sub- (under), inter- (between) and super- (above/beyond) as stable chunks.","These are bigger front-parts from Latin, each with a picture-meaning: sub- = UNDER (submarine goes under the sea), inter- = BETWEEN (international = between nations), super- = ABOVE or MORE THAN (superhero).","sub-, inter- and super- are fixed multi-letter chunks before an unchanged base: sub + way, inter + net, super + market. Spell the whole prefix as one known chunk.","Child spells the prefix by ear (supper-, intre-, sup-) or breaks it into sounds and loses letters.","Learn each prefix as ONE picture-chunk: under = sub-, between = inter-, above = super-. Then add the base whole.",submarine,,appears_approvable_without_changes,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_PREFIXES_UN,The prefix un-,Child can spell words with the prefix un- and knows it means 'not' or 'opposite of'.,"un- is a tiny part that means NOT or the OPPOSITE. Stick it on the front and the word flips: kind → unkind, lock → unlock. The base word keeps every letter.","un- is always spelled u-n, attached before a base word whose spelling stays the same: un + happy = unhappy, un + necessary = unnecessary (double n stays).","Child drops a letter at the join, especially double letters (unecessary, unatural), or spells the prefix by ear (on-, an-).","un- is always just u-n, and the base keeps all its letters — even if that makes nn.",unhappy,overly_absolute_always,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_ROOTS_COMMON_GREEK_ROOTS,Common Greek roots,"Child can recognise and spell common Greek roots, including their special letter patterns (ph, ch, y).","The ancient Greeks gave us word-treasures too: tele = far (telephone, telescope), phon = sound, graph = write/draw, photo = light. Greek roots carry secret signs — ph says /f/, ch says /k/ — that mark a word as Greek.","Greek roots keep stable spelling and distinctive graphemes: phon (sound), graph (write), photo (light), tele (far), scope (look), micro (small). ph=/f/ and ch=/k/ signal Greek origin.","Child spells Greek graphemes by ear (telefone, fotograf, kemist) missing the ph/ch signature.","An /f/ in a science-y word is often the Greek sign ph — telephone, graph, photo. Spot the Greek treasure marks.",telephone,age_tone_secret_metaphor; etymology_or_origin_simplification; greek_grapheme_generalisation_needs_review,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_ROOTS_COMMON_LATIN_ROOTS,Common Latin roots,Child can recognise and spell common Latin roots as stable chunks inside longer words.,"Two thousand years ago the Romans spoke Latin — and their word-bricks are still inside our words! port = carry (transport, export, import). struct = build (structure, construct). Spot the Roman brick and half the word is spelled.","Latin roots keep stable spelling across word families: port (carry), struct (build), rupt (break), tract (pull), dict (say), scrib/script (write). Spell root as a fixed chunk, then add affixes.","Child sounds out through the root and corrupts it (transpot, constuct), missing the stable chunk.","Find the Roman brick first — port, struct, rupt — spell it as one chunk, then add the front and end parts.",transport,etymology_or_origin_simplification,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,Root families keep their spelling,"Child can hold a root's spelling steady across its whole word family, even as endings and sounds change.","A root is the family surname — it's spelled the same on every family member. act: act, actor, action, active, react. The endings change, the sounds shift, but a-c-t never breaks.","Root spelling is invariant across derivatives: act/action/actor, medic/medical/medicine, sign/signal/signature. Anchor the root, then vary the affixes.","Child re-spells the root differently in each family member (acshun, medisin) instead of anchoring it once.","Learn the surname once — act, medic, sign — and trust it in every relative, whatever the ending sounds like.",action,morphological_invariance_may_overstate; overly_absolute_never,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,Science and maths roots,Child can use Greek and Latin roots to spell subject words in science and maths.,"School subject words look scary until you see the bricks: thermometer = therm (heat) + meter (measure). Triangle = tri (three) + angle. Once you know ten bricks, you can spell (and understand!) a hundred subject words.","Subject vocabulary is built from productive roots: meter (measure), therm (heat), bio (life), geo (earth), tri (three), cent (hundred), poly (many), hydro (water). Spell root-by-root.","Child treats each long subject word as a brand-new random string and sounds through it (thurmomiter, trianggle).",Break the scary word into bricks you know: therm + o + meter. Spell each brick — the word spells itself.,thermometer,age_tone_scary_wording,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES_ABLE_IBLE,The suffixes -able and -ible,Child can spell -able and -ible (can be done) and use the base-word test to choose between them.,"Both endings mean CAN BE: washable = can be washed, visible = can be seen. The detective test: if you remove the ending and a whole real word is left, it's usually -able (wash → washable). If what's left isn't a word by itself, it's usually -ible (vis → visible).","-able typically follows complete base words (enjoyable, comfortable); -ible typically follows bound Latin roots (possible, terrible, incredible). The test guides, with exceptions learned as tricky words.",Child guesses by sound — the two endings sound identical (schwa) — writing washible or visable.,You can't hear the difference — run the test: take the ending off. Real word left? -able. Not a word? probably -ible.,washable,,appears_approvable_without_changes,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES_AL,The suffix -al,Child can spell -al and knows it makes describing words meaning 'to do with'.,"-al is an ADJECTIVE-MAKER meaning 'to do with': music → musical, nation → national. Always a-l, even when it sounds like 'ul' or 'le'.","-al is a fixed ending forming adjectives from nouns, spelled -al (never -le/-el/-ul in these built words): accident + al = accidental.","Child spells the ending by ear (-le, -el, -ul: musicle, nashunal) because the vowel is a schwa.","If you can strip it back to a real base word (music, nation, accident), the ending is -al.",musical,overly_absolute_always; overly_absolute_never,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES_FUL_LESS,The suffixes -ful and -less,Child can spell -ful (full of) and -less (without) and knows they are opposites.,"-ful means FULL OF (hopeful = full of hope). -less means WITHOUT (hopeless = without hope). They're opposite twins that snap onto the same bases. Big trap: -ful has ONE l, even though it means 'full'.","-ful is always spelled with a single l (careful, not carefull); -less always has double s. Base is preserved: care + ful, care + less.","Child writes -full with two l's because the meaning is 'full', or -les with one s.","The suffix -ful lost an l on its journey: full of care = careful, ONE l. And -less always keeps its ss.",careful,overly_absolute_always,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES_ITY,The suffix -ity,Child can spell -ity and knows it turns describing words into naming words.,"-ity is a NOUN-MAKER: active → activity, real → reality. It names the quality. It sounds like 'ittee' but it's always i-t-y.","-ity is a fixed ending forming abstract nouns from adjectives; spelled -ity, never -aty/-etty. Related words share the spelling: real → reality.","Child spells the weak vowel by ear (activaty, realety) because the i is unstressed.","The middle vowel is a whisper — but its family gives it away: real → reality, both spelled with the base intact, then i-t-y.",activity,overly_absolute_always; overly_absolute_never,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES_MENT,The suffix -ment,Child can spell -ment and knows it turns a doing word into a naming word.,"-ment is a NOUN-MAKER for actions: enjoy → enjoyment (the thing you feel), pay → payment (the thing you pay). It's always m-e-n-t and the base stays whole.","-ment is a fixed ending added to verbs to form nouns, with the base preserved: treat + ment = treatment, move + ment = movement (the e stays!).","Child spells it by ear (-mant, -mint) or drops the base's final e (movment, excitment).","Base first, whole and complete — movement keeps the e of move — then add m-e-n-t.",enjoyment,overly_absolute_always,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES_NESS,The suffix -ness,Child can spell -ness and knows it turns a describing word into a naming word (a state or quality).,"-ness is a NOUN-MAKER. Stick it on a describing word and you get the name of that feeling or state: kind → kindness, dark → darkness. It's always n-e-s-s.","-ness is a fixed ending (never -nes or -niss) added to adjectives to form nouns. Base is preserved by default: sad + ness = sadness. (y→i bases like happiness follow the y-rule, taught separately.)","Child spells the ending by ear (-nes, -niss, -nis) or doubles wrongly at the join.","-ness is ALWAYS n-e-s-s — four letters, no exceptions. Spell the base first, then add all four.",kindness,overly_absolute_always; overly_absolute_never; qualified_base_preservation_ok_but_review,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_SUFFIXES_OUS,The suffix -ous,Child can spell -ous and knows it makes describing words meaning 'full of'.,"-ous is an ADJECTIVE-MAKER meaning full of: danger → dangerous (full of danger), fame → famous. The tricky bit: it SOUNDS like 'us' but it's spelled o-u-s.","-ous is a fixed ending forming adjectives; it is never spelled -us or -is. Common pattern: base + ous with base largely preserved (dangerous, mountainous).","Child spells the ending as it sounds (-us: dangerus, famus) because the o is a lazy schwa sound.","That ending sounds like 'us' but the Keeper knows it's o-u-s — three letters, o first.",dangerous,overly_absolute_never; qualified_base_preservation_ok_but_review,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,Word families with sound shifts,Child can preserve family spelling even when pronunciation changes across relatives.,"Sometimes relatives SOUND different but LOOK the same: nature/natural, please/pleasant, know/knowledge. The sound shifts — the spelling stays loyal to the family.","English preserves morphological spelling across pronunciation shifts. Trust the family spelling, not the changed sound: pleasant keeps the ea of please.","Child re-spells the shifted relative by its new sound (plesant, nachural) instead of keeping the family letters.","When a relative sounds different, don't panic-spell by ear — the family letters stay the same.",nature,morphological_invariance_may_overstate,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,Use a related word to spell,Child can use a clearly-spelled relative to fix a hidden or unclear letter.,"Words come in families, and a relative can tell you the secret letter. Can't hear the g in sign? Its cousin SIGNAL says it loudly. Not sure about muscle? MUSCULAR shouts the hidden c... the family keeps the spelling.","Related words share meaning-spelling: sign/signal/signature, know/knowledge, medic/medicine. When a letter is silent or unclear, find a family member that pronounces it.","Child spells the tricky word by sound alone (sine, mussel) and never thinks to call in a relative.",Stuck on a silent or fuzzy letter? Ask the family: which relative says that letter out loud?,sign,age_tone_secret_metaphor; overly_absolute_never,approve_with_amendments_recommended,approved,Human-approved for D4_MOR category-v1 candidate source. Approval recorded 2026-07-11.
