micro_skill_key,word,approved_teaching_split,approved_child_meaning,approved_dictation_audio_text,approved_base_or_root,approved_base_meaning,base_meaning_review_status
D4_MOR_PREFIXES_DIS_MIS,disagree,dis + agree,not having the same opinion,They disagree about the game.,agree,having the same opinion,approved_for_guided_review
D4_MOR_PREFIXES_DIS_MIS,disappear,dis + appear,go out of sight,The rabbit can disappear behind the hedge.,appear,come into sight,approved_for_guided_review
D4_MOR_PREFIXES_DIS_MIS,dishonest,dis + honest,not honest,It is dishonest to tell a lie.,honest,tell the truth and do what is right,approved_for_guided_review
D4_MOR_PREFIXES_DIS_MIS,dissatisfied,dis + satisfy + ed,not pleased,She felt dissatisfied with the untidy work.,satisfy,please or give what is needed,approved_for_guided_review
D4_MOR_PREFIXES_DIS_MIS,misbehave,mis + behave,behave badly,Do not misbehave in the library.,behave,act in a particular way,approved_for_guided_review
D4_MOR_PREFIXES_DIS_MIS,mislead,mis + lead,lead someone the wrong way,The sign did not mean to mislead us.,lead,show someone where to go,approved_for_guided_review
D4_MOR_PREFIXES_DIS_MIS,misspell,mis + spell,spell wrongly,Check that you do not misspell the word.,spell,write a word using its letters in the right order,approved_for_guided_review
D4_MOR_PREFIXES_IN_IM_IL_IR,illegal,il + legal,not allowed by law or rules,Parking there is illegal.,legal,allowed by law or rules,approved_for_guided_review
D4_MOR_PREFIXES_IN_IM_IL_IR,impatient,im + patient,unable to wait calmly,He grew impatient in the long queue.,patient,able to wait calmly,approved_for_guided_review
D4_MOR_PREFIXES_IN_IM_IL_IR,impossible,im + possible,not able to happen or be done,It is impossible to be in two places at once.,possible,able to happen or be done,approved_for_guided_review
D4_MOR_PREFIXES_IN_IM_IL_IR,incorrect,in + correct,not right,The answer is incorrect.,correct,right and without mistakes,approved_for_guided_review
D4_MOR_PREFIXES_IN_IM_IL_IR,invisible,in + visible,unable to be seen,The tiny insect was almost invisible.,visible,able to be seen,approved_for_guided_review
D4_MOR_PREFIXES_IN_IM_IL_IR,irregular,ir + regular,not even or following the usual pattern,The shape has an irregular edge.,regular,following the usual pattern,approved_for_guided_review
D4_MOR_PREFIXES_IN_IM_IL_IR,irresponsible,ir + responsible,not showing sensible care,It is irresponsible to leave litter behind.,responsible,showing sensible care,approved_for_guided_review
D4_MOR_PREFIXES_RE_PRE,predict,pre + dict,say what you think will happen,Can you predict tomorrow’s weather?,dict,say,approved_for_guided_review
D4_MOR_PREFIXES_RE_PRE,preheat,pre + heat,heat before using,Please preheat the oven first.,heat,make something warmer,approved_for_guided_review
D4_MOR_PREFIXES_RE_PRE,preschool,pre + school,a school for children before primary school,Her brother goes to preschool.,school,a place where children learn,approved_for_guided_review
D4_MOR_PREFIXES_RE_PRE,preview,pre + view,see before the full thing,We watched a preview of the film.,view,see or watch,approved_for_guided_review
D4_MOR_PREFIXES_RE_PRE,rebuild,re + build,build again,Workers will rebuild the wall.,build,make something by putting parts together,approved_for_guided_review
D4_MOR_PREFIXES_RE_PRE,replay,re + play,play again,Please replay that part of the song.,play,take part in a game or make music for fun,approved_for_guided_review
D4_MOR_PREFIXES_RE_PRE,return,re + turn,go or give back,Please return the book tomorrow.,turn,go back or change direction,approved_for_guided_review
D4_MOR_PREFIXES_SUB_INTER_SUPER,interact,inter + act,act or communicate with each other,The children interact during the game.,act,do something,approved_for_guided_review
D4_MOR_PREFIXES_SUB_INTER_SUPER,international,inter + nation + al,involving more than one country,The airport has international flights.,nation,a country and its people,approved_for_guided_review
D4_MOR_PREFIXES_SUB_INTER_SUPER,subheading,sub + head + ing,a smaller heading under a main heading,Write a subheading for the next section.,heading,the title of a section of writing,approved_for_guided_review
D4_MOR_PREFIXES_SUB_INTER_SUPER,submarine,sub + marine,a boat that travels under the sea,The submarine moved under the waves.,marine,of the sea,approved_for_guided_review
D4_MOR_PREFIXES_SUB_INTER_SUPER,subway,sub + way,an underground railway,We took the subway across the city.,way,a route or path from one place to another,approved_for_guided_review
D4_MOR_PREFIXES_SUB_INTER_SUPER,superhero,super + hero,a hero with special powers,The superhero saved the town.,hero,a brave person who helps others,approved_for_guided_review
D4_MOR_PREFIXES_SUB_INTER_SUPER,supermarket,super + market,a large food shop,We bought fruit at the supermarket.,market,a place where people buy and sell things,approved_for_guided_review
