case_id,classification,intended_alternative,supported_construction_status,rationale
g2-its-its-0341,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0342,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0343,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0344,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0345,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0346,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0347,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0348,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0349,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0350,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0351,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0352,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0353,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0354,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0355,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0356,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0357,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0358,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0359,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
g2-its-its-0360,UNCERTAIN,,UNSUPPORTED,"The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions."
