word_key,display_word,micro_skill_key,base_family_key,member_role,transformation,child_friendly_meaning,meaning_provenance,source_row_sha256,generator_sha256,reviewed_by,reviewed_at
act_en_gb,act,D4_MOR_BASE_WORDS_IDENTIFY_BASE,act_base_family,base,,to do something,reviewed_source,e2628cc9ca6b3cee473e183466cfac2c6685deab50fff1557c28a42e9402533b,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
action_en_gb,action,D4_MOR_BASE_WORDS_IDENTIFY_BASE,act_base_family,authentic_target,,something that is done,reviewed_override,eeb3b82e18d5f8a19450cf9623d155ed87fbe33a1ef8990048c7ba40f6a30c0f,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
activity_en_gb,activity,D4_MOR_BASE_WORDS_IDENTIFY_BASE,act_base_family,authentic_target,,something you do,reviewed_source,1d00bcd1e7425bc7b02b6e084587e73c0848504472d7e4068ef3fcb4ec633249,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
actor_en_gb,actor,D4_MOR_BASE_WORDS_IDENTIFY_BASE,act_base_family,transfer,,"a person who acts in a play, film, or show",reviewed_override,d008977a897444878fd5187d20bf707d6a41fb6bd5dd15ea000d5fea5e136ecd,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
actual_en_gb,actual,D4_MOR_BASE_WORDS_IDENTIFY_BASE,act_base_family,transfer,,real; not imagined,reviewed_source,0cc4b4ebe384657eeaa1de53e0c496906695ee920e1ade186568533de934bace,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
interact_en_gb,interact,D4_MOR_BASE_WORDS_IDENTIFY_BASE,act_base_family,transfer,,to act or communicate with each other,reviewed_override,ef646421693212be080d05a9d6aabac8abdae003838c3146062ccde5949fcf88,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
angle_en_gb,angle,D4_MOR_BASE_WORDS_IDENTIFY_BASE,angle_base_family,base,,the space between two lines that meet,reviewed_source,6e23f29d23c5e9fbc9ee886166879502aa32b1724eab2a5fdf16990106acbbb5,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
triangle_en_gb,triangle,D4_MOR_BASE_WORDS_IDENTIFY_BASE,angle_base_family,authentic_target,,a three-sided shape,reviewed_override,ccf4bfa47cd7362685460bfd7f896ec4d62f5883ca34e300d3fac16d9559fb79,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
babies_en_gb,babies,D4_MOR_BASE_WORDS_IDENTIFY_BASE,baby_base_family,authentic_target,change_final_y_to_i,more than one baby,reviewed_source,0e0507800ee9199f2968a38fac7d0c121432a7f1e91b742a163c137566401a7f,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
baby_en_gb,baby,D4_MOR_BASE_WORDS_IDENTIFY_BASE,baby_base_family,base,,a very young child or animal,reviewed_source,7190eaf114399825e8573b8d8e4780ee18fb74b7731dc0a658169244b400cb5d,df5ff9cadf719593da9fb0c012c65f14d946faef472d59ace8fd6c59a8844600,Katie Sanderson,2026-07-24T15:53:22+01:00
