micro_skill_key,content_version,field_key,review_gate,review_status,reviewed_by,reviewed_at,review_notes
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,teaching_objective,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,child_friendly_explanation,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,rule_explanation,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,anchor_word_key,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,ordered_example_word_keys,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,first_exposure_progression,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,review_progression,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,source,source_licence,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v1,licence,source_licence,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,teaching_objective,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,child_friendly_explanation,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,rule_explanation,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,anchor_word_key,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,ordered_example_word_keys,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,first_exposure_progression,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,review_progression,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,source,source_licence,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,v2,licence,source_licence,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
