prompt_key,category,title,task_intro,prompt_text,top_tip,category_top_tip,reuse_policy,editorial_status,publication_status,content_version,release_reference,original_source_fingerprint,source_reference,review_decision,review_notes,reviewed_by,reviewed_on
REFLECTION-01,Reflection — Stoic Journal,Inside My Control,"Reflection is a chance to think carefully about your day.

There is no perfect answer. Choose a real moment, describe what happened, and think about what you can learn from it. Try to focus on your choices, your response, and what you might do next time.","What was inside my control today, and what was outside my control?","Separate the two clearly. Then spend most of your writing on what you could choose: your effort, words, attitude, preparation or response.",,reusable_lru_no_immediate_repeat,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,32269d39b916f2849d97f87565f5d4c90c53598a8fc4ef5282580a35d253a521,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
REFLECTION-02,Reflection — Stoic Journal,The Difficult Thing,"Reflection is a chance to think carefully about your day.

There is no perfect answer. Choose a real moment, describe what happened, and think about what you can learn from it. Try to focus on your choices, your response, and what you might do next time.",What difficult thing did I deal with today?,"Tell the story of what happened, then explain what made it difficult. Finish with one thing you did well or one thing you could try next time.",,reusable_lru_no_immediate_repeat,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,1210ced8c50f30c80111d55c621a66dc1cf042bf3affd4d612c08bdde8f4a440,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
REFLECTION-03,Reflection — Stoic Journal,How Big Is It Really?,"Reflection is a chance to think carefully about your day.

There is no perfect answer. Choose a real moment, describe what happened, and think about what you can learn from it. Try to focus on your choices, your response, and what you might do next time.","Will this matter tomorrow, next month or next year?","Pick one thing that felt important today. Zoom out in time. Explain how your feelings about it might change tomorrow, next month and next year.",,reusable_lru_no_immediate_repeat,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,104b41333f647c2e552e07c65e77c7dc0c63991c87baa7b9e3c8fa805eb89066,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
REFLECTION-04,Reflection — Stoic Journal,An Ordinary Good Thing,"Reflection is a chance to think carefully about your day.

There is no perfect answer. Choose a real moment, describe what happened, and think about what you can learn from it. Try to focus on your choices, your response, and what you might do next time.",What ordinary thing am I grateful for?,"Choose something small and specific. Instead of simply naming it, describe why it made your day better.",,reusable_lru_no_immediate_repeat,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,2108560d3f35b752e72806c6e12bce8370fa0bde3daceba9b9c103503c6b2a2d,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
REFLECTION-05,Reflection — Stoic Journal,I Did It Anyway,"Reflection is a chance to think carefully about your day.

There is no perfect answer. Choose a real moment, describe what happened, and think about what you can learn from it. Try to focus on your choices, your response, and what you might do next time.",When did I do something despite feeling nervous?,"Describe what you were nervous about, what you chose to do anyway, and how you felt afterwards. Courage does not mean you were never scared.",,reusable_lru_no_immediate_repeat,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,e87cf8cf75041dfa4d74b7e9ea9fb5a3716fc7b93b4c7e350535082e3a698bf5,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
REFLECTION-06,Reflection — Stoic Journal,How I Chose to Respond,"Reflection is a chance to think carefully about your day.

There is no perfect answer. Choose a real moment, describe what happened, and think about what you can learn from it. Try to focus on your choices, your response, and what you might do next time.",Something annoying happened. How did I choose to respond?,"Describe the event without spending the whole piece blaming it. Focus on the part you controlled: what you said, did, thought or decided next.",,reusable_lru_no_immediate_repeat,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,d2329ab42a733f0456a1b5c26782a9f492d4cfcbfc798641530a82418ba610de,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
REFLECTION-07,Reflection — Stoic Journal,Advice From Tomorrow Me,"Reflection is a chance to think carefully about your day.

There is no perfect answer. Choose a real moment, describe what happened, and think about what you can learn from it. Try to focus on your choices, your response, and what you might do next time.",What advice would tomorrow's version of me give me?,Imagine tomorrow-you knows how today turned out. Write the advice as if that wiser version of you were talking directly to you.,,reusable_lru_no_immediate_repeat,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,fc2605f5e631a70bb44ae5523027f8f51581908e5e813b7010c54f0fbf136056,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
REFLECTION-08,Reflection — Stoic Journal,What the Mistake Taught Me,"Reflection is a chance to think carefully about your day.

There is no perfect answer. Choose a real moment, describe what happened, and think about what you can learn from it. Try to focus on your choices, your response, and what you might do next time.",What can I learn from something that went wrong?,"Do not just describe the mistake. Find the lesson inside it: What did it show me, and what could I do differently next time?",,reusable_lru_no_immediate_repeat,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,768908c057dd8ce2fe743606e2557bace7039086637363f90345a19c7b6933e6,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-01,Silly Stories,The Dragon at the Dentist,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.","A dragon arrives at the dentist with a very unusual problem. Unfortunately, the dentist has never treated a dragon before. What happens?",Give the dragon a strong personality. Make the problem get worse before somebody finds an unexpected solution.,"A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,cbc17e082c138eea03acd3de2dcea56af70ee6b1df1c8bce6623b801e302f951,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-02,Silly Stories,No More Gravity,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.","At exactly 9:17 in the morning, gravity stops working for ten minutes. Tell the story of what happens.","Start somewhere ordinary. Then imagine the tiny details: drinks, chairs, pets, people and everything that was not tied down.","A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,18e338f848cb490b86fca51105a96eaa523c6cfda3cd6f171422f2b809bfb8b4,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-03,Silly Stories,The Invisible Lunchbox,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.","Your lunchbox has turned invisible. You can still touch it, open it and smell what is inside — but nobody can see it. Then somebody else finds it.",Use the invisible object to create misunderstandings. Let one small problem grow into a much bigger one.,"A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,66dc07f1213ae14b937c218a47e2370bc999ac68a9fe8df90fa00a6d444b0000,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-04,Silly Stories,The Moon's Missing Treasure,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.",The Moon sends you a message saying it has lost something extremely important somewhere on Earth. You have until midnight to find it.,"Decide what was lost and why it matters. Give your character clues, obstacles and a ticking clock.","A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,e14262ff7973dfa06d1998cff384fa445ce9ac01f91c1dc5129c79561c23b8e5,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-05,Silly Stories,Magic on Aisle Seven,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.",A confused magician performs the wrong spell inside a supermarket. Suddenly the aisles begin behaving very strangely.,Choose one magical rule and keep making the consequences bigger and sillier.,"A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,581286b864bc61471e5ea509627be000511faa8a886fa47a657340b879a9ad94,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-06,Silly Stories,The Robot Teacher Mystery,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.","You become convinced that one of your teachers is secretly a robot. What evidence do you find, and what happens when you investigate?",Plant three clues. Make at least one clue turn out to have a completely ordinary explanation.,"A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,3429e04c3935a7f0c1e1ec3e7c589ed02f0da92957a554f2c394ca0d9e9215d6,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
STORY-07,Silly Stories,The Time Machine With One Problem,"Silly Stories let your imagination go completely wild.

Use the prompt as your starting point, then take the story anywhere you like. Make something unexpected happen. Your job is not to make the story realistic — it is to make it entertaining while using as many of your Target Words as you naturally can.","You discover a time machine, but it has one ridiculous flaw. Every time you use it, something unexpected happens.",Decide the machine's strange rule first. Then let your character make the mistake of using it again.,"A fun story usually needs:

Somebody interesting.

Something they want.

A problem that gets in the way.

An unexpected turn.

An ending that changes something.",once_per_learner,reviewed,Pending approval — not active,v1,adle-review-writing-challenge-2026-08-26-v1,720b990c5d5d72708524d2d63872f039d219910ebd902ade305118d55862e433,user:ADLE Review Writing Challenge — Teaching Content Handoff:2026-08-26,,,,
