micro_skill_key,content_version,version_status,is_active,teaching_objective,child_friendly_explanation,rule_explanation,memory_tip,common_misconceptions,first_exposure_progression,guided_practice_progression,review_proofreading_progression,example_selection_guidance,contrast_policy_guidance,sample_preview_word_key,source_category,source_name,source_url,source_licence,source_use_note,confidence,supersedes_content_version,final_readiness_review_status,final_readiness_reviewed_by,final_readiness_reviewed_at
D4_PG_CVC_SHORT_VOWELS_SHORT_A,human_reviewed_v1,active,TRUE,Child can segment CVC words and spell the target short /a/ in CVC words accurately.,"A CVC word has three sounds. Say it slowly, tap first sound, vowel sound, last sound, then write one letter for each sound.","In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,"Child may spell only the loudest sounds, swap the short vowel for a nearby vowel, or leave off the first or final consonant.",Orally segment a simple CVC word; count three sounds; identify the middle short-vowel sound; map each sound to a letter; practise with sound boxes before writing.,"Use high-frequency one-syllable CVC words. Prompt: say it, tap it, write first-vowel-last, then read it back; fade the sound boxes once accurate.","Review: Use quick mixed CVC retrieval and ask the child to re-read each word to check that all three sounds are present in order. Proofreading: In proofreading, ask the child to underline the vowel, check the first and last consonants, and correct missing or swapped sounds.","Start with regular one-syllable CVC words with clear short vowels; avoid digraphs, blends, long vowels, schwa, and tricky high-frequency words.","Avoid contrasting all short vowels at first. Once segmentation is secure, use minimal contrasts where only the target vowel or consonant changes.",cat_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CVC_SHORT_VOWELS_SHORT_E,human_reviewed_v1,active,TRUE,Child can segment CVC words and spell the target short /e/ in CVC words accurately.,"A CVC word has three sounds. Say it slowly, tap first sound, vowel sound, last sound, then write one letter for each sound.","In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,"Child may spell only the loudest sounds, swap the short vowel for a nearby vowel, or leave off the first or final consonant.",Orally segment a simple CVC word; count three sounds; identify the middle short-vowel sound; map each sound to a letter; practise with sound boxes before writing.,"Use high-frequency one-syllable CVC words. Prompt: say it, tap it, write first-vowel-last, then read it back; fade the sound boxes once accurate.","Review: Use quick mixed CVC retrieval and ask the child to re-read each word to check that all three sounds are present in order. Proofreading: In proofreading, ask the child to underline the vowel, check the first and last consonants, and correct missing or swapped sounds.","Start with regular one-syllable CVC words with clear short vowels; avoid digraphs, blends, long vowels, schwa, and tricky high-frequency words.","Avoid contrasting all short vowels at first. Once segmentation is secure, use minimal contrasts where only the target vowel or consonant changes.",hen_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CVC_SHORT_VOWELS_SHORT_I,human_reviewed_v1,active,TRUE,Child can segment CVC words and spell the target short /i/ in CVC words accurately.,"A CVC word has three sounds. Say it slowly, tap first sound, vowel sound, last sound, then write one letter for each sound.","In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,"Child may spell only the loudest sounds, swap the short vowel for a nearby vowel, or leave off the first or final consonant.",Orally segment a simple CVC word; count three sounds; identify the middle short-vowel sound; map each sound to a letter; practise with sound boxes before writing.,"Use high-frequency one-syllable CVC words. Prompt: say it, tap it, write first-vowel-last, then read it back; fade the sound boxes once accurate.","Review: Use quick mixed CVC retrieval and ask the child to re-read each word to check that all three sounds are present in order. Proofreading: In proofreading, ask the child to underline the vowel, check the first and last consonants, and correct missing or swapped sounds.","Start with regular one-syllable CVC words with clear short vowels; avoid digraphs, blends, long vowels, schwa, and tricky high-frequency words.","Avoid contrasting all short vowels at first. Once segmentation is secure, use minimal contrasts where only the target vowel or consonant changes.",sit_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CVC_SHORT_VOWELS_SHORT_O,human_reviewed_v1,active,TRUE,Child can segment CVC words and spell the target short /o/ in CVC words accurately.,"A CVC word has three sounds. Say it slowly, tap first sound, vowel sound, last sound, then write one letter for each sound.","In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,"Child may spell only the loudest sounds, swap the short vowel for a nearby vowel, or leave off the first or final consonant.",Orally segment a simple CVC word; count three sounds; identify the middle short-vowel sound; map each sound to a letter; practise with sound boxes before writing.,"Use high-frequency one-syllable CVC words. Prompt: say it, tap it, write first-vowel-last, then read it back; fade the sound boxes once accurate.","Review: Use quick mixed CVC retrieval and ask the child to re-read each word to check that all three sounds are present in order. Proofreading: In proofreading, ask the child to underline the vowel, check the first and last consonants, and correct missing or swapped sounds.","Start with regular one-syllable CVC words with clear short vowels; avoid digraphs, blends, long vowels, schwa, and tricky high-frequency words.","Avoid contrasting all short vowels at first. Once segmentation is secure, use minimal contrasts where only the target vowel or consonant changes.",dog_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CVC_SHORT_VOWELS_SHORT_U,human_reviewed_v1,active,TRUE,Child can segment CVC words and spell the target short /u/ in CVC words accurately.,"A CVC word has three sounds. Say it slowly, tap first sound, vowel sound, last sound, then write one letter for each sound.","In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,"Child may spell only the loudest sounds, swap the short vowel for a nearby vowel, or leave off the first or final consonant.",Orally segment a simple CVC word; count three sounds; identify the middle short-vowel sound; map each sound to a letter; practise with sound boxes before writing.,"Use high-frequency one-syllable CVC words. Prompt: say it, tap it, write first-vowel-last, then read it back; fade the sound boxes once accurate.","Review: Use quick mixed CVC retrieval and ask the child to re-read each word to check that all three sounds are present in order. Proofreading: In proofreading, ask the child to underline the vowel, check the first and last consonants, and correct missing or swapped sounds.","Start with regular one-syllable CVC words with clear short vowels; avoid digraphs, blends, long vowels, schwa, and tricky high-frequency words.","Avoid contrasting all short vowels at first. Once segmentation is secure, use minimal contrasts where only the target vowel or consonant changes.",sun_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CVC_SHORT_VOWELS_INITIAL_CONSONANT,human_reviewed_v1,active,TRUE,Child can segment CVC words and spell the target first consonant sound in CVC words accurately.,"A CVC word has three sounds. Say it slowly, tap first sound, vowel sound, last sound, then write one letter for each sound.","In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,"Child may spell only the loudest sounds, swap the short vowel for a nearby vowel, or leave off the first or final consonant.",Orally segment a simple CVC word; count three sounds; identify the middle short-vowel sound; map each sound to a letter; practise with sound boxes before writing.,"Use high-frequency one-syllable CVC words. Prompt: say it, tap it, write first-vowel-last, then read it back; fade the sound boxes once accurate.","Review: Use quick mixed CVC retrieval and ask the child to re-read each word to check that all three sounds are present in order. Proofreading: In proofreading, ask the child to underline the vowel, check the first and last consonants, and correct missing or swapped sounds.","Start with regular one-syllable CVC words with clear short vowels; avoid digraphs, blends, long vowels, schwa, and tricky high-frequency words.","Avoid contrasting all short vowels at first. Once segmentation is secure, use minimal contrasts where only the target vowel or consonant changes.",sat_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CVC_SHORT_VOWELS_FINAL_CONSONANT,human_reviewed_v1,active,TRUE,Child can segment CVC words and spell the target final consonant sound in CVC words accurately.,"A CVC word has three sounds. Say it slowly, tap first sound, vowel sound, last sound, then write one letter for each sound.","In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,"Child may spell only the loudest sounds, swap the short vowel for a nearby vowel, or leave off the first or final consonant.",Orally segment a simple CVC word; count three sounds; identify the middle short-vowel sound; map each sound to a letter; practise with sound boxes before writing.,"Use high-frequency one-syllable CVC words. Prompt: say it, tap it, write first-vowel-last, then read it back; fade the sound boxes once accurate.","Review: Use quick mixed CVC retrieval and ask the child to re-read each word to check that all three sounds are present in order. Proofreading: In proofreading, ask the child to underline the vowel, check the first and last consonants, and correct missing or swapped sounds.","Start with regular one-syllable CVC words with clear short vowels; avoid digraphs, blends, long vowels, schwa, and tricky high-frequency words.","Avoid contrasting all short vowels at first. Once segmentation is secure, use minimal contrasts where only the target vowel or consonant changes.",map_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CONSONANT_DIGRAPHS_SH_INITIAL_FINAL,human_reviewed_v1,active,TRUE,Child can treat sh as one /sh/ sound as one sound-spelling unit when reading and spelling.,"Two letters can work as a team to make one sound. For this skill, look for sh as one /sh/ sound and write both letters in the right order.",A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,"Child may write only one of the letters, reverse the letters, split the digraph into two sounds, or confuse it with a similar digraph.",Introduce the digraph as two letters for one sound; say the sound; underline the digraph in a model word; segment words by sound units rather than by letters.,"Use simple support words with sh as one /sh/ sound. Prompt the child to circle the two-letter team, say the sound once, and spell the whole word; fade the circling prompt.","Review: Use mixed digraph retrieval and proofreading. Ask the child to check whether the target sound has been written with the full two-letter team. Proofreading: In sentences, ask the child to spot words containing sh as one /sh/ sound, underline the digraph, and correct missing, reversed, or substituted letters.",Start with common short words where sh as one /sh/ sound appears clearly at the stated final position; avoid words with multiple unfamiliar digraphs or complex morphology.,"Do not compare several digraphs at once during first exposure. Later, contrast one nearby sound-spelling pair at a time, such as sh/ch or voiced/unvoiced th.",ship_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CONSONANT_DIGRAPHS_CH_INITIAL_FINAL,human_reviewed_v1,active,TRUE,Child can treat ch as one /ch/ sound as one sound-spelling unit when reading and spelling.,"Two letters can work as a team to make one sound. For this skill, look for ch as one /ch/ sound and write both letters in the right order.",A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,"Child may write only one of the letters, reverse the letters, split the digraph into two sounds, or confuse it with a similar digraph.",Introduce the digraph as two letters for one sound; say the sound; underline the digraph in a model word; segment words by sound units rather than by letters.,"Use simple support words with ch as one /ch/ sound. Prompt the child to circle the two-letter team, say the sound once, and spell the whole word; fade the circling prompt.","Review: Use mixed digraph retrieval and proofreading. Ask the child to check whether the target sound has been written with the full two-letter team. Proofreading: In sentences, ask the child to spot words containing ch as one /ch/ sound, underline the digraph, and correct missing, reversed, or substituted letters.",Start with common short words where ch as one /ch/ sound appears clearly at the stated final position; avoid words with multiple unfamiliar digraphs or complex morphology.,"Do not compare several digraphs at once during first exposure. Later, contrast one nearby sound-spelling pair at a time, such as sh/ch or voiced/unvoiced th.",chip_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
D4_PG_CONSONANT_DIGRAPHS_TH_UNVOICED,human_reviewed_v1,active,TRUE,Child can treat unvoiced th as one /th/ sound as one sound-spelling unit when reading and spelling.,"Two letters can work as a team to make one sound. For this skill, look for unvoiced th as one /th/ sound and write both letters in the right order.",A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,"Child may write only one of the letters, reverse the letters, split the digraph into two sounds, or confuse it with a similar digraph.",Introduce the digraph as two letters for one sound; say the sound; underline the digraph in a model word; segment words by sound units rather than by letters.,"Use simple support words with unvoiced th as one /th/ sound. Prompt the child to circle the two-letter team, say the sound once, and spell the whole word; fade the circling prompt.","Review: Use mixed digraph retrieval and proofreading. Ask the child to check whether the target sound has been written with the full two-letter team. Proofreading: In sentences, ask the child to spot words containing unvoiced th as one /th/ sound, underline the digraph, and correct missing, reversed, or substituted letters.",Start with common short words where unvoiced th as one /th/ sound appears clearly in the target position; avoid words with multiple unfamiliar digraphs or complex morphology.,"Do not compare several digraphs at once during first exposure. Later, contrast one nearby sound-spelling pair at a time, such as sh/ch or voiced/unvoiced th.",thin_en_gb,internal_authored,Katie Sanderson teaching content review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/csv/teaching_content_versions.csv,internal,"Human-authored and human-reviewed Teaching Dictionary micro-skill content supplied by Katie Sanderson; approved for candidate readiness validation, not imported to Supabase by this pass.",medium,draft_source_intake_v1,signed_off,Katie Sanderson,2026-07-01
