source_key,source_row_id,source_field,source_value,related_word_key,related_micro_skill_key,reason
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:1,misspelling_normalised,cet,cat_en_gb,D4_PG_CVC_SHORT_VOWELS_SHORT_A,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:3,misspelling_normalised,bad,bed_en_gb,D4_PG_CVC_SHORT_VOWELS_SHORT_E,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:4,misspelling_normalised,pin,pen_en_gb,D4_PG_CVC_SHORT_VOWELS_SHORT_E,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:5,misspelling_normalised,set,sit_en_gb,D4_PG_CVC_SHORT_VOWELS_SHORT_I,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:6,misspelling_normalised,pan,pin_en_gb,D4_PG_CVC_SHORT_VOWELS_SHORT_I,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:7,misspelling_normalised,sip,ship_en_gb,D4_PG_CONSONANT_DIGRAPHS_SH_INITIAL_FINAL,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:8,misspelling_normalised,fis,fish_en_gb,D4_PG_CONSONANT_DIGRAPHS_SH_INITIAL_FINAL,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:9,misspelling_normalised,cip,chip_en_gb,D4_PG_CONSONANT_DIGRAPHS_CH_INITIAL_FINAL,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:10,misspelling_normalised,ritch,rich_en_gb,D4_PG_CONSONANT_DIGRAPHS_CH_INITIAL_FINAL,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:11,misspelling_normalised,fin,thin_en_gb,D4_PG_CONSONANT_DIGRAPHS_TH_UNVOICED,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:12,misspelling_normalised,bat,bath_en_gb,D4_PG_CONSONANT_DIGRAPHS_TH_UNVOICED,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:13,misspelling_normalised,plai,play_en_gb,D4_PG_LONG_AI_FINAL_AY,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:14,misspelling_normalised,dae,day_en_gb,D4_PG_LONG_AI_FINAL_AY,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:15,misspelling_normalised,rayn,rain_en_gb,D4_PG_LONG_AI_MEDIAL_AI,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:16,misspelling_normalised,trane,train_en_gb,D4_PG_LONG_AI_MEDIAL_AI,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
canonical_spelling_word_map_v1,diagnostic_misspelling_mappings:17,misspelling_normalised,boet,boat_en_gb,D4_PG_LONG_OA_OA,Phase 5C has no canonical_misspellings.csv sheet; misspelling is preserved only in mapping source notes for review.
