word_key,raw_morpholex_segmentation,raw_morpholex_pos,morphology_parts,feature_keys,morphology_joins,transformation_notes,word_sum,analysis_status,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at,review_notes
either_en_gb,{(either)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
belief_en_gb,{(belief)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
immigrants_en_gb,{<in<(migr)>ant>},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
summary_en_gb,{(summar)>y>},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
diabetes_en_gb,{(diabetes)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
brownie_en_gb,{(brown)}>y>,,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
i_en_gb,{(i)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
be_en_gb,{(be)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
not_en_gb,{(not)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
by_en_gb,{(by)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
it_s_en_gb,{(it)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
which_en_gb,{(which)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
she_en_gb,{(she)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
how_en_gb,{(how)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
some_en_gb,{(some)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
also_en_gb,{(also)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
other_en_gb,{(other)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
our_en_gb,{(our)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
only_en_gb,{(only)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
into_en_gb,<in<{(to)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
after_en_gb,{(after)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
over_en_gb,{(over)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
think_en_gb,{(think)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
any_en_gb,{(any)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
well_en_gb,{(well)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
very_en_gb,{(very)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
most_en_gb,{(most)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
here_en_gb,{(here)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
need_en_gb,{(need)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
why_en_gb,{(why)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
those_en_gb,{(those)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
you_re_en_gb,{(you)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
while_en_gb,{(while)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
last_en_gb,{(last)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
both_en_gb,{(both)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
come_en_gb,{(come)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
better_en_gb,{(better)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
always_en_gb,{(always)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
high_en_gb,{(high)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
under_en_gb,{(under)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
mr_en_gb,,,[],[],[],,,in_review,internal_authored,No exact MorphoLex-en row,,,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,low,in_review,,,
didn_t_en_gb,{(did)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
feel_en_gb,{(feel)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
sure_en_gb,{(sure)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
might_en_gb,{(might)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
name_en_gb,{(name)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
he_s_en_gb,{(he)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
thought_en_gb,{(thought)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
done_en_gb,{(done)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
women_en_gb,{(women)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
system_en_gb,{(system)},,[],[],[],,,in_review,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,Raw linguistic candidate only. Reviewer must decide structured analysis and child-facing word sum; neither is inferred from MorphoLex.,medium,in_review,,,
