word_key,normalised_word,display_word,dialect_code,frequency_band,age_band,complexity_band,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,row_status
either_en_gb,either,either,en-GB,high,middle_primary,medium,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
belief_en_gb,belief,belief,en-GB,high,early_primary,medium,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
immigrants_en_gb,immigrants,immigrants,en-GB,high,upper_primary,high,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
summary_en_gb,summary,summary,en-GB,high,upper_primary,medium,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
diabetes_en_gb,diabetes,diabetes,en-GB,high,middle_primary,high,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
brownie_en_gb,brownie,brownie,en-GB,medium,early_primary,medium,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
i_en_gb,i,I,en-GB,high,early_primary,low,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
be_en_gb,be,be,en-GB,high,early_primary,low,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
not_en_gb,not,not,en-GB,high,early_primary,low,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
by_en_gb,by,by,en-GB,high,early_primary,low,internal_authored,Next Teaching Dictionary curriculum-evidence intake,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/uk_spelling_words_age_estimates.csv,internal/project-authored,Candidate selected from the project-authored UK spelling-age evidence list; human review required before promotion.,medium,in_review,draft
