cluster_key,micro_skill_key,catalog_display_name,skill_title,content_version,anchor_word,theme_key,word_bank_count,distractor_status,lesson_sequence,content_authored_status,content_reviewed_status,content_activated_status,schema_reconciliation_status,design_status,implementation_group,readiness_notes
D4_MOR_BASE_WORDS,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,Preserve base words after prefixes,Base word + prefix,d4_mor_category_v1_2026_07_11,replay,neutral,7,present,later_phase_transfer_or_proof,category_v1_approved_source_frozen,human_approved_2026_07_11,not_required_first_impression,not_required_first_impression,shared_later_phase_capability,base-word skills,"No standalone first-impression ADLE lesson is required; use only after base-word first exposure for transfer, proof, or review."
D4_MOR_BASE_WORDS,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,Preserve base words before suffixes,Base word + suffix,d4_mor_category_v1_2026_07_11,slowly,neutral,7,present,later_phase_transfer_or_proof,category_v1_approved_source_frozen,human_approved_2026_07_11,not_required_first_impression,not_required_first_impression,shared_later_phase_capability,base-word skills,"No standalone first-impression ADLE lesson is required; use only after base-word first exposure for transfer, proof, or review."
D4_MOR_BASE_WORDS,D4_MOR_BASE_WORDS_IDENTIFY_BASE,Identify the base word in a longer word,Find the base word,d4_mor_category_v1_2026_07_11,helpful,neutral,7,present,base_word_family_word_lab_v2,category_v1_approved_source_frozen,human_approved_2026_07_11,production_enabled,base_word_family_v2_production_verified,implemented,base-word family Word Lab,Production-enabled 2026-07-21 for eligible learners; six independent words and 18-item snapshot; reviewed family and dictation data required.
D4_MOR_BASE_WORDS,D4_MOR_BASE_WORDS_PRESERVE_BASE,Preserve the base word spelling in longer words,Keep the base word's spelling,d4_mor_category_v1_2026_07_11,really,neutral,7,present,base_word_family_word_lab_v2,category_v1_approved_source_frozen,human_approved_2026_07_11,production_enabled,base_word_family_v2_production_verified,implemented,base-word family Word Lab,Production-enabled 2026-07-21 for eligible learners; six independent words and 18-item snapshot; reviewed family and dictation data required.
D4_MOR_PREFIXES,D4_MOR_PREFIXES_DIS_MIS,Spell words with dis- and mis-,The prefixes dis- and mis-,d4_mor_category_v1_2026_07_11,misspell,neutral,7,present,dynamic_prefix_word_lab_v2,category_v1_approved_source_frozen,human_approved_2026_07_11,production_enabled,dynamic_prefix_v2_dis_mis_production_promoted_2026_07_22,implemented_shared_runtime,prefix skills,Production batch 6b7350f2-200e-4443-ab0f-85e78b03e842 enabled the reviewed seven-member profile with no learner writes.
D4_MOR_PREFIXES,D4_MOR_PREFIXES_IN_IM_IL_IR,"Spell negative prefixes in-, im-, il-, ir-","The changing prefix in-, im-, il-, ir-",d4_mor_category_v1_2026_07_11,impossible,latin,7,present,dynamic_prefix_word_lab_v2,category_v1_approved_source_frozen,human_approved_2026_07_11,production_enabled,dynamic_prefix_v2_in_im_il_ir_staging_proof_2026_07_22,implemented_shared_runtime,prefix skills,Production batch ead4be9e-33e6-4ee3-ad06-3f778ab9958d enabled seven reviewed members on 2026-07-28 with no learner writes.
D4_MOR_PREFIXES,D4_MOR_PREFIXES_RE_PRE,Spell words with re- and pre-,The prefixes re- and pre-,d4_mor_category_v1_2026_07_11,rebuild,neutral,7,present,dynamic_prefix_word_lab_v2,category_v1_approved_source_frozen,human_approved_2026_07_11,production_enabled,dynamic_prefix_v2_re_pre_production_promoted_2026_07_23,implemented_shared_runtime,prefix skills,Production batch 016705bb-9a87-44ce-a610-596132240b9b enabled the reviewed seven-member profile with no learner writes.
D4_MOR_PREFIXES,D4_MOR_PREFIXES_SUB_INTER_SUPER,Spell common longer prefixes,"The prefixes sub-, inter-, super-",d4_mor_category_v1_2026_07_11,submarine,latin,7,present,dynamic_prefix_word_lab_v2,category_v1_approved_source_frozen,human_approved_2026_07_11,production_enabled,dynamic_prefix_v2_sub_inter_super_child_feedback_proof_2026_07_23,implemented_shared_runtime,prefix skills,Production batch 7fc4dc11-416f-42f1-936e-c398395afac8 enabled seven reviewed members on 2026-07-28 with no learner writes.
D4_MOR_PREFIXES,D4_MOR_PREFIXES_UN,Spell words with prefix un-,The prefix un-,d4_mor_prefixes_un_word_lab_v1_2026_07_14_explicit_intro,unhappy,neutral,7,present,MICRO_READ_ONLY_INTRO>LESSON_WORDS_INTRO>MOR_STRIP_BUILD>MOR_MEANING_MATCH>MOR_BUILD_WORD>CONTROLLED_SPELLING>DICTATION_NO_IMAGE,category_v1_approved_source_frozen,human_approved_2026_07_11,production_enabled,word_lab_payload_v1_engineering_verified,implemented_shared_runtime,prefix skills,The reviewed seven-word un- profile is production-enabled through the independently gated generic dynamic prefix runtime; fixed v1 snapshots remain renderable.
D4_MOR_SUFFIXES,D4_MOR_SUFFIXES_ABLE_IBLE,Spell words with suffixes -able and -ible,The suffixes -able and -ible,d4_mor_affix_word_lab_v3,comfortable,latin,4,present,dynamic_suffix_word_lab_v3,reviewed_staging_package,human_approved_2026_07_27,production_enabled,dynamic_suffix_v3_able_ible_staging_proof_2026_07_27,implemented_shared_runtime,suffix skills,Production batch a276c839-aab5-493a-a1b1-377e28e7fe52 enabled the reviewed four-member profile with no learner writes.
