word_key,normalised_word,syllables,letter_count,phoneme_count,syllable_points,length_points,irregularity_band,irregularity_points,morphology_depth,morphology_points,has_schwa,mismatch_flag,structural_score,complexity_level,frequency_band,age_band,irregularity_note_source,banding_version
a_en_gb,a,1,1,1,0,0,0,0,1,0,True,False,1,1,high,early_primary,,banding_v1.1_2026-07-04.preview
ability_en_gb,ability,4,7,7,3,2,1,2,2,1,True,False,9,3,high,early_primary,suffix ity,banding_v1.1_2026-07-04.preview
about_en_gb,about,2,5,4,1,1,0,0,1,0,True,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
act_en_gb,act,1,3,3,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
action_en_gb,action,2,6,5,1,1,0,0,2,1,True,False,4,2,high,early_primary,,banding_v1.1_2026-07-04.preview
activity_en_gb,activity,4,8,8,3,2,1,2,3,2,False,False,9,3,high,lower_secondary,suffix ity,banding_v1.1_2026-07-04.preview
actor_en_gb,actor,2,5,4,1,1,0,0,2,1,True,False,4,2,high,early_primary,,banding_v1.1_2026-07-04.preview
actual_en_gb,actual,2,6,6,1,1,1,2,2,1,True,False,6,3,high,middle_primary,natural/actual weak vowel,banding_v1.1_2026-07-04.preview
again_en_gb,again,2,5,4,1,1,0,0,1,0,True,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
agreement_en_gb,agreement,3,9,8,2,3,0,0,2,1,True,False,7,3,high,early_primary,,banding_v1.1_2026-07-04.preview
air_en_gb,air,1,3,1,0,0,0,0,1,0,True,False,1,1,high,mid_secondary,,banding_v1.1_2026-07-04.preview
align_en_gb,align,2,5,4,1,1,0,0,2,1,True,False,4,2,medium,mid_secondary,,banding_v1.1_2026-07-04.preview
allowed_en_gb,allowed,2,7,4,1,2,0,0,1,0,True,True,5,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
aloud_en_gb,aloud,2,5,4,1,1,2,4,1,0,True,False,7,3,medium,middle_primary,content word homophone,banding_v1.1_2026-07-04.preview
alphabet_en_gb,alphabet,3,8,7,2,2,0,0,1,0,True,False,5,2,medium,early_primary,,banding_v1.1_2026-07-04.preview
angle_en_gb,angle,2,5,5,1,1,0,0,1,0,True,False,3,2,high,mid_secondary,,banding_v1.1_2026-07-04.preview
animal_en_gb,animal,3,6,6,2,1,0,0,1,0,True,False,4,2,high,early_primary,,banding_v1.1_2026-07-04.preview
ankle_en_gb,ankle,2,5,5,1,1,0,0,1,0,True,False,3,2,medium,early_primary,,banding_v1.1_2026-07-04.preview
answer_en_gb,answer,2,6,4,1,1,0,0,1,0,True,False,3,2,high,middle_primary,,banding_v1.1_2026-07-04.preview
antique_en_gb,antique,2,7,5,1,2,0,0,1,0,False,False,3,2,medium,middle_primary,,banding_v1.1_2026-07-04.preview
apple_en_gb,apple,2,5,4,1,1,0,0,1,0,True,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
are_en_gb,are,1,3,2,0,0,0,0,1,0,False,False,0,1,high,early_primary,,banding_v1.1_2026-07-04.preview
argument_en_gb,argument,3,8,8,2,2,1,2,2,1,True,False,8,3,high,middle_primary,suffix ment,banding_v1.1_2026-07-04.preview
around_en_gb,around,2,6,5,1,1,0,0,1,0,True,False,3,2,high,early_primary,,banding_v1.1_2026-07-04.preview
as_en_gb,as,1,2,2,0,0,0,0,1,0,False,False,0,1,high,middle_primary,,banding_v1.1_2026-07-04.preview
attention_en_gb,attention,3,9,7,2,3,1,2,2,1,True,False,9,3,high,middle_primary,final tion,banding_v1.1_2026-07-04.preview
author_en_gb,author,2,6,3,1,1,0,0,1,0,True,True,4,2,high,early_primary,,banding_v1.1_2026-07-04.preview
auto_en_gb,auto,2,4,3,1,0,0,0,1,0,True,False,2,2,high,upper_primary,,banding_v1.1_2026-07-04.preview
automatic_en_gb,automatic,4,9,8,3,3,0,0,1,0,True,False,7,3,high,middle_primary,,banding_v1.1_2026-07-04.preview
