word_key,micro_skill_key,support_role,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,review_notes,mapping_review,final_decision,reviewed_by,reviewed_at,review_notes_final
either_en_gb,D4_PG_LONG_EE_EI,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
belief_en_gb,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
immigrants_en_gb,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
summary_en_gb,D4_SCHWA_MEDIAL_COMMON_WEAK_VOWELS,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
diabetes_en_gb,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
diabetes_en_gb,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
brownie_en_gb,D4_PG_LONG_EE_IE,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
i_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
be_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
not_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
by_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
it_s_en_gb,D4_PAT_CONTRACTIONS_PRONOUN_VERB,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
which_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
she_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
how_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
some_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
also_en_gb,D4_IRRE_TRICKY_WORDS_SIMPLE_HIGH_FREQUENCY,support_example,ai_assisted_draft,Next Teaching Dictionary proposed mapping,docs/implementation/seed-data/domain4-seed-expansion/micro-skills.json,internal,Deterministic proposed mapping; requires human pedagogy review.,medium,in_review,Confirm that this word genuinely teaches the proposed micro-skill; do not approve merely to satisfy a learning-item gap.,in_review,in_review,,,
