row_type,word,field_group,actual_staging_value,approved_value_or_requirement,provenance,review_state,status,next_action,acceptance_check
word,illegal,"canonical/morphology","il + legal; high/middle_primary/high; teaching age 8; 3 syllables; /ɪlˈiːɡəl/; reviewed staging sentence/audio at index 2","Prefix: il + Base: legal; high/middle_primary/high; age 8; British IPA; preserve staging sentence/audio","correction batch 1c08ae26-6a57-4c8c-97b7-814cb081f1a5; human-approved morphology","approved_for_first_exposure","pass","Include in disposable proof","One prefix boundary at 2; sentence equals audio; target token is illegal"
word,impatient,"canonical/morphology","im + patient; medium/middle_primary/high; teaching age 8; 3 syllables; /ɪmpˈeɪʃənt/; sentence/audio at index 2","Prefix: im + Base: patient; medium/middle_primary/high; age 8; British IPA","reviewed staging package; batch dd7da3f9-a615-4051-bcdb-769c0651ead9","approved_for_first_exposure","pass","Include in disposable proof","One prefix boundary at 2; sentence equals audio; target token is impatient"
word,impossible,"canonical/morphology","im + possible; high/middle_primary/high; teaching age 8; 4 syllables; /ɪmpˈɒsəbəl/; reviewed staging sentence/audio at index 2","Prefix: im + Base: possible; high/middle_primary/high; age 8; British IPA; preserve staging sentence/audio","correction batch 1c08ae26-6a57-4c8c-97b7-814cb081f1a5; human-approved morphology","approved_for_first_exposure","pass","Include in disposable proof","One prefix boundary at 2; sentence equals audio; target token is impossible"
word,incorrect,"canonical/morphology","in + correct; medium/middle_primary/high; teaching age 8; 3 syllables; /ɪnkəɹˈɛkt/; reviewed staging sentence/audio at index 3","Prefix: in + Base: correct; medium/middle_primary/high; age 8; British IPA; preserve staging sentence/audio","correction batch 1c08ae26-6a57-4c8c-97b7-814cb081f1a5; human-approved morphology","approved_for_first_exposure","pass","Include in disposable proof","One prefix boundary at 2; sentence equals audio; target token is incorrect"
word,invisible,"canonical/morphology","in + Root vis + Suffix ible; high/middle_primary/high; teaching age 8; 4 syllables; /ɪnvˈɪzəbəl/; sentence/audio at index 5","Prefix: in + Root: vis + Suffix: ible; high/middle_primary/high; age 8; British IPA","reviewed staging package; batch dd7da3f9-a615-4051-bcdb-769c0651ead9","approved_for_first_exposure","pass","Include in disposable proof","Teaching split remains in + visible; true morphology stays out of child cleaver"
word,irregular,"canonical/morphology","ir + regular; medium/middle_primary/high; teaching age 8; 4 syllables; /ɪɹˈɛɡjuːlɐ/; reviewed staging sentence/audio at index 1","Prefix: ir + Base: regular; medium/middle_primary/high; age 8; British IPA; preserve staging sentence/audio","correction batch 1c08ae26-6a57-4c8c-97b7-814cb081f1a5; human-approved morphology","approved_for_first_exposure","pass","Include in disposable proof","One prefix boundary at 2; sentence equals audio; target token is irregular"
word,irresponsible,"canonical/morphology","ir + Root respons + Suffix ible; medium/middle_primary/high; teaching age 8; 5 syllables; /ɪɹɪspˈɒnsəbəl/; sentence/audio at index 2","Prefix: ir + Root: respons + Suffix: ible; medium/middle_primary/high; age 8; British IPA","reviewed staging package; batch dd7da3f9-a615-4051-bcdb-769c0651ead9","approved_for_first_exposure","pass","Include in disposable proof","Teaching split remains ir + responsible; true morphology stays out of child cleaver"
profile,D4_MOR_PREFIXES_IN_IM_IL_IR,"profile presentation","Active; approved; production_enabled false; neutral in-/im-, il-, ir- sort labels","No answer-revealing meaning text in sorting; reflection asks form selection","correction batch 1c08ae26-6a57-4c8c-97b7-814cb081f1a5","approved_for_first_exposure","pass","Browser proof","Sorting provides form labels only and discovery contrasts base/root versus new meaning"
runtime,D4_MOR_PREFIXES_IN_IM_IL_IR,"dictionary readiness","Loader now requires approved bands, pronunciation/morphology metadata, identical sentence/audio, valid token, reconstruction and one cleaver boundary","Fail closed for every missing or inconsistent reviewed fact","dynamic-prefix-profile-loader.ts; dynamic-prefix-word-lab.ts","implemented","pass","Run browser and regression proof","Profile is omitted from selection when any required field is absent"
runtime,D4_MOR_PREFIXES_IN_IM_IL_IR,"form coverage","Transfers prefer uncovered prefix forms after authentic targets; build differs from cleaver where possible","Maximise form coverage without displacing authentic targets or changing oldest-first selection","dynamic-prefix-word-lab.ts; four-profile proof regression","implemented","pass","Verify in browser proof","One/two authentic targets expose all four forms where available"
proof,D4_MOR_PREFIXES_IN_IM_IL_IR,"selector/database","Disposable-fixture selector proof passed for 1/2/3/4/>4 targets and cleaned up","Oldest-first, ties, transfer fill and overflow pending","adle-dynamic-prefix-four-profile-staging-selector-proof.ts","verified","passed","Browser proof recorded","Fresh fixture has zero remaining learning-item rows after proof"
proof,D4_MOR_PREFIXES_IN_IM_IL_IR,"child lesson","Passed: reload/resume, trace 0f072e0f-245a-4d12-9613-020eb8b8c027, 16 items, 14 events, 1 reflection, 2 taught and 2 scheduled rows; cleanup verified","Discovery, cleaver, neutral sort, mixed-form build, spelling, dictation, reflection, reload/resume, completion, evidence and scheduling","adle-dynamic-prefix-in-im-il-ir-staging-proof-2026-07-22.md","verified","passed","Retain proof evidence; do not promote automatically","Fixture-owned child, assignment, events, taught history and schedules are all zero after cleanup"
release,D4_MOR_PREFIXES_IN_IM_IL_IR,"release boundary","Staging-approved; no production profile row and production_enabled remains false","Separate written production approval required","release registry and readiness matrix","production_disabled","staging_approved","Await isolated written production approval","No production dictionary, learner, assignment, evidence, scheduler or route-gate writes"
