word_key,normalised_word,display_word,dialect_code,current_age_band,suggested_age_number,suggested_age_band,source_category,source_name,source_url_or_path,source_use_note,confidence,review_status,review_notes
books_en_gb,books,books,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
braver_en_gb,braver,braver,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
bravest_en_gb,bravest,bravest,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
busier_en_gb,busier,busier,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
called_en_gb,called,called,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
carries_en_gb,carries,carries,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
cars_en_gb,cars,cars,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
cities_en_gb,cities,cities,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
cleaned_en_gb,cleaned,cleaned,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
ended_en_gb,ended,ended,en-GB,candidate_review,,,internal_authored,Katie Sanderson manual age review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake/missing_age_evidence_fill_in_template.csv,Manual fill-in for canonical words with no AoA or UK age estimate evidence in the age recommendation audit.,,in_review,
