word_key,display_word,age_band,complexity_band,dictation_sentence,dictation_target_token_index,audio_text,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at,review_notes
either_en_gb,either,middle_primary,medium,Choose either book for your project.,1,Choose either book for your project.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
belief_en_gb,belief,early_primary,medium,Her belief gave her courage.,1,Her belief gave her courage.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
immigrants_en_gb,immigrants,upper_primary,high,Immigrants built new lives here.,0,Immigrants built new lives here.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
summary_en_gb,summary,upper_primary,medium,The summary lists the main points.,1,The summary lists the main points.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
diabetes_en_gb,diabetes,middle_primary,high,Diabetes affects blood sugar levels.,0,Diabetes affects blood sugar levels.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
brownie_en_gb,brownie,early_primary,medium,The brownie tasted rich and chocolatey.,1,The brownie tasted rich and chocolatey.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
i_en_gb,I,early_primary,low,I packed my lunch today.,0,I packed my lunch today.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
be_en_gb,be,early_primary,low,Be kind to the new pupil.,0,Be kind to the new pupil.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
not_en_gb,not,early_primary,low,The gate is not open.,3,The gate is not open.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
by_en_gb,by,early_primary,low,We travelled by train.,2,We travelled by train.,internal_authored,Teaching Dictionary final short-context dictation audit,,internal/project-authored,The exact target appears once in a short British-English sentence. The context makes the target meaningful without defining it directly.,high,approved_for_first_exposure,OpenAI-assisted final sentence audit,2026-07-26,Rewritten as a simple context-led sentence of no more than nine words. The target carries the main meaning. Names are avoided unless useful; only familiar British names or surnames are used.
