base_family_key,micro_skill_key,base_word,base_meaning,validation_status,eligible_authentic_target_count,eligible_authentic_targets,eligible_transfer_count,eligible_transfer_pool,proposed_six_word_lesson,family_member_details,blocking_reasons,human_review_status,human_review_notes
act_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,act,"to do, make, or carry out something",ready_for_individual_family_lesson,2,action ; activity,4,act ; actor ; actual ; interact,"action | authentic_target | act + ion → action | something that is done | His quick action stopped the cup from falling. ; activity | authentic_target | act + ivity → activity | something you do | Painting was our favourite activity at the club. ; act | base | act | to do something | Please act out the story with your group. ; actor | transfer | act + or → actor | a person who acts in a play, film, or show | The actor performed a funny scene on the stage. ; actual | transfer | act + ual → actual | real; not imagined | The actual score was ten, not our guess of twelve. ; interact | transfer | inter + act → interact | to act or communicate with each other | The children interact kindly in the game.","act | base | act | to do something | Please act out the story with your group. || action | authentic_target | act + ion → action | something that is done | His quick action stopped the cup from falling. || activity | authentic_target | act + ivity → activity | something you do | Painting was our favourite activity at the club. || actor | transfer | act + or → actor | a person who acts in a play, film, or show | The actor performed a funny scene on the stage. || actual | transfer | act + ual → actual | real; not imagined | The actual score was ten, not our guess of twelve. || interact | transfer | inter + act → interact | to act or communicate with each other | The children interact kindly in the game.",,,
angle_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,angle,the space between two lines that meet,requires_mixed_family_targets,1,triangle,1,angle,triangle | authentic_target | tri + angle → triangle | a three-sided shape | A triangle is a shape with three straight sides. ; angle | base | angle | the space between two lines that meet | An angle is the space where two lines meet.,angle | base | angle | the space between two lines that meet | An angle is the space where two lines meet. || triangle | authentic_target | tri + angle → triangle | a three-sided shape | A triangle is a shape with three straight sides.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
baby_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,baby,a very young child or animal,requires_mixed_family_targets,1,babies,1,baby,babies | authentic_target | baby + es → babies | more than one baby | The babies slept quietly in their cots. ; baby | base | baby | a very young child or animal | Mother took the baby to the bedroom.,babies | authentic_target | baby + es → babies | more than one baby | The babies slept quietly in their cots. || baby | base | baby | a very young child or animal | Mother took the baby to the bedroom.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
bake_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,bake,to cook in an oven,requires_mixed_family_targets,1,baked,1,bake,"baked | authentic_target | bake + d → baked | cooked in an oven earlier | We baked bread until the crust was golden. ; bake | base | bake | to cook food using dry heat, usually in an oven | Please bake the cake until it is golden.","bake | base | bake | to cook food using dry heat, usually in an oven | Please bake the cake until it is golden. || baked | authentic_target | bake + d → baked | cooked in an oven earlier | We baked bread until the crust was golden.",requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
bed_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,bed,furniture for sleeping,requires_mixed_family_targets,0,,1,bed,bed | base | bed | a piece of furniture for sleeping | I sleep in my bed at night.,bed | base | bed | a piece of furniture for sleeping | I sleep in my bed at night.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
big_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,big,large,requires_mixed_family_targets,2,bigger ; biggest,1,big,bigger | authentic_target | big + er → bigger | larger in size | The big elephant was bigger than the horse and the biggest animal at the zoo. ; biggest | authentic_target | big + est → biggest | largest in size | The big elephant was bigger than the horse and the biggest animal at the zoo. ; big | base | big | large in size | The big elephant was bigger than the horse and the biggest animal at the zoo.,big | base | big | large in size | The big elephant was bigger than the horse and the biggest animal at the zoo. || bigger | authentic_target | big + er → bigger | larger in size | The big elephant was bigger than the horse and the biggest animal at the zoo. || biggest | authentic_target | big + est → biggest | largest in size | The big elephant was bigger than the horse and the biggest animal at the zoo.,requires four eligible base/transfer words for a standalone family lesson,,
book_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,book,pages fastened together for reading,requires_mixed_family_targets,1,books,1,book,books | authentic_target | book + s → books | more than one book | We borrowed three books from the library. ; book | base | book | a set of written or printed pages | The teacher read a book in the library.,book | base | book | a set of written or printed pages | The teacher read a book in the library. || books | authentic_target | book + s → books | more than one book | We borrowed three books from the library.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
brave_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,brave,ready to face danger,requires_mixed_family_targets,2,braver ; bravest,1,brave,braver | authentic_target | brave + r → braver | more brave | The brave cub grew braver and became the bravest lion. ; bravest | authentic_target | brave + st → bravest | the most brave | The brave cub grew braver and became the bravest lion. ; brave | base | brave | able to face something frightening or difficult | The brave cub grew braver and became the bravest lion.,brave | base | brave | able to face something frightening or difficult | The brave cub grew braver and became the bravest lion. || braver | authentic_target | brave + r → braver | more brave | The brave cub grew braver and became the bravest lion. || bravest | authentic_target | brave + st → bravest | the most brave | The brave cub grew braver and became the bravest lion.,requires four eligible base/transfer words for a standalone family lesson,,
busy_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,busy,having a lot to do,requires_mixed_family_targets,2,busier ; busiest,1,busy,busier | authentic_target | busy + er → busier | having more to do | The busy shop grew busier until lunchtime was the busiest hour. ; busiest | authentic_target | busy + est → busiest | having the most to do | The busy shop grew busier until lunchtime was the busiest hour. ; busy | base | busy | having a lot to do | The busy shop grew busier until lunchtime was the busiest hour.,busier | authentic_target | busy + er → busier | having more to do | The busy shop grew busier until lunchtime was the busiest hour. || busiest | authentic_target | busy + est → busiest | having the most to do | The busy shop grew busier until lunchtime was the busiest hour. || busy | base | busy | having a lot to do | The busy shop grew busier until lunchtime was the busiest hour.,requires four eligible base/transfer words for a standalone family lesson,,
car_base_family,D4_MOR_BASE_WORDS_IDENTIFY_BASE,car,a road vehicle,requires_mixed_family_targets,1,cars,1,car,cars | authentic_target | car + s → cars | more than one car | The cars stopped when the traffic light turned red. ; car | base | car | a road vehicle that carries people | The car carried our family to the beach.,car | base | car | a road vehicle that carries people | The car carried our family to the beach. || cars | authentic_target | car + s → cars | more than one car | The cars stopped when the traffic light turned red.,requires at least two eligible authentic targets for a standalone family lesson | requires four eligible base/transfer words for a standalone family lesson,,
