"case_id","family","source_text","focus_surface","start_utf16","end_utf16","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","confidence","rationale"
"g2-to-too-two-0061","TO_TOO_TWO","At sunrise, the class checked its plan. Zoe walked to the harbour after lunch. The next page contained a different example.","to","51","53","","","","","",""
"g2-to-too-two-0019","TO_TOO_TWO","A small crowd waited near the noticeboard. The project is too brilliant for this task. Nobody changed the original wording.","too","58","61","","","","","",""
"g2-to-too-two-0200","TO_TOO_TWO","The final clue appeared beneath a blue card. Sam has too tickets in the cupboard. The class discussed why context mattered.","too","53","56","","","","","",""
"g2-to-too-two-0370","TO_TOO_TWO","A margin note mentioned “to” as a word form. By the window, three plants leaned toward the light. Nia wrote quickly the lights went out to the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","to","136","138","","","","","",""
"g2-to-too-two-0064","TO_TOO_TWO","During art club, the tables stayed busy. The blanket is Too kind for this task. The next page contained a different example.","Too","56","59","","","","","",""
"g2-to-too-two-0034","TO_TOO_TWO","The morning began with an unexpected puzzle. The shells is too wet for this task. The detail mattered to the whole story.","too","59","62","","","","","",""
"g2-to-too-two-0178","TO_TOO_TWO","The science group compared yesterday's notes. Esme wants a ticket two. A later paragraph changed the subject.","two","66","69","","","","","",""
"g2-to-too-two-0354","TO_TOO_TWO","The morning began with an unexpected puzzle. The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","71","74","","","","","",""
"g2-to-too-two-0162","TO_TOO_TWO","After lunch, everyone returned quietly. Nia wants Two play before tea. A later paragraph changed the subject.","Two","50","53","","","","","",""
"g2-to-too-two-0100","TO_TOO_TWO","The final clue appeared beneath a blue card. Esme has two tickets in the cupboard. Everyone understood the surrounding scene.","two","54","57","","","","","",""
"g2-to-too-two-0022","TO_TOO_TWO","After lunch, everyone returned quietly. Omar wants To see before tea. The detail mattered to the whole story.","To","51","53","","","","","",""
"g2-to-too-two-0260","TO_TOO_TWO","Luca has Too bags in the cupboard. The author was describing a real event.","Too","9","12","","","","","",""
"g2-to-too-two-0270","TO_TOO_TWO","By the window, three plants leaned toward the light. Esme has too books in the cupboard. The teacher preserved the learner's original phrasing.","too","62","65","","","","","",""
"g2-to-too-two-0325","TO_TOO_TWO","Nia copied “to” onto a vocabulary card. The short line came from an imperfect first draft.","to","12","14","","","","","",""
"g2-to-too-two-0115","TO_TOO_TWO","Once the music ended, the hall became still. Sam has two toys in the cupboard. The writer left the punctuation exactly as shown.","two","53","56","","","","","",""
"g2-to-too-two-0033","TO_TOO_TWO","A robin landed beside the chalk line. Iris wants a sandwich too. The detail mattered to the whole story.","too","60","63","","","","","",""
"g2-to-too-two-0231","TO_TOO_TWO","After the long journey, nobody hurried. Zoe walked too the house after lunch. Weather and whether were discussed as an unrelated near-homophone pair.","too","51","54","","","","","",""
"g2-to-too-two-0265","TO_TOO_TWO","A bell sounded across the empty yard. Omar has to bags in the cupboard. The teacher preserved the learner's original phrasing.","to","47","49","","","","","",""
"g2-to-too-two-0182","TO_TOO_TWO","Luca wants two make before tea. The class discussed why context mattered.","two","11","14","","","","","",""
"g2-to-too-two-0242","TO_TOO_TWO","After lunch, everyone returned quietly. Leo wants two write before tea. The author was describing a real event.","two","50","53","","","","","",""
"g2-to-too-two-0011","TO_TOO_TWO","After the long journey, nobody hurried. Nia walked to the garden after lunch. Nobody changed the original wording.","to","51","53","","","","","",""
"g2-to-too-two-0268","TO_TOO_TWO","In the kitchen, a timer clicked twice. Leo wants a blanket two. The teacher preserved the learner's original phrasing.","two","59","62","","","","","",""
"g2-to-too-two-0142","TO_TOO_TWO","After lunch, everyone returned quietly. Luca wants to make before tea. The sentence stood on its own in the draft.","to","51","53","","","","","",""
"g2-to-too-two-0393","TO_TOO_TWO","A robin landed beside the chalk line. In the unseen picture, the label beside the arrow might be two. The writer had not yet revised the response.","two","97","100","","","","","",""
"g2-to-too-two-0326","TO_TOO_TWO","The note arrived on a windy Tuesday. Sam copied “too” onto a vocabulary card. The short line came from an imperfect first draft.","too","49","52","","","","","",""
"g2-to-too-two-0036","TO_TOO_TWO","The coach placed a clipboard on the bench. Ruby walked To the house after lunch. The detail mattered to the whole story.","To","55","57","","","","","",""
"g2-to-too-two-0196","TO_TOO_TWO","The coach placed a clipboard on the bench. Noah walked two the museum after lunch. The class discussed why context mattered.","two","55","58","","","","","",""
"g2-to-too-two-0078","TO_TOO_TWO","Noah wants a copy Too. The next page contained a different example.","Too","18","21","","","","","",""
"g2-to-too-two-0382","TO_TOO_TWO","After lunch, everyone returned quietly. In the unseen picture, the label beside the arrow might be to. The writer had not yet revised the response.","to","99","101","","","","","",""
"g2-to-too-two-0397","TO_TOO_TWO","Just before dusk, the clouds turned orange. In the unseen picture, the label beside the arrow might be to. The writer had not yet revised the response.","to","103","105","","","","","",""
"g2-to-too-two-0241","TO_TOO_TWO","At sunrise, the class checked its plan. Luca walked too the harbour after lunch. The author was describing a real event.","too","52","55","","","","","",""
"g2-to-too-two-0130","TO_TOO_TWO","Noah has two coats in the cupboard. No answer choices were visible.","two","9","12","","","","","",""
"g2-to-too-two-0210","TO_TOO_TWO","By the window, three plants leaned toward the light. Iris has too tickets in the cupboard. The notebook also contained two unrelated spelling slips.","too","62","65","","","","","",""
"g2-to-too-two-0175","TO_TOO_TWO","Once the music ended, the hall became still. Luca has to helmets in the cupboard. A later paragraph changed the subject.","to","54","56","","","","","",""
"g2-to-too-two-0233","TO_TOO_TWO","A robin landed beside the chalk line. Sam wants a badge to. Weather and whether were discussed as an unrelated near-homophone pair.","to","56","58","","","","","",""
"g2-to-too-two-0168","TO_TOO_TWO","In the kitchen, a timer clicked twice. Luca wants a badge two. A later paragraph changed the subject.","two","58","61","","","","","",""
"g2-to-too-two-0236","TO_TOO_TWO","The coach placed a clipboard on the bench. Iris walked two the school after lunch. Weather and whether were discussed as an unrelated near-homophone pair.","two","55","58","","","","","",""
"g2-to-too-two-0289","TO_TOO_TWO","The youngest pupil reread the instructions. The lantern is to patient for this task. A second reader interpreted the passage independently.","to","59","61","","","","","",""
"g2-to-too-two-0104","TO_TOO_TWO","The project is too friendly for this task. The writer left the punctuation exactly as shown.","too","15","18","","","","","",""
"g2-to-too-two-0351","TO_TOO_TWO","The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","26","29","","","","","",""
"g2-to-too-two-0371","TO_TOO_TWO","After the long journey, nobody hurried. Sam wrote quickly the lights went out Too the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","Too","78","81","","","","","",""
"g2-to-too-two-0058","TO_TOO_TWO","📝 The science group compared yesterday's notes. Leo wants a turn too. A partner checked the line once more.","too","66","69","","","","","",""
"g2-to-too-two-0310","TO_TOO_TWO","By the window, three plants leaned toward the light. Maybe to ... because the next page is missing. The surrounding paragraph remained available for review.","to","59","61","","","","","",""
"g2-to-too-two-0345","TO_TOO_TWO","A bell sounded across the empty yard. The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","64","67","","","","","",""
"g2-to-too-two-0149","TO_TOO_TWO","The youngest pupil reread the instructions. The blanket is too fragile for this task. The sentence stood on its own in the draft.","too","59","62","","","","","",""
"g2-to-too-two-0227","TO_TOO_TWO","Before rehearsal, the group counted slowly. Luca wants too make before tea. Weather and whether were discussed as an unrelated near-homophone pair.","too","55","58","","","","","",""
"g2-to-too-two-0379","TO_TOO_TWO","A small crowd waited near the noticeboard. Maya wrote quickly the lights went out to the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","to","82","84","","","","","",""
"g2-to-too-two-0330","TO_TOO_TWO","By the window, three plants leaned toward the light. Noah copied “two” onto a vocabulary card. The short line came from an imperfect first draft.","two","66","69","","","","","",""
"g2-to-too-two-0174","TO_TOO_TWO","📝 The morning began with an unexpected puzzle. The bicycles is two ready for this task. A later paragraph changed the subject.","two","64","67","","","","","",""
"g2-to-too-two-0202","TO_TOO_TWO","After lunch, everyone returned quietly. Leo wants two write before tea. The notebook also contained two unrelated spelling slips.","two","50","53","","","","","",""
"g2-to-too-two-0077","TO_TOO_TWO","Just before dusk, the clouds turned orange. Nia wants to play before tea. The next page contained a different example.","to","54","56","","","","","",""
"g2-to-too-two-0003","TO_TOO_TWO","The rain stopped before the gate opened. Omar wants a badge too. Nobody changed the original wording.","too","60","63","","","","","",""
"g2-to-too-two-0290","TO_TOO_TWO","📝 By the window, three plants leaned toward the light. Zoe has too helmets in the cupboard. A second reader interpreted the passage independently.","too","64","67","","","","","",""
"g2-to-too-two-0070","TO_TOO_TWO","By the window, three plants leaned toward the light. Nia has two helmets in the cupboard. The next page contained a different example.","two","61","64","","","","","",""
"g2-to-too-two-0388","TO_TOO_TWO","In the kitchen, a timer clicked twice. In the unseen picture, the label beside the arrow might be to. The writer had not yet revised the response.","to","98","100","","","","","",""
"g2-to-too-two-0284","TO_TOO_TWO","During art club, the tables stayed busy. The helmets is two happy for this task. A second reader interpreted the passage independently.","two","56","59","","","","","",""
"g2-to-too-two-0108","TO_TOO_TWO","In the kitchen, a timer clicked twice. Sam wants a turn too. The writer left the punctuation exactly as shown.","too","56","59","","","","","",""
"g2-to-too-two-0032","TO_TOO_TWO","The caretaker unlocked the side entrance. Leo wants to write before tea. The detail mattered to the whole story.","to","52","54","","","","","",""
"g2-to-too-two-0082","TO_TOO_TWO","After lunch, everyone returned quietly. Sam wants to walk before tea. Everyone understood the surrounding scene.","to","50","52","","","","","",""
"g2-to-too-two-0249","TO_TOO_TWO","The youngest pupil reread the instructions. The lantern is to fragile for this task. The author was describing a real event.","to","59","61","","","","","",""
"g2-to-too-two-0277","TO_TOO_TWO","Just before dusk, the clouds turned orange. Esme wants too eat before tea. The teacher preserved the learner's original phrasing.","too","55","58","","","","","",""
"g2-to-too-two-0222","TO_TOO_TWO","A margin note mentioned “two” as a word form. After lunch, everyone returned quietly. Noah wants two finish before tea. Weather and whether were discussed as an unrelated near-homophone pair.","two","97","100","","","","","",""
"g2-to-too-two-0226","TO_TOO_TWO","The note arrived on a windy Tuesday. Sam walked two the harbour after lunch. Weather and whether were discussed as an unrelated near-homophone pair.","two","48","51","","","","","",""
"g2-to-too-two-0157","TO_TOO_TWO","Just before dusk, the clouds turned orange. Leo wants too write before tea. The sentence stood on its own in the draft.","too","54","57","","","","","",""
"g2-to-too-two-0091","TO_TOO_TWO","Leo walked to the library after lunch. Everyone understood the surrounding scene.","to","11","13","","","","","",""
"g2-to-too-two-0240","TO_TOO_TWO","The final clue appeared beneath a blue card. Nia has too cats in the cupboard. Weather and whether were discussed as an unrelated near-homophone pair.","too","53","56","","","","","",""
"g2-to-too-two-0136","TO_TOO_TWO","The coach placed a clipboard on the bench. Nia walked to the garden after lunch. No answer choices were visible.","to","54","56","","","","","",""
"g2-to-too-two-0211","TO_TOO_TWO","After the long journey, nobody hurried. Esme walked Too the museum after lunch. The notebook also contained two unrelated spelling slips.","Too","52","55","","","","","",""
"g2-to-too-two-0020","TO_TOO_TWO","The final clue appeared beneath a blue card. Maya has two coats in the cupboard. Nobody changed the original wording.","two","54","57","","","","","",""
"g2-to-too-two-0317","TO_TOO_TWO","Just before dusk, the clouds turned orange. Maybe too ... because the next page is missing. The surrounding paragraph remained available for review.","too","50","53","","","","","",""
"g2-to-too-two-0340","TO_TOO_TWO","The final clue appeared beneath a blue card. Iris copied “to” onto a vocabulary card. The short line came from an imperfect first draft.","to","58","60","","","","","",""
"g2-to-too-two-0131","TO_TOO_TWO","After the long journey, nobody hurried. Maya walked to the library after lunch. No answer choices were visible.","to","52","54","","","","","",""
"g2-to-too-two-0394","TO_TOO_TWO","The morning began with an unexpected puzzle. In the unseen picture, the label beside the arrow might be to. The writer had not yet revised the response.","to","104","106","","","","","",""
"g2-to-too-two-0183","TO_TOO_TWO","The rain stopped before the gate opened. Leo wants a badge To. The class discussed why context mattered.","To","59","61","","","","","",""
"g2-to-too-two-0304","TO_TOO_TWO","During art club, the tables stayed busy. Maybe to ... because the next page is missing. The surrounding paragraph remained available for review.","to","47","49","","","","","",""
"g2-to-too-two-0126","TO_TOO_TWO","The note arrived on a windy Tuesday. Esme walked to the museum after lunch. No answer choices were visible.","to","49","51","","","","","",""
"g2-to-too-two-0337","TO_TOO_TWO","Just before dusk, the clouds turned orange. Sam copied “to” onto a vocabulary card. The short line came from an imperfect first draft.","to","56","58","","","","","",""
"g2-to-too-two-0252","TO_TOO_TWO","The caretaker unlocked the side entrance. Sam wants two walk before tea. The author was describing a real event.","two","52","55","","","","","",""
"g2-to-too-two-0124","TO_TOO_TWO","During art club, the tables stayed busy. The rucksack is too right for this task. No answer choices were visible.","too","57","60","","","","","",""
"g2-to-too-two-0214","TO_TOO_TWO","The morning began with an unexpected puzzle. The pencils is two wrong for this task. The notebook also contained two unrelated spelling slips.","two","60","63","","","","","",""
"g2-to-too-two-0286","TO_TOO_TWO","Luca walked two the house after lunch. A second reader interpreted the passage independently.","two","12","15","","","","","",""
"g2-to-too-two-0135","TO_TOO_TWO","Once the music ended, the hall became still. Ruby has two cats in the cupboard. No answer choices were visible.","two","54","57","","","","","",""
"g2-to-too-two-0163","TO_TOO_TWO","The rain stopped before the gate opened. Noah wants a sandwich to. A later paragraph changed the subject.","to","63","65","","","","","",""
