micro_skill_key,content_version,version_status,is_active,teaching_objective,child_friendly_explanation,rule_explanation,memory_tip,anchor_word_key,ordered_example_word_keys,contrast_word_keys,common_misconceptions,first_exposure_progression,review_progression,source_category,source_name,source_url,source_licence,source_use_note,confidence,supersedes_content_version,final_readiness_review_status,final_readiness_reviewed_by,final_readiness_reviewed_at
D4_PG_CVC_SHORT_VOWELS_SHORT_A,draft_source_intake_v1,draft,FALSE,Draft objective: Spell short /a/ in CVC words.,Draft for review: notice the spelling pattern in cat and compare it with the examples.,"In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,cat_en_gb,cat_en_gb|map_en_gb|sat_en_gb|pan_en_gb|tap_en_gb|mat_en_gb|cap_en_gb,cot_en_gb|mop_en_gb|pen_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CVC_SHORT_VOWELS_SHORT_E,draft_source_intake_v1,draft,FALSE,Draft objective: Spell short /e/ in CVC words.,Draft for review: notice the spelling pattern in bed and compare it with the examples.,"In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,bed_en_gb,bed_en_gb|pen_en_gb|red_en_gb|ten_en_gb|pet_en_gb|hen_en_gb|leg_en_gb,bad_en_gb|pin_en_gb|rid_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CVC_SHORT_VOWELS_SHORT_I,draft_source_intake_v1,draft,FALSE,Draft objective: Spell short /i/ in CVC words.,Draft for review: notice the spelling pattern in sit and compare it with the examples.,"In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,sit_en_gb,sit_en_gb|pin_en_gb|dig_en_gb|lip_en_gb|big_en_gb|fit_en_gb|rip_en_gb,sat_en_gb|pen_en_gb|dog_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CVC_SHORT_VOWELS_SHORT_O,draft_source_intake_v1,draft,FALSE,Draft objective: Spell short /o/ in CVC words.,Draft for review: notice the spelling pattern in dog and compare it with the examples.,"In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,dog_en_gb,dog_en_gb|hop_en_gb|pot_en_gb|log_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CVC_SHORT_VOWELS_SHORT_U,draft_source_intake_v1,draft,FALSE,Draft objective: Spell short /u/ in CVC words.,Draft for review: notice the spelling pattern in sun and compare it with the examples.,"In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,sun_en_gb,sun_en_gb|cup_en_gb|mud_en_gb|run_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CVC_SHORT_VOWELS_INITIAL_CONSONANT,draft_source_intake_v1,draft,FALSE,Draft objective: Spell initial consonant in CVC words.,Draft for review: notice the spelling pattern in cat and compare it with the examples.,"In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,cat_en_gb,cat_en_gb|dog_en_gb|sun_en_gb|pen_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CVC_SHORT_VOWELS_FINAL_CONSONANT,draft_source_intake_v1,draft,FALSE,Draft objective: Spell final consonant in CVC words.,Draft for review: notice the spelling pattern in map and compare it with the examples.,"In CVC words, each spoken sound should be represented in order, with one short vowel letter in the middle.",,map_en_gb,map_en_gb|bed_en_gb|sit_en_gb|dog_en_gb,,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_DIGRAPHS_SH_INITIAL_FINAL,draft_source_intake_v1,draft,FALSE,Draft objective: Spell initial and final /sh/ with `sh`.,Draft for review: notice the spelling pattern in ship and compare it with the examples.,A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,ship_en_gb,ship_en_gb|shop_en_gb|fish_en_gb|wish_en_gb|shut_en_gb|shell_en_gb|brush_en_gb,sip_en_gb|chop_en_gb|fit_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_DIGRAPHS_CH_INITIAL_FINAL,draft_source_intake_v1,draft,FALSE,Draft objective: Spell initial and final /ch/ with `ch`.,Draft for review: notice the spelling pattern in chip and compare it with the examples.,A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,chip_en_gb,chip_en_gb|chat_en_gb|rich_en_gb|much_en_gb|chin_en_gb|chop_en_gb|bench_en_gb,ship_en_gb|cat_en_gb|rick_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
D4_PG_CONSONANT_DIGRAPHS_TH_UNVOICED,draft_source_intake_v1,draft,FALSE,Draft objective: Spell unvoiced /th/ with `th`.,Draft for review: notice the spelling pattern in thin and compare it with the examples.,A consonant digraph uses two letters to represent one consonant sound; the child should treat the grapheme as one sound-spelling unit.,,thin_en_gb,thin_en_gb|thick_en_gb|bath_en_gb|path_en_gb|thumb_en_gb|thing_en_gb|cloth_en_gb,fin_en_gb|bat_en_gb|tick_en_gb,Draft misconception notes should be added by human review.,rule_explanation|guided_rule_application,rapid_recall,ai_assisted_draft,Phase 5 source-intake AI-assisted draft,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,,AI-assisted draft copy for human curriculum review only; must not be promoted or surfaced without human approval.,low,,not_started,,
