misspelling,correction,suggested_micro_skill_key,confidence,source,note,dialect,source_dataset,source_row_id,import_batch_name,pattern_hint,route_hint
buisness,business,D4_IRRE_TRICKY_WORDS_COMMON_HIGH_FREQUENCY,high,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to common high-frequency tricky word after hosted canonical comparison; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0001,common-misspellings-seed-v1,common high-frequency tricky word,candidate_review
becuase,because,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,high,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0002,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
beacuse,because,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,high,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0003,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
becouse,because,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,medium,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0004,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
beautifull,beautiful,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,high,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0005,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
butiful,beautiful,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,medium,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0006,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
usally,usually,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,high,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0007,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
useually,usually,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,medium,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0008,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
faverite,favourite,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,medium,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0009,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
favrite,favourite,D4_IRRE_TRICKY_WORDS_COMPLEX_HIGH_FREQUENCY,medium,manual_common_misspellings_seed_v1,"Curated common misspelling seed; mapped to longer high-frequency tricky word; candidate evidence only, not learner evidence.",en-GB,manual_common_misspellings_seed_v1,common-seed-v1-0010,common-misspellings-seed-v1,longer high-frequency tricky word,candidate_review
