schema_version,intake_slot_id,source_reference,source_text,authored_by,authorship_confirmed,classification,intended_alternative,supported_construction,declared_construction,declared_subtype,protected_set_tags_json,primary_focus_approved,primary_labeler,primary_label_timestamp_utc,primary_notes
1,to-too-two-gerund-001,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_01,,,,,,,,,,,,,
1,to-too-two-gerund-002,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_02,,,,,,,,,,,,,
1,to-too-two-gerund-003,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_03,,,,,,,,,,,,,
1,to-too-two-gerund-004,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_04,,,,,,,,,,,,,
1,to-too-two-gerund-005,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_05,,,,,,,,,,,,,
1,to-too-two-gerund-006,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_06,,,,,,,,,,,,,
1,to-too-two-gerund-007,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_07,,,,,,,,,,,,,
1,to-too-two-gerund-008,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_08,,,,,,,,,,,,,
1,to-too-two-gerund-009,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_09,,,,,,,,,,,,,
1,to-too-two-gerund-010,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_10,,,,,,,,,,,,,
