source_supplement_id,source_text,focus_surface,start_utf16,end_utf16,span_validated,family,classification,intended_alternative,supported_construction,declared_construction,declared_subtype,primary_focus_approved,protected_set_tags_json,source_provenance,governed_inventory_status
there-quota-002,"Leo said they’re finishing the science posters, but the others can start without them. Nobody needed to remind them again.",to,101,103,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-004,"Noah thinks their packing the art supplies, so we should give them a few more minutes. Nobody needed to remind them again.",to,101,103,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-014,"Ruby thinks their writing their book reviews, so we should give them a few more minutes. Nobody needed to remind them again.",to,103,105,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-017,"Lily thinks there waiting by the gate, so we should give them a few more minutes. Nobody needed to remind them again.",to,96,98,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-018,"Noah thinks their sorting the reading books, so we should give them a few more minutes. A few minutes later, everyone was ready to move on.",to,128,130,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-019,"The children said they’re ready for the next activity, although Theo wanted to check once more. Nobody needed to remind them again.",to,76,78,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-019,"The children said they’re ready for the next activity, although Theo wanted to check once more. Nobody needed to remind them again.",to,110,112,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-020,"The children said they’re excited for the next activity, although Leo wanted to check once more. Nobody needed to remind them again.",to,77,79,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-020,"The children said they’re excited for the next activity, although Leo wanted to check once more. Nobody needed to remind them again.",to,111,113,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-021,"The children said they’re careful for the next activity, although Freya wanted to check once more. The group had plenty of time before the next lesson.",to,79,81,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-022,"The children said they’re quiet for the next activity, although Ruby wanted to check once more. They finished before the bell rang.",to,76,78,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-023,"The children said they’re nervous for the next activity, although George wanted to check once more. They finished before the bell rang.",to,80,82,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-024,"The children said they’re confident for the next activity, although Arthur wanted to check once more. A few minutes later, everyone was ready to move on.",to,82,84,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-024,"The children said they’re confident for the next activity, although Arthur wanted to check once more. A few minutes later, everyone was ready to move on.",to,142,144,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-025,"The children said they’re hungry for the next activity, although Sophie wanted to check once more. Nobody needed to remind them again.",to,79,81,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-025,"The children said they’re hungry for the next activity, although Sophie wanted to check once more. Nobody needed to remind them again.",to,113,115,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-026,"The children said they’re tired for the next activity, although Charlie wanted to check once more. The rest of the class carried on with the next task.",to,79,81,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-027,"The children said they’re early for the next activity, although Jack wanted to check once more. A few minutes later, everyone was ready to move on.",to,76,78,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-027,"The children said they’re early for the next activity, although Jack wanted to check once more. A few minutes later, everyone was ready to move on.",to,136,138,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-028,"The children said they’re late for the next activity, although George wanted to check once more. Everyone else continued with their own work.",to,77,79,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-029,"The children said they’re busy for the next activity, although Freya wanted to check once more. The group had plenty of time before the next lesson.",to,76,78,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-030,"The children said they’re patient for the next activity, although Jack wanted to check once more. A few minutes later, everyone was ready to move on.",to,78,80,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-030,"The children said they’re patient for the next activity, although Jack wanted to check once more. A few minutes later, everyone was ready to move on.",to,138,140,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-031,"The children said they’re curious for the next activity, although Grace wanted to check once more. The teacher checked on them a few minutes later.",to,79,81,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-032,"The children said they’re comfortable for the next activity, although Leo wanted to check once more. The teacher checked on them a few minutes later.",to,81,83,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-033,The organiser confirmed they’re supposed to meet us after lunch. They finished before the bell rang.,to,41,43,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-034,The organiser confirmed they’re expected to return the books today. The room was much calmer once they had settled down.,to,41,43,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-035,The organiser confirmed they’re allowed to use the side entrance. The group had plenty of time before the next lesson.,to,40,42,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-036,The organiser confirmed they’re asked to wait outside. Nobody needed to remind them again.,to,38,40,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
there-quota-036,The organiser confirmed they’re asked to wait outside. Nobody needed to remind them again.,to,69,71,true,TO_TOO_TWO,VALID,,TRUE,infinitive,governed_infinitive,FALSE,[],THERE_THEIR_THEYRE / Subtype Quota Supplement,LABEL READY; system case_id/fingerprint still derives from governed occurrence inventory
