passage_id,source_text,authored_by,authorship_confirmed,source_group
v3-your-youre-0001,"Because the rain had started, please place your chess clock on the table before joining the group. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0002,The librarian put a note inside your sketch pad so it would not be returned to the wrong shelf. No one needed to change the plan.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0003,"If the blue folder belongs to you, write your name clearly on the tag before leaving. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0004,George asked about your reading journal because the label had come loose during the lesson. The adults did not interfere because the children were managing it themselves.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0005,The librarian put a note inside your recipe book so it would not be returned to the wrong shelf. The teacher checked again before everyone left.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0006,"The group waited while Sophie looked through your scarves for the missing page. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0007,"If the water bottle belongs to you, write your name clearly on the tag before leaving. That detail mattered when they tidied the room at the end.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0008,The librarian put a note inside your raincoat so it would not be returned to the wrong shelf. That detail mattered when they tidied the room at the end.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0009,"The group waited while Thomas looked through your shoes for the missing page. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0010,Ruby asked about your umbrella because the label had come loose during the lesson. The class carried on without any further delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0011,The librarian put a note inside your blue folder so it would not be returned to the wrong shelf. Nobody noticed until the room had almost emptied.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0012,"Before the activity begins, check that your notes are arranged in the correct order. The adults did not interfere because the children were managing it themselves.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0013,"The coach praised your careful preparation and calm decisions during the practice session. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0014,"The group waited while Amelia looked through your models for the missing page. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0015,The coach praised your careful preparation and calm decisions during the practice session. The next activity started as soon as everyone was ready.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0016,The group waited while Jack looked through your worksheets for the missing page. That detail mattered when they tidied the room at the end.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0017,"If the blue folder belongs to you, write your name clearly on the tag before leaving. The adults did not interfere because the children were managing it themselves.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0018,"Before the activity begins, check that your worksheets are arranged in the correct order. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0019,The coach praised your careful preparation and calm decisions during the practice session. That detail mattered when they tidied the room at the end.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0020,"The librarian put a note inside your water bottle so it would not be returned to the wrong shelf. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0021,"The coach praised your careful preparation and calm decisions during the practice session. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0022,"If the lunch box belongs to you, write your name clearly on the tag before leaving. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0023,Isla asked about your music book because the label had come loose during the lesson. The class carried on without any further delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0024,Noah asked about your music book because the label had come loose during the lesson. That detail mattered when they tidied the room at the end.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0025,"The coach praised your careful preparation and calm decisions during the practice session. Later, everyone laughed about how easy it had been to miss. Afterwards, Millie wrote a short note about the activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0026,"When the doors opened, please place your map on the table before joining the group. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0027,"The group waited while Alfie looked through your bags for the missing page. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0028,Henry asked about your paintbrush because the label had come loose during the lesson. The next activity started as soon as everyone was ready.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0029,"After the lesson ended, please place your sketch pad on the table before joining the group. Nobody noticed until the room had almost emptied.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0030,The librarian put a note inside your science model so it would not be returned to the wrong shelf. That detail mattered when they tidied the room at the end.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0031,The librarian put a note inside your map so it would not be returned to the wrong shelf. That detail mattered when they tidied the room at the end.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0032,"As the class lined up, please place your lunch box on the table before joining the group. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0033,The librarian put a note inside your lunch box so it would not be returned to the wrong shelf. That detail mattered when they tidied the room at the end.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0034,"Arthur asked about your umbrella because the label had come loose during the lesson. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0035,"Before the activity begins, check that your drawings are arranged in the correct order. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0036,"Before the activity begins, check that your tickets are arranged in the correct order. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0037,"If the paintbrush belongs to you, write your name clearly on the tag before leaving. Nobody noticed until the room had almost emptied.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0038,The librarian put a note inside your raincoat so it would not be returned to the wrong shelf. Nobody noticed until the room had almost emptied.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0039,"As the class lined up, please place your tennis racket on the table before joining the group. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0040,Lily asked about your pencil case because the label had come loose during the lesson. That detail mattered when they tidied the room at the end.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0041,The group waited while George looked through your notes for the missing page. The teacher checked again before everyone left.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0042,"If the tennis racket belongs to you, write your name clearly on the tag before leaving. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0043,"If the umbrella belongs to you, write your name clearly on the tag before leaving. The class carried on without any further delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0044,"When the doors opened, please place your tennis racket on the table before joining the group. The class carried on without any further delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0045,"When the doors opened, please place your blue folder on the table before joining the group. That detail mattered when they tidied the room at the end.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0046,The librarian put a note inside your blue folder so it would not be returned to the wrong shelf. The adults did not interfere because the children were managing it themselves.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0047,Rosie asked about your red scarf because the label had come loose during the lesson. The next activity started as soon as everyone was ready.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0048,"Your drawings are stacked beside the window, and the teacher said they can stay there until home time. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0049,"Before the activity begins, check that your photographs are arranged in the correct order. The adults did not interfere because the children were managing it themselves.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0050,"If the water bottle belongs to you, write your name clearly on the tag before leaving. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0051,"The coach praised your careful preparation and calm decisions during the practice session. A few minutes later, the group moved on to the next activity. Afterwards, Evie wrote a short note about the activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0052,"The librarian put a note inside your music book so it would not be returned to the wrong shelf. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0053,"Your cards are stacked beside the window, and the teacher said they can stay there until home time. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0054,"Before the activity begins, check that your shoes are arranged in the correct order. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0055,"Finn asked about your football because the label had come loose during the lesson. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0056,"If the raincoat belongs to you, write your name clearly on the tag before leaving. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0057,"The librarian put a note inside your paintbrush so it would not be returned to the wrong shelf. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0058,"If the notebook belongs to you, write your name clearly on the tag before leaving. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0059,"The coach praised your careful preparation and calm decisions during the practice session. Later, everyone laughed about how easy it had been to miss. Afterwards, Ivy wrote a short note about the activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0060,Jack asked about your notebook because the label had come loose during the lesson. No one needed to change the plan.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0061,"Before the activity begins, check that your aprons are arranged in the correct order. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0062,"Your projects are stacked beside the window, and the teacher said they can stay there until home time. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0063,"Your gloves are stacked beside the window, and the teacher said they can stay there until home time. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0064,"If the pencil case belongs to you, write your name clearly on the tag before leaving. That detail mattered when they tidied the room at the end.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0065,"Your projects are stacked beside the window, and the teacher said they can stay there until home time. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0066,"Your folders are stacked beside the window, and the teacher said they can stay there until home time. Later, everyone laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0067,"Before the activity begins, check that your photographs are arranged in the correct order. The class carried on without any further delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0068,Rosie asked about your pencil case because the label had come loose during the lesson. The class carried on without any further delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0069,"If the tennis racket belongs to you, write your name clearly on the tag before leaving. The adults did not interfere because the children were managing it themselves.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0070,"If the library card belongs to you, write your name clearly on the tag before leaving. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0071,Oliver asked about your paintbrush because the label had come loose during the lesson. The teacher checked again before everyone left.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0072,"If the red scarf belongs to you, write your name clearly on the tag before leaving. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0073,Finn asked about your pencil case because the label had come loose during the lesson. The adults did not interfere because the children were managing it themselves.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0074,"Your coats are stacked beside the window, and the teacher said they can stay there until home time. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-your-youre-0075,Ella asked about your map because the label had come loose during the lesson. The teacher checked again before everyone left.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
