supplement_id,target_classification,target_subtype,observed_member_in_ai_draft,intended_alternative_if_invalid,human_authored_passage,notes
there-quota-001,VALID,progressive_contraction,they’re,,"Oliver said they’re getting ready for lunch, but the others can start without them. The group had plenty of time before the next lesson.",
there-quota-002,VALID,progressive_contraction,they’re,,"Leo said they’re finishing the science posters, but the others can start without them. Nobody needed to remind them again.",
there-quota-003,VALID,progressive_contraction,they’re,,"Jack said they’re building the model bridge, but the others can start without them. The room was much calmer once they had settled down.",
there-quota-004,INVALID,progressive_contraction,their,they're,"Noah thinks their packing the art supplies, so we should give them a few more minutes. Nobody needed to remind them again.",
there-quota-005,INVALID,progressive_contraction,there,they're,"Ava thinks there waiting by the gate, so we should give them a few more minutes. The teacher checked on them a few minutes later.",
there-quota-006,INVALID,progressive_contraction,their,they're,"Jack thinks their waiting by the gate, so we should give them a few more minutes. The room was much calmer once they had settled down.",
there-quota-007,INVALID,progressive_contraction,there,they're,"Leo thinks there carrying the sports equipment, so we should give them a few more minutes. The group had plenty of time before the next lesson.",
there-quota-008,INVALID,progressive_contraction,their,they're,"Mia thinks their helping with the costumes, so we should give them a few more minutes. The rest of the class carried on with the next task.",
there-quota-009,INVALID,progressive_contraction,there,they're,"Oscar thinks there checking the chess pieces, so we should give them a few more minutes. The group had plenty of time before the next lesson.",
there-quota-010,INVALID,progressive_contraction,their,they're,"Isla thinks their waiting by the gate, so we should give them a few more minutes. They finished before the bell rang.",
there-quota-011,INVALID,progressive_contraction,there,they're,"Oliver thinks there walking back from the library, so we should give them a few more minutes. The room was much calmer once they had settled down.",
there-quota-012,INVALID,progressive_contraction,their,they're,"Oliver thinks their checking the chess pieces, so we should give them a few more minutes. They finished before the bell rang.",
there-quota-013,INVALID,progressive_contraction,there,they're,"Charlie thinks there practising for the concert, so we should give them a few more minutes. The teacher checked on them a few minutes later.",
there-quota-014,INVALID,progressive_contraction,their,they're,"Ruby thinks their writing their book reviews, so we should give them a few more minutes. Nobody needed to remind them again.",
there-quota-015,INVALID,progressive_contraction,there,they're,"Freya thinks there walking back from the library, so we should give them a few more minutes. The group had plenty of time before the next lesson.",
there-quota-016,INVALID,progressive_contraction,their,they're,"Charlie thinks their cleaning the paintbrushes, so we should give them a few more minutes. They finished before the bell rang.",
there-quota-017,INVALID,progressive_contraction,there,they're,"Lily thinks there waiting by the gate, so we should give them a few more minutes. Nobody needed to remind them again.",
there-quota-018,INVALID,progressive_contraction,their,they're,"Noah thinks their sorting the reading books, so we should give them a few more minutes. A few minutes later, everyone was ready to move on.",
there-quota-019,VALID,adjectival_contraction,they’re,,"The children said they’re ready for the next activity, although Theo wanted to check once more. Nobody needed to remind them again.",
there-quota-020,VALID,adjectival_contraction,they’re,,"The children said they’re excited for the next activity, although Leo wanted to check once more. Nobody needed to remind them again.",
there-quota-021,VALID,adjectival_contraction,they’re,,"The children said they’re careful for the next activity, although Freya wanted to check once more. The group had plenty of time before the next lesson.",
there-quota-022,VALID,adjectival_contraction,they’re,,"The children said they’re quiet for the next activity, although Ruby wanted to check once more. They finished before the bell rang.",
there-quota-023,VALID,adjectival_contraction,they’re,,"The children said they’re nervous for the next activity, although George wanted to check once more. They finished before the bell rang.",
there-quota-024,VALID,adjectival_contraction,they’re,,"The children said they’re confident for the next activity, although Arthur wanted to check once more. A few minutes later, everyone was ready to move on.",
there-quota-025,VALID,adjectival_contraction,they’re,,"The children said they’re hungry for the next activity, although Sophie wanted to check once more. Nobody needed to remind them again.",
there-quota-026,VALID,adjectival_contraction,they’re,,"The children said they’re tired for the next activity, although Charlie wanted to check once more. The rest of the class carried on with the next task.",
there-quota-027,VALID,adjectival_contraction,they’re,,"The children said they’re early for the next activity, although Jack wanted to check once more. A few minutes later, everyone was ready to move on.",
there-quota-028,VALID,adjectival_contraction,they’re,,"The children said they’re late for the next activity, although George wanted to check once more. Everyone else continued with their own work.",
there-quota-029,VALID,adjectival_contraction,they’re,,"The children said they’re busy for the next activity, although Freya wanted to check once more. The group had plenty of time before the next lesson.",
there-quota-030,VALID,adjectival_contraction,they’re,,"The children said they’re patient for the next activity, although Jack wanted to check once more. A few minutes later, everyone was ready to move on.",
there-quota-031,VALID,adjectival_contraction,they’re,,"The children said they’re curious for the next activity, although Grace wanted to check once more. The teacher checked on them a few minutes later.",
there-quota-032,VALID,adjectival_contraction,they’re,,"The children said they’re comfortable for the next activity, although Leo wanted to check once more. The teacher checked on them a few minutes later.",
there-quota-033,VALID,passive_contraction,they’re,,The organiser confirmed they’re supposed to meet us after lunch. They finished before the bell rang.,
there-quota-034,VALID,passive_contraction,they’re,,The organiser confirmed they’re expected to return the books today. The room was much calmer once they had settled down.,
there-quota-035,VALID,passive_contraction,they’re,,The organiser confirmed they’re allowed to use the side entrance. The group had plenty of time before the next lesson.,
