Word,Age
a,5
about,5
abscess,10
accept,8
accessible,9
accident,7
accidentally,8
accommodate,10
accompany,10
according,9
ace,6
ache,8
achieve,9
act,7
action,6
active,7
actual,7
actually,8
addition,6
address,7
admiration,8
admission,7
admit,8
admitted,8
admitting,8
adolescent,8
adorable,10
adorably,10
adoration,8
adore,10
advantageous,8
adventure,7
adventurous,7
advice,10
advise,10
affect,8
affection,8
after,6
again,6
age,6
aggressive,9
agree,7
agreeable,9
agreement,6
aisle,9
align,10
allowed,9
almost,6
aloud,9
alphabet,5
already,6
also,6
altar,10
alter,10
although,8
always,6
amateur,10
ambitious,9
anchor,7
ancient,9
angel,6
angrier,6
angriest,6
angrily,6
angry,6
animal,6
ankle,6
answer,7
anticlimax,8
anticlockwise,8
antifreeze,8
antihero,8
antique,8
antiseptic,8
antisocial,8
any,6
apparent,10
appear,7
apple,6
applicable,10
applicably,10
application,10
apply,10
appoint,7
appreciate,10
apprehend,8
apprehension,8
April,7
archer,7
architect,8
are,5
aren't,6
argue,5
argument,6
arm,5
around,5
arrive,7
art,5
artificial,9
ascend,7
ascent,10
ask,5
assent,10
assistance,10
assistant,10
atrocious,9
attached,9
attraction,7
August,7
autobiography,8
autograph,8
automatic,8
automatically,8
automobile,8
autopilot,8
autumn,10
available,9
average,9
award,6
awful,6
awkward,9
babies,6
back,5
badge,6
badly,6
bake,5
baked,6
baker,6
baking,6
ball,5
band,9
bank,5
banned,9
bare,5
bargain,9
baron,9
barren,9
basically,8
bath,6
bawl,8
be,5
beak,5
bear,5
beautician,8
beautiful,6
beauty,8
because,6
bedroom,5
bee,6
beg,6
begged,6
begging,6
begin,7
beginner,7
beginning,7
behave,7
behind,6
beige,8
believe,8
bell,5
beneficial,10
benefitted,8
berries,6
berry,8
better,5
bicycle,8
biggest,6
bird,5
bite,5
black,5
blew,6
blow,5
blue,5
board,9
boat,5
boil,5
bomb,9
bone,5
book,5
boot,5
bored,9
born,5
borough,9
both,6
bottle,6
bough,9
bought,9
bow,5
boxer,6
boxes,5
boxing,6
boy,5
boy's,6
boys,5
brake,8
bread,5
break,6
breakable,10
breakthrough,10
breath,7
breathe,8
bridal,9
bridge,6
bridle,9
brochure,7
brother,6
brought,9
brown,5
bruise,9
budge,6
budgeted,8
build,7
bullied,6
bully,6
bullying,6
burn,5
burp,5
bury,8
bushes,5
busily,7
business,6
busy,6
butcher,7
buzz,5
buzzed,5
buzzer,5
buzzing,5
by,5
caffeine,9
cage,6
calculation,8
calendar,7
call,5
came,5
camel,6
campaign,10
can't,6
candle,6
capital,6
caption,6
capture,7
car,5
care,5
cared,6
careful,6
careless,6
carer,6
caring,6
carried,6
carry,6
carrying,6
case,5
castle,6
catalogue,8
catch,5
catcher,7
category,10
cats,5
caught,8
cautious,9
ceiling,9
celebration,8
cemetery,10
centre,6
century,8
cereal,9
certain,8
chair,5
chalet,7
chalk,6
champagne,8
chance,6
chandelier,8
change,6
changeable,10
chaos,8
character,7
charade,8
charge,6
chauffeur,8
cheekily,7
chef,7
chemist,7
cheque,8
chew,5
chic,8
chief,5
child,6
child's,6
children,6
chimney,6
chimneys,6
chivalry,8
choir,8
cholera,7
chopping,6
chore,5
chorus,7
Christmas,6
churches,5
circle,6
city,6
class,5
cliff,5
climb,6
closer,6
closest,6
clothes,6
cloud,5
clown,5
clue,5
clueless,6
clumsily,6
clumsy,6
co-author,9
co-operate,9
co-ordinate,9
co-own,9
coat,5
coil,5
coin,5
cold,6
colleague,8
collectible,9
collision,7
column,10
come,5
comfortable,9
comfortably,9
comically,7
commercial,10
commit,7
committed,7
committee,10
committing,8
communicate,10
community,9
compatible,10
competition,9
complement,10
complete,7
completely,7
completion,8
compliment,10
comprehend,8
comprehension,8
conceit,10
conceited,10
conceive,10
concentration,8
confer,9
conference,9
conferred,9
conferring,9
confession,8
confidence,9
confident,9
confidential,9
confrontation,8
confuse,8
confusion,7
conscience,10
conscientious,10
conscious,10
consider,8
considerable,10
considerably,10
consideration,10
consistency,10
consistent,10
construction,7
containing,9
continually,7
continue,8
controversy,10
convenience,10
conversation,8
convertible,9
convey,8
conveyor,8
cook,5
copied,6
copy,6
copying,6
correct,7
correction,7
correctly,7
correspond,10
cough,9
could,6
could've,6
count,5
counterfeit,10
country,7
couple,7
courage,7
courageous,8
courteous,8
cousin,7
covered,6
cow,5
crawl,5
creature,7
credential,9
credible,7
crescent,7
crew,5
cries,5
criticise,10
crown,5
crucial,9
cruel,5
crumb,9
cry,6
crystal,7
cube,5
culture,7
curiosity,10
curious,8
curl,5
