word_key,syllables,phoneme_hint,grapheme_notes,stress_pattern,has_schwa,morphemes,morphology_notes,irregularity_notes,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status
a_en_gb,1,AH0 / EY1,,unstressed,TRUE,a: root:a,"MorphoLex-en exact evidence: [a; POS=minor|NN; Nmorph=1; PRS=0,1,0; segmentation={(a)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
ability_en_gb,4,/ɐbˈɪlətˌi/,,unstressed-primary-unstressed-secondary,TRUE,ability: root:able + suffix:ity,"MorphoLex-en exact evidence: [ability; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(able)}>ity>] Selection note: Exact MorphoLex row used.",suffix ity,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
about_en_gb,2,/ɐbˈaʊt/,,unstressed-primary,TRUE,about: root:about,"MorphoLex-en exact evidence: [about; POS=minor|RB|JJ; Nmorph=1; PRS=0,1,0; segmentation={(about)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
act_en_gb,1,/ˈækt/,,primary,FALSE,act: root:act,"MorphoLex-en exact evidence: [act; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(act)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
action_en_gb,2,/ˈækʃən/,,primary-unstressed,TRUE,action: root:act + suffix:ion,"Latin root act meaning do; suffix -ion forms a noun. | MorphoLex-en exact evidence: [action; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(act)}>ion>] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
activity_en_gb,4,/æktˈɪvɪti/,,unstressed-primary-unstressed-unstressed,FALSE,activity: root:act + suffix:ive + suffix:ity,"Latin root act meaning do; suffixes build a related noun. | MorphoLex-en exact evidence: [activity; POS=NN; Nmorph=3; PRS=0,1,2; segmentation={(act)}>ive>>ity>] Selection note: Exact MorphoLex row used.",suffix ity,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
actor_en_gb,2,/ˈæktɐ/,,primary-unstressed,TRUE,actor: root:act + suffix:or,"Latin root act meaning do; suffix -or marks a person who does the action. | MorphoLex-en exact evidence: [actor; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(act)}>or>] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
actual_en_gb,2,/ˈæktʃuːəl/,,primary-unstressed,TRUE,actual: root:act + suffix:al,"MorphoLex-en exact evidence: [actual; POS=JJ|NN; Nmorph=2; PRS=0,1,1; segmentation={(act)>al>}] Selection note: Exact MorphoLex row used.",natural/actual weak vowel,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
again_en_gb,2,/ɐɡˈɛn/,,unstressed-primary,TRUE,again: root:again,"MorphoLex-en exact evidence: [again; POS=RB; Nmorph=1; PRS=0,1,0; segmentation={(again)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
agreement_en_gb,3,/ɐɡɹˈiːmənt/,,unstressed-primary-unstressed,TRUE,agreement: root:agree + suffix:ment,"MorphoLex-en exact evidence: [agreement; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(agree)}>ment>] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
air_en_gb,1,/ˈeə/,,primary,TRUE,air: root:air,"MorphoLex-en exact evidence: [air; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(air)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
align_en_gb,2,/ɐlˈaɪn/,,unstressed-primary,TRUE,align: prefix:a + root:line,"MorphoLex-en exact evidence: [align; POS=VB; Nmorph=2; PRS=1,1,0; segmentation={<a<(line)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
allowed_en_gb,2,/ɐlˈaʊd/,,unstressed-primary,TRUE,allowed: root:allow,"MorphoLex-en exact evidence: [allowed; POS=VB; Nmorph=1; PRS=0,1,0; segmentation={(allow)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
aloud_en_gb,2,/ɐlˈaʊd/,,unstressed-primary,TRUE,aloud: root:aloud,"MorphoLex-en exact evidence: [aloud; POS=RB; Nmorph=1; PRS=0,1,0; segmentation={(aloud)}] Selection note: Exact MorphoLex row used.",content word homophone,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
alphabet_en_gb,3,/ˈælfəbˌɛt/,,primary-unstressed-secondary,TRUE,alphabet: root:alphabet,"MorphoLex-en exact evidence: [alphabet; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(alphabet)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
angle_en_gb,2,/ˈæŋɡəl/,,primary-unstressed,TRUE,angle: root:angle,"MorphoLex-en exact evidence: [angle; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(angle)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
animal_en_gb,3,/ˈænɪməl/,,primary-unstressed-unstressed,TRUE,animal: root:animal,"MorphoLex-en exact evidence: [animal; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(animal)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
ankle_en_gb,2,/ˈæŋkəl/,,primary-unstressed,TRUE,ankle: root:ankle,"MorphoLex-en exact evidence: [ankle; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(ankle)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
answer_en_gb,2,/ˈɑːnsɐ/,,primary-unstressed,TRUE,answer: root:answer,"MorphoLex-en exact evidence: [answer; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(answer)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
antique_en_gb,2,/æntˈiːk/,,unstressed-primary,FALSE,antique: root:antique,"MorphoLex-en exact evidence: [antique; POS=JJ|NN; Nmorph=1; PRS=0,1,0; segmentation={(antique)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
apple_en_gb,2,/ˈæpəl/,,primary-unstressed,TRUE,apple: root:apple,"MorphoLex-en exact evidence: [apple; POS=NN; Nmorph=1; PRS=0,1,0; segmentation={(apple)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
are_en_gb,1,AA1 R / ER0,,primary,FALSE,are: root:are,"MorphoLex-en exact evidence: [are; POS=VB; Nmorph=1; PRS=0,1,0; segmentation={(are)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
argument_en_gb,3,/ˈɑːɡjuːmənt/,,primary-unstressed-unstressed,TRUE,argument: root:argue + suffix:ment,"MorphoLex-en exact evidence: [argument; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(argue)}>ment>] Selection note: Exact MorphoLex row used.",suffix ment,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
around_en_gb,2,/ɐɹˈaʊnd/,,unstressed-primary,TRUE,around: root:around,"MorphoLex-en exact evidence: [around; POS=minor|RB; Nmorph=1; PRS=0,1,0; segmentation={(around)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
as_en_gb,1,AE1 Z / EH1 Z,,primary,FALSE,as: root:as,"MorphoLex-en exact evidence: [as; POS=minor|RB; Nmorph=1; PRS=0,1,0; segmentation={(as)}] Selection note: Exact MorphoLex row used.",,open_licensed,MorphoLex-en,https://github.com/hugomailhot/MorphoLex-en,CC BY-NC-SA 4.0,"MorphoLex-en morphology segmentation and variables. Project legal/importability review passed for this candidate metadata use; no import performed by this pass. Citation: Sanchez-Gutierrez, Mailhot, Deacon et al. (2017), doi:10.3758/s13428-017-0981-8. Pronunciation values remain as previously populated and audited.",medium,approved_for_first_exposure
