word_key,syllables,phoneme_hint,grapheme_notes,stress_pattern,has_schwa,morphemes,morphology_notes,irregularity_notes,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status
played_en_gb,,,,,,play + ed,Base word play with suffix -ed; supports identifying the base word inside an inflected word.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
player_en_gb,,,,,,play + er,Base word play with suffix -er; supports identifying the base word before a suffix.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
replayed_en_gb,,,,,,re + play + ed,Prefix re- plus base word play plus suffix -ed; supports identifying the base inside a longer word.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
hopeful_en_gb,,,,,,hope + ful,Base word hope is preserved before suffix -ful.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
hopeless_en_gb,,,,,,hope + less,Base word hope is preserved before suffix -less.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
careful_en_gb,,,,,,care + ful,Base word care is preserved before suffix -ful.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
signature_en_gb,,,,,,sign + ature,Word family sign/signature; spelling preserves the base/root connection even when pronunciation shifts.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
health_en_gb,,,,,,heal + th,Word family heal/health; spelling shows the related base while pronunciation changes.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
natural_en_gb,,,,,,nature + al,Word family nature/natural; spelling and sound change across the related forms.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
action_en_gb,,,,,,act + ion,Latin root act meaning do; suffix -ion forms a noun.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
actor_en_gb,,,,,,act + or,Latin root act meaning do; suffix -or marks a person who does the action.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
activity_en_gb,,,,,,act + ive + ity,Latin root act meaning do; suffixes build a related noun.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
telephone_en_gb,,,,,,tele + phone,Greek roots tele meaning far and phone meaning sound/voice.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
photograph_en_gb,,,,,,photo + graph,Greek roots photo meaning light and graph meaning write/draw.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
cycle_en_gb,,,,,,cycle,Greek-derived root cycle meaning circle or wheel.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
hoped_en_gb,,,,,,hope + ed,Drop final e before adding -ed: hope -> hoped.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
liked_en_gb,,,,,,like + ed,Drop final e before adding -ed: like -> liked.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
smiled_en_gb,,,,,,smile + ed,Drop final e before adding -ed: smile -> smiled.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
tried_en_gb,,,,,,try + ed,Change final consonant + y to i before -ed: try -> tried.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
copied_en_gb,,,,,,copy + ed,Change final consonant + y to i before -ed: copy -> copied.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
cried_en_gb,,,,,,cry + ed,Change final consonant + y to i before -ed: cry -> cried.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
stopped_en_gb,,,,,,stop + ed,Double the final consonant before -ed in a short-vowel CVC base: stop -> stopped.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
hopped_en_gb,,,,,,hop + ed,Double the final consonant before -ed in a short-vowel CVC base: hop -> hopped.,,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure
