"case_id","family","source_text","focus_surface","start_utf16","end_utf16","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","confidence","rationale"
"g2-there-their-theyre-0158","THERE_THEIR_THEYRE","The science group compared yesterday's notes. Nia left the hamster over they're. The sentence stood on its own in the draft.","they're","72","79","","","","","",""
"g2-there-their-theyre-0198","THERE_THEIR_THEYRE","The science group compared yesterday's notes. Ruby left the notebook over they're. The class discussed why context mattered.","they're","74","81","","","","","",""
"g2-there-their-theyre-0139","THERE_THEIR_THEYRE","A small crowd waited near the noticeboard. their notebook looked useful after the journey. No answer choices were visible.","their","43","48","","","","","",""
"g2-there-their-theyre-0071","THERE_THEIR_THEYRE","After the long journey, nobody hurried. Their bicycles looked fragile after the journey. The next page contained a different example.","Their","40","45","","","","","",""
"g2-there-their-theyre-0325","THERE_THEIR_THEYRE","Nia copied “there” onto a vocabulary card. The short line came from an imperfect first draft.","there","12","17","","","","","",""
"g2-there-their-theyre-0064","THERE_THEIR_THEYRE","During art club, the tables stayed busy. They're wrong about tomorrow's visit. The next page contained a different example.","They're","41","48","","","","","",""
"g2-there-their-theyre-0211","THERE_THEIR_THEYRE","After the long journey, nobody hurried. There shells looked kind after the journey. The notebook also contained two unrelated spelling slips.","There","40","45","","","","","",""
"g2-there-their-theyre-0327","THERE_THEIR_THEYRE","Before rehearsal, the group counted slowly. Ari copied “they're” onto a vocabulary card. The short line came from an imperfect first draft.","they're","56","63","","","","","",""
"g2-there-their-theyre-0208","THERE_THEIR_THEYRE","their wrong about tomorrow's visit. The notebook also contained two unrelated spelling slips.","their","0","5","","","","","",""
"g2-there-their-theyre-0324","THERE_THEIR_THEYRE","During art club, the tables stayed busy. Maya copied “they're” onto a vocabulary card. The short line came from an imperfect first draft.","they're","54","61","","","","","",""
"g2-there-their-theyre-0322","THERE_THEIR_THEYRE","After lunch, everyone returned quietly. Omar copied “There” onto a vocabulary card. The short line came from an imperfect first draft.","There","53","58","","","","","",""
"g2-there-their-theyre-0387","THERE_THEIR_THEYRE","Before rehearsal, the group counted slowly. In the unseen picture, the label beside the arrow might be they're. The writer had not yet revised the response.","they're","103","110","","","","","",""
"g2-there-their-theyre-0113","THERE_THEIR_THEYRE","A robin landed beside the chalk line. There is a notebook beside the gate. The writer left the punctuation exactly as shown.","There","38","43","","","","","",""
"g2-there-their-theyre-0124","THERE_THEIR_THEYRE","During art club, the tables stayed busy. they're ready about tomorrow's visit. No answer choices were visible.","they're","41","48","","","","","",""
