word_key,normalised_word,display_word,dialect_code,current_frequency_band,recommended_frequency_band,frequency_primary_source,frequency_source_used,frequency_match_status,frequency_evidence,bnc_fallback_match_status,bnc_fallback_evidence,bnc_wordfreq_band_comparison_status,current_age_band,recommended_age_band,aoa_evidence_status,recommendation_status,review_notes,recommended_age_number_unrounded,recommended_age_number,age_source_status,aoa_median_age,aoa_meaning_row_count,uk_curriculum_age,age_review_flags
a_en_gb,a,a,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=7.36,exact,BNC frequency=21636; rank=5; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.12,7,aoa_and_uk,9.25,2,5,multiple_meanings_review|aoa_uk_difference_over_2_years
ability_en_gb,ability,ability,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.96,exact,BNC frequency=91; rank=1158; band=medium,disagree,candidate_review,early_primary,aoa_only,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_only,6,1,,
about_en_gb,about,about,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=6.4,exact,BNC frequency=1971; rank=57; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,5.5,6,aoa_and_uk,6,8,5,multiple_meanings_review
act_en_gb,act,act,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.3,exact,BNC frequency=274; rank=331; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6.5,7,aoa_and_uk,6,7,7,multiple_meanings_review
action_en_gb,action,action,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.25,exact,BNC frequency=221; rank=436; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.25,7,aoa_and_uk,8.5,3,6,multiple_meanings_review|aoa_uk_difference_over_2_years
activity_en_gb,activity,activity,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.86,exact,BNC frequency=115; rank=899; band=high,agree,candidate_review,lower_secondary,aoa_only,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,12.5,13,aoa_only,12.5,1,,
actor_en_gb,actor,actor,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.65,exact,BNC frequency=20; rank=4257; band=medium,disagree,candidate_review,early_primary,aoa_only,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_only,6,1,,
actual_en_gb,actual,actual,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.85,exact,BNC frequency=68; rank=1545; band=medium,disagree,candidate_review,middle_primary,aoa_and_uk,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.75,8,aoa_and_uk,8.5,1,7,
again_en_gb,again,again,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.7,exact,BNC frequency=561; rank=161; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.12,7,aoa_and_uk,8.25,2,6,multiple_meanings_review|aoa_uk_difference_over_2_years
agreement_en_gb,agreement,agreement,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.88,exact,BNC frequency=133; rank=767; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6.62,7,aoa_and_uk,7.25,2,6,multiple_meanings_review
air_en_gb,air,air,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.37,exact,BNC frequency=189; rank=524; band=high,agree,candidate_review,mid_secondary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,14.5,15,aoa_only,14.5,5,,multiple_meanings_review
align_en_gb,align,align,en-GB,medium,medium,wordfreq,wordfreq,exact,wordfreq zipf=3.63,unmatched,,comparison_only,candidate_review,mid_secondary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,14,14,aoa_and_uk,18,1,10,aoa_18_plus_only|aoa_uk_difference_over_2_years
allowed_en_gb,allowed,allowed,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.03,exact,BNC frequency=143; rank=720; band=high,agree,candidate_review,middle_primary,uk_only,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,9,9,uk_only,,0,9,
aloud_en_gb,aloud,aloud,en-GB,medium,medium,wordfreq,wordfreq,exact,wordfreq zipf=3.51,unmatched,,comparison_only,candidate_review,middle_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.5,8,aoa_and_uk,6,1,9,aoa_uk_difference_over_2_years
alphabet_en_gb,alphabet,alphabet,en-GB,medium,medium,wordfreq,wordfreq,exact,wordfreq zipf=3.7,unmatched,,comparison_only,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6.12,6,aoa_and_uk,7.25,2,5,multiple_meanings_review|aoa_uk_difference_over_2_years
angle_en_gb,angle,angle,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.38,exact,BNC frequency=24; rank=3762; band=medium,disagree,candidate_review,mid_secondary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,14.5,15,aoa_only,14.5,6,,multiple_meanings_review
animal_en_gb,animal,animal,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.81,exact,BNC frequency=67; rank=1569; band=medium,disagree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_and_uk,6,1,6,
ankle_en_gb,ankle,ankle,en-GB,medium,medium,wordfreq,wordfreq,exact,wordfreq zipf=3.97,unmatched,,comparison_only,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_and_uk,6,1,6,
answer_en_gb,answer,answer,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.17,exact,BNC frequency=144; rank=714; band=high,agree,candidate_review,middle_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,8.62,9,aoa_and_uk,10.25,4,7,multiple_meanings_review|aoa_uk_difference_over_2_years
antique_en_gb,antique,antique,en-GB,medium,medium,wordfreq,wordfreq,exact,wordfreq zipf=3.86,unmatched,,comparison_only,candidate_review,middle_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,9.25,9,aoa_and_uk,10.5,1,8,aoa_uk_difference_over_2_years
apple_en_gb,apple,apple,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.76,exact,BNC frequency=27; rank=3461; band=medium,disagree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_and_uk,6,1,6,
are_en_gb,are,are,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=6.74,exact,BNC frequency=4707; rank=23; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,5.5,6,aoa_and_uk,6,2,5,multiple_meanings_review
argument_en_gb,argument,argument,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.64,exact,BNC frequency=83; rank=1273; band=medium,disagree,candidate_review,middle_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,8.25,8,aoa_and_uk,10.5,3,6,multiple_meanings_review|aoa_uk_difference_over_2_years
around_en_gb,around,around,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.77,exact,BNC frequency=452; rank=195; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6.75,7,aoa_and_uk,8.5,6,5,multiple_meanings_review|aoa_uk_difference_over_2_years
as_en_gb,as,as,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=6.77,exact,BNC frequency=5347; rank=19; band=high,agree,candidate_review,middle_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,8.5,9,aoa_only,8.5,7,,multiple_meanings_review
attention_en_gb,attention,attention,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.11,exact,BNC frequency=137; rank=742; band=high,agree,candidate_review,middle_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,8.5,9,aoa_only,8.5,4,,multiple_meanings_review
author_en_gb,author,author,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.95,exact,BNC frequency=43; rank=2382; band=medium,disagree,candidate_review,early_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.25,7,aoa_only,7.25,2,,multiple_meanings_review
auto_en_gb,auto,auto,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.48,unmatched,,comparison_only,candidate_review,upper_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,10.25,10,aoa_only,10.25,2,,multiple_meanings_review
automatic_en_gb,automatic,automatic,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.36,exact,BNC frequency=23; rank=3871; band=medium,disagree,candidate_review,middle_primary,aoa_and_uk,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,8.25,8,aoa_and_uk,8.5,1,8,
away_en_gb,away,away,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.62,exact,BNC frequency=371; rank=241; band=high,agree,candidate_review,early_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_only,6,2,,multiple_meanings_review
babies_en_gb,babies,babies,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.45,exact,BNC frequency=25; rank=3664; band=medium,disagree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_and_uk,6,1,6,
baby_en_gb,baby,baby,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.26,exact,BNC frequency=91; rank=1160; band=medium,disagree,candidate_review,early_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.25,7,aoa_only,7.25,2,,multiple_meanings_review
back_en_gb,back,back,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=6.04,exact,BNC frequency=1023; rank=94; band=high,agree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6.75,7,aoa_and_uk,8.5,11,5,multiple_meanings_review|aoa_uk_difference_over_2_years
bad_en_gb,bad,bad,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.53,exact,BNC frequency=153; rank=663; band=high,agree,candidate_review,upper_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,10.5,11,aoa_only,10.5,7,,multiple_meanings_review
worse_en_gb,worse,worse,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.89,exact,BNC frequency=65; rank=1648; band=medium,disagree,candidate_review,upper_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,10.5,11,aoa_only,10.5,3,,multiple_meanings_review
worst_en_gb,worst,worst,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.93,exact,BNC frequency=46; rank=2270; band=medium,disagree,candidate_review,middle_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,8.62,9,aoa_and_uk,11.25,2,6,multiple_meanings_review|aoa_uk_difference_over_2_years
badge_en_gb,badge,badge,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.02,unmatched,,comparison_only,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.25,7,aoa_and_uk,8.5,1,6,aoa_uk_difference_over_2_years
bake_en_gb,bake,bake,en-GB,medium,medium,wordfreq,wordfreq,exact,wordfreq zipf=3.91,unmatched,,comparison_only,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6.62,7,aoa_and_uk,8.25,2,5,multiple_meanings_review|aoa_uk_difference_over_2_years
baked_en_gb,baked,baked,en-GB,medium,medium,wordfreq,wordfreq,exact,wordfreq zipf=3.92,unmatched,,comparison_only,candidate_review,early_primary,uk_only,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,uk_only,,0,6,
bank_en_gb,bank,bank,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.16,exact,BNC frequency=168; rank=597; band=high,agree,candidate_review,middle_primary,aoa_and_uk,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,8.75,9,aoa_and_uk,12.5,11,5,multiple_meanings_review|aoa_uk_difference_over_2_years
basic_en_gb,basic,basic,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.89,exact,BNC frequency=109; rank=959; band=high,agree,candidate_review,lower_secondary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,12.5,13,aoa_only,12.5,2,,multiple_meanings_review
basket_en_gb,basket,basket,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.07,exact,BNC frequency=13; rank=5757; band=medium,disagree,candidate_review,early_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_only,6,3,,multiple_meanings_review
bat_en_gb,bat,bat,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.3,unmatched,,comparison_only,candidate_review,early_primary,aoa_only,frequency_and_age_ready_with_review_flags,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,7.25,7,aoa_only,7.25,4,,multiple_meanings_review
bath_en_gb,bath,bath,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=4.44,exact,BNC frequency=38; rank=2664; band=medium,disagree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_and_uk,6,1,6,
beautiful_en_gb,beautiful,beautiful,en-GB,medium,high,wordfreq,wordfreq,exact,wordfreq zipf=5.22,exact,BNC frequency=87; rank=1217; band=medium,disagree,candidate_review,early_primary,aoa_and_uk,frequency_and_age_ready,wordfreq primary; BNC retained as fallback/comparison evidence. Audit recommendation only; do not update active canonical_words.csv until reviewed. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged. Age recommendation audit: median AoA plus UK curriculum estimate where available; active canonical_words.csv age_band unchanged.,6,6,aoa_and_uk,6,1,6,
