word_key,display_word,age_band,complexity_band,dictation_sentence,dictation_target_token_index,audio_text,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at,review_notes,child_language_review,british_english_review,accessibility_review,final_decision
either_en_gb,either,middle_primary,medium,The class practised the word either.,5,The class practised the word either.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
belief_en_gb,belief,early_primary,medium,The class practised the word belief.,5,The class practised the word belief.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
immigrants_en_gb,immigrants,upper_primary,high,The class practised the word immigrants.,5,The class practised the word immigrants.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
summary_en_gb,summary,upper_primary,medium,The class practised the word summary.,5,The class practised the word summary.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
diabetes_en_gb,diabetes,middle_primary,high,The class practised the word diabetes.,5,The class practised the word diabetes.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
brownie_en_gb,brownie,early_primary,medium,The class practised the word brownie.,5,The class practised the word brownie.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
i_en_gb,I,early_primary,low,The class practised the word I.,5,The class practised the word I.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
be_en_gb,be,early_primary,low,The class practised the word be.,5,The class practised the word be.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
not_en_gb,not,early_primary,low,The class practised the word not.,5,The class practised the word not.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
by_en_gb,by,early_primary,low,The class practised the word by.,5,The class practised the word by.,ai_assisted_draft,Next Teaching Dictionary draft dictation,,internal,"Placeholder draft requiring semantic, child-language, accessibility and British-English review.",low,in_review,,,Replace generic placeholder with a contextual sentence before approval.,in_review,in_review,in_review,in_review
