word_key,normalised_word,display_word,dialect_code,frequency_band,age_band,complexity_band,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,row_status
colour_en_gb,colour,colour,en-GB,medium,middle_primary,medium,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
colourful_en_gb,colourful,colourful,en-GB,medium,middle_primary,medium,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
colourless_en_gb,colourless,colourless,en-GB,medium,upper_primary,medium,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
immigrant_en_gb,immigrant,immigrant,en-GB,medium,upper_primary,high,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
lock_en_gb,lock,lock,en-GB,medium,early_primary,low,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
locking_en_gb,locking,locking,en-GB,medium,middle_primary,medium,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
migrant_en_gb,migrant,migrant,en-GB,medium,upper_primary,high,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
misplace_en_gb,misplace,misplace,en-GB,medium,middle_primary,medium,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
painter_en_gb,painter,painter,en-GB,medium,middle_primary,medium,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
painting_en_gb,painting,painting,en-GB,medium,middle_primary,medium,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,active
