micro_skill_key,content_version,field_key,review_gate,review_status,reviewed_by,reviewed_at,review_notes
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,teaching_objective,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved CVC teaching objective retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,child_friendly_explanation,child_language,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved child-facing CVC explanation retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,rule_explanation,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved CVC rule explanation retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,common_misconceptions,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved CVC misconception guidance retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,first_exposure_progression,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved first-exposure progression retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,guided_practice_progression,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved guided practice progression retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,review_proofreading_progression,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved review/proofreading progression retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,example_selection_guidance,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved CVC example guidance retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,contrast_policy_guidance,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Existing approved CVC contrast guidance retained for staging-only successor version.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,source,source_licence,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Staging-only internal authored source and use boundary reviewed.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,licence,source_licence,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Internal staging-only release licence boundary reviewed.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,reflection_prompt_key,pedagogy,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Explicit governed Reflection key reviewed for the CVC sound-mapping reflection.
D4_PG_CVC_SHORT_VOWELS_SHORT_A,d3_staging_reflection_v1,reflection_prompt_text,child_language,approved_for_first_exposure,D3 staging owner-authorised review,2026-08-23,Explicit governed child-facing Reflection question reviewed for staging D3 proof.
