word_key,syllables,phoneme_hint,grapheme_notes,stress_pattern,has_schwa,morphemes,morphology_notes,irregularity_notes,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status
a_en_gb,1,AH0 / EY1,,unstressed,TRUE,,,,open_licensed,CMU Pronouncing Dictionary,https://github.com/cmusphinx/cmudict,CMUdict BSD-style permissive licence,CMUdict fallback pronunciation metadata used only where no exact British IPA row exists. Project legal/importability review passed for this fallback candidate metadata use; no import performed by this pass.,low,approved_for_first_exposure
ability_en_gb,4,/ɐbˈɪlətˌi/,,unstressed-primary-unstressed-secondary,TRUE,,,suffix ity,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
about_en_gb,2,/ɐbˈaʊt/,,unstressed-primary,TRUE,,,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
act_en_gb,1,/ˈækt/,,primary,FALSE,,,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
action_en_gb,2,/ˈækʃən/,,primary-unstressed,TRUE,act + ion,Latin root act meaning do; suffix -ion forms a noun.,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
activity_en_gb,4,/æktˈɪvɪti/,,unstressed-primary-unstressed-unstressed,FALSE,act + ive + ity,Latin root act meaning do; suffixes build a related noun.,suffix ity,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
actor_en_gb,2,/ˈæktɐ/,,primary-unstressed,TRUE,act + or,Latin root act meaning do; suffix -or marks a person who does the action.,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
actual_en_gb,2,/ˈæktʃuːəl/,,primary-unstressed,TRUE,,,natural/actual weak vowel,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
again_en_gb,2,/ɐɡˈɛn/,,unstressed-primary,TRUE,,,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
agreement_en_gb,3,/ɐɡɹˈiːmənt/,,unstressed-primary-unstressed,TRUE,,,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
air_en_gb,1,/ˈeə/,,primary,TRUE,,,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
align_en_gb,2,/ɐlˈaɪn/,,unstressed-primary,TRUE,,,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
allowed_en_gb,2,/ɐlˈaʊd/,,unstressed-primary,TRUE,,,,open_licensed,open-dict-data ipa-dict en_UK,https://github.com/open-dict-data/ipa-dict/blob/master/data/en_UK.txt,MIT repository; English UK data credited to ipacards under GPL 3.0,British IPA is the approved primary source for pronunciation metadata. CMUdict comparison is retained in the audit artifact where available. Candidate CSV only; no import performed by this pass.,medium,approved_for_first_exposure
