word_key,normalised_word,display_word,dialect_code,source_category,source_name,source_url,source_licence,source_use_note,match_status,matched_form,raw_frequency_per_million,frequency_rank,current_frequency_band,proposed_frequency_band,review_status,review_notes
a_en_gb,a,a,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,a,21636,5,medium,high,in_review,Exact BNC word-form match.
ability_en_gb,ability,ability,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,ability,91,1158,medium,medium,in_review,Exact BNC word-form match.
about_en_gb,about,about,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,about,1971,57,medium,high,in_review,Exact BNC word-form match.
act_en_gb,act,act,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,act,274,331,medium,high,in_review,Exact BNC word-form match.
action_en_gb,action,action,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,action,221,436,medium,high,in_review,Exact BNC word-form match.
activity_en_gb,activity,activity,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,activity,115,899,medium,high,in_review,Exact BNC word-form match.
actor_en_gb,actor,actor,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,actor,20,4257,medium,medium,in_review,Exact BNC word-form match.
actual_en_gb,actual,actual,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,actual,68,1545,medium,medium,in_review,Exact BNC word-form match.
again_en_gb,again,again,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,again,561,161,medium,high,in_review,Exact BNC word-form match.
agreement_en_gb,agreement,agreement,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,agreement,133,767,medium,high,in_review,Exact BNC word-form match.
air_en_gb,air,air,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,air,189,524,medium,high,in_review,Exact BNC word-form match.
align_en_gb,align,align,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,unmatched,,,,medium,,in_review,No exact or component BNC frequency match.
allowed_en_gb,allowed,allowed,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,allowed,143,720,medium,high,in_review,Exact BNC word-form match.
aloud_en_gb,aloud,aloud,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,unmatched,,,,medium,,in_review,No exact or component BNC frequency match.
alphabet_en_gb,alphabet,alphabet,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,unmatched,,,,medium,,in_review,No exact or component BNC frequency match.
angle_en_gb,angle,angle,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,angle,24,3762,medium,medium,in_review,Exact BNC word-form match.
animal_en_gb,animal,animal,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,animal,67,1569,medium,medium,in_review,Exact BNC word-form match.
ankle_en_gb,ankle,ankle,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,unmatched,,,,medium,,in_review,No exact or component BNC frequency match.
answer_en_gb,answer,answer,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,answer,144,714,medium,high,in_review,Exact BNC word-form match.
antique_en_gb,antique,antique,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,unmatched,,,,medium,,in_review,No exact or component BNC frequency match.
apple_en_gb,apple,apple,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,apple,27,3461,medium,medium,in_review,Exact BNC word-form match.
are_en_gb,are,are,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,are,4707,23,medium,high,in_review,Exact BNC word-form match.
argument_en_gb,argument,argument,en-GB,open_licensed,BNC Frequency Lists,https://ucrel.lancs.ac.uk/bncfreq/,Creative Commons Attribution-ShareAlike 2.0 UK; legal review required before product import,British National Corpus frequency list used for audit-only frequency band recommendations. Active canonical_words.csv frequency_band values are not updated by this pass.,exact,argument,83,1273,medium,medium,in_review,Exact BNC word-form match.
