"case_id","family","source_text","focus_surface","start_utf16","end_utf16","primary_labeler_id","primary_classification","primary_intended_alternative","primary_supported_construction_status","primary_ambiguity_or_exclusion_reason","primary_confidence","primary_rationale","secondary_review_classification","secondary_review_intended_alternative","secondary_review_supported_construction_status","secondary_review_rationale","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","rationale"
"g2-there-their-theyre-0341","THERE_THEIR_THEYRE","At sunrise, the class checked its plan. The editor debated whether their running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","their","67","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0342","THERE_THEIR_THEYRE","After lunch, everyone returned quietly. The editor debated whether they're running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","they're","67","74","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0343","THERE_THEIR_THEYRE","The rain stopped before the gate opened. The editor debated whether There running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","There","68","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0344","THERE_THEIR_THEYRE","During art club, the tables stayed busy. The editor debated whether their running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","their","68","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0345","THERE_THEIR_THEYRE","A bell sounded across the empty yard. The editor debated whether they’re running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","they’re","65","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0346","THERE_THEIR_THEYRE","The note arrived on a windy Tuesday. The editor debated whether there running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","there","64","69","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0347","THERE_THEIR_THEYRE","Before rehearsal, the group counted slowly. The editor debated whether their running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","their","71","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0348","THERE_THEIR_THEYRE","📝 In the kitchen, a timer clicked twice. The editor debated whether they're running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","they're","69","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0349","THERE_THEIR_THEYRE","The youngest pupil reread the instructions. The editor debated whether there running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","there","71","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-there-their-theyre-0350","THERE_THEIR_THEYRE","By the window, three plants leaned toward the light. The editor debated whether Their running was a noun phrase or an unfinished clause. The focus occurrence was not copied from a heading.","Their","80","85","Katherine Sanderson","UNCERTAIN","","SUPPORTED","Both possessive 'their running' and contracted 'they're running' are grammatical readings.","5","The text explicitly leaves the noun-phrase versus clause reading unresolved.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
