word_key,normalised_word,suggested_age_number,recommended_age_band,suggested_age_band_original,confidence,review_status,review_notes
books_en_gb,books,5,early_primary,age_5_6,medium,in_review,Year 1 adding -s to words; plural form estimated from same curriculum pattern.
braver_en_gb,braver,6,early_primary,age_6_7,medium,in_review,Year 2 adding -er to words ending in -e; estimated from brave -> braver.
bravest_en_gb,bravest,6,early_primary,age_6_7,medium,in_review,Year 2 adding -est to words ending in -e; estimated from brave -> bravest.
busier_en_gb,busier,6,early_primary,age_6_7,medium,in_review,"Year 2 consonant+y comparative pattern, matching happier/heavier/angrier/lazier."
called_en_gb,called,5,early_primary,age_5_6,medium,in_review,Year 1 adding -ed with no spelling change; estimated from call -> called.
carries_en_gb,carries,6,early_primary,age_6_7,medium,in_review,Year 2 y-to-ies/-es pattern for nouns/verbs ending in consonant+y.
cars_en_gb,cars,5,early_primary,age_5_6,medium,in_review,Year 1 adding -s to words; plural form estimated from same curriculum pattern.
cities_en_gb,cities,6,early_primary,age_6_7,medium,in_review,Year 2 nouns ending in y -> ies pattern; estimated from city -> cities.
cleaned_en_gb,cleaned,5,early_primary,age_5_6,medium,in_review,Year 1 adding -ed with no spelling change; estimated from clean -> cleaned.
ended_en_gb,ended,5,early_primary,age_5_6,medium,in_review,Year 1 adding -ed with no spelling change; estimated from end -> ended.
fastest_en_gb,fastest,5,early_primary,age_5_6,high,in_review,Year 1 adding -est with no change; fastest appears in the Year 1 overview.
funnier_en_gb,funnier,6,early_primary,age_6_7,medium,in_review,Year 2 adding -er to words ending in y; estimated from funny -> funnier.
hoped_en_gb,hoped,6,early_primary,age_6_7,medium,in_review,Year 2 adding -ed to words ending in -e; drop final e before suffix.
hoping_en_gb,hoping,6,early_primary,age_6_7,medium,in_review,Year 2 adding -ing to words ending in -e; drop final e before suffix.
jumps_en_gb,jumps,5,early_primary,age_5_6,medium,in_review,Year 1 adding -s to words; estimated from jump -> jumps.
larger_en_gb,larger,6,early_primary,age_6_7,medium,in_review,Year 2 adding -er to words ending in -e; estimated from large -> larger.
largest_en_gb,largest,6,early_primary,age_6_7,medium,in_review,Year 2 adding -est to words ending in -e; estimated from large -> largest.
