"case_id","family","source_text","focus_surface","start_utf16","end_utf16","primary_labeler_id","primary_classification","primary_intended_alternative","primary_supported_construction_status","primary_ambiguity_or_exclusion_reason","primary_confidence","primary_rationale","secondary_review_classification","secondary_review_intended_alternative","secondary_review_supported_construction_status","secondary_review_rationale","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","rationale"
"g2-your-youre-0341","YOUR_YOURE","At sunrise, the class checked its plan. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","68","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0342","YOUR_YOURE","After lunch, everyone returned quietly. Without the missing ending, you're running could introduce more than one structure. The focus occurrence was not copied from a heading.","you're","68","74","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0343","YOUR_YOURE","The rain stopped before the gate opened. Without the missing ending, Your running could introduce more than one structure. The focus occurrence was not copied from a heading.","Your","69","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0344","YOUR_YOURE","During art club, the tables stayed busy. Without the missing ending, you're running could introduce more than one structure. The focus occurrence was not copied from a heading.","you're","69","75","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0345","YOUR_YOURE","A bell sounded across the empty yard. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","66","70","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0346","YOUR_YOURE","The note arrived on a windy Tuesday. Without the missing ending, you're running could introduce more than one structure. The focus occurrence was not copied from a heading.","you're","65","71","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0347","YOUR_YOURE","Before rehearsal, the group counted slowly. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","72","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0348","YOUR_YOURE","📝 In the kitchen, a timer clicked twice. Without the missing ending, you're running could introduce more than one structure. The focus occurrence was not copied from a heading.","you're","70","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0349","YOUR_YOURE","The youngest pupil reread the instructions. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","72","76","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
"g2-your-youre-0350","YOUR_YOURE","By the window, three plants leaned toward the light. Without the missing ending, You're running could introduce more than one structure. The focus occurrence was not copied from a heading.","You're","81","87","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'your/you're running' wording permits both a possessive-gerund and a contraction reading.","5","Both possessive 'your running' and contraction 'you're running' can be grammatical, so the missing ending prevents one reliable choice.","UNCERTAIN","","UNSUPPORTED","The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope.","UNCERTAIN","","UNSUPPORTED","ambiguous_gerund","ambiguous_gerund"
