"case_id","family","source_text","focus_surface","start_utf16","end_utf16","primary_labeler_id","primary_classification","primary_intended_alternative","primary_supported_construction_status","primary_ambiguity_or_exclusion_reason","primary_confidence","primary_rationale","secondary_review_classification","secondary_review_intended_alternative","secondary_review_supported_construction_status","secondary_review_rationale","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","rationale"
"g2-to-too-two-0341","TO_TOO_TWO","At sunrise, the class checked its plan. The partial line “running too” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","too","66","69","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0342","TO_TOO_TWO","After lunch, everyone returned quietly. The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","66","69","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0343","TO_TOO_TWO","The rain stopped before the gate opened. The partial line “running To” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","To","67","69","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0344","TO_TOO_TWO","During art club, the tables stayed busy. The partial line “running too” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","too","67","70","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0345","TO_TOO_TWO","A bell sounded across the empty yard. The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","64","67","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0346","TO_TOO_TWO","The note arrived on a windy Tuesday. The partial line “running to” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","to","63","65","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0347","TO_TOO_TWO","Before rehearsal, the group counted slowly. The partial line “running too” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","too","70","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0348","TO_TOO_TWO","📝 In the kitchen, a timer clicked twice. The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","68","71","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0349","TO_TOO_TWO","The youngest pupil reread the instructions. The partial line “running to” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","to","70","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0350","TO_TOO_TWO","By the window, three plants leaned toward the light. The partial line “running Too” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","Too","79","82","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0351","TO_TOO_TWO","The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","26","29","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0352","TO_TOO_TWO","The caretaker unlocked the side entrance. The partial line “running to” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","to","68","70","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0353","TO_TOO_TWO","A robin landed beside the chalk line. The partial line “running too” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","too","64","67","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0354","TO_TOO_TWO","The morning began with an unexpected puzzle. The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","71","74","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0355","TO_TOO_TWO","Once the music ended, the hall became still. The partial line “running to” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","to","71","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0356","TO_TOO_TWO","The coach placed a clipboard on the bench. The partial line “running too” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","too","69","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0357","TO_TOO_TWO","Just before dusk, the clouds turned orange. The partial line “running Two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","Two","70","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0358","TO_TOO_TWO","The science group compared yesterday's notes. The partial line “running to” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","to","72","74","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0359","TO_TOO_TWO","A small crowd waited near the noticeboard. The partial line “running too” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","too","69","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
"g2-to-too-two-0360","TO_TOO_TWO","The final clue appeared beneath a blue card. The partial line “running two” does not reveal the intended lexical category. The focus occurrence was not copied from a heading.","two","71","74","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The partial 'running to/too/two' wording does not reveal the intended lexical construction.","5","Different continuations can make to, too, or two appropriate, so the available fragment does not determine one answer.","UNCERTAIN","","UNSUPPORTED","The unresolved_lexical_category construction is an explicit S8 exclusion, so it is outside the declared supported scope.","","","","",""
