word_key,raw_morpholex_segmentation,raw_morpholex_pos,morphology_parts,feature_keys,morphology_joins,transformation_notes,word_sum,analysis_status,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at,review_notes
grand_en_gb,,,"[{""text"":""grand"",""type"":""base""}]",[],[],,grand,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
grandmother_en_gb,,,"[{""text"":""grand"",""type"":""base""},{""text"":""mother"",""type"":""base""}]",[],"[""none""]",,grand + mother → grandmother,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
homework_en_gb,,,"[{""text"":""home"",""type"":""base""},{""text"":""work"",""type"":""base""}]",[],"[""none""]",,home + work → homework,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
sunflower_en_gb,,,"[{""text"":""sun"",""type"":""base""},{""text"":""flower"",""type"":""base""}]",[],"[""none""]",,sun + flower → sunflower,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
cream_en_gb,,,"[{""text"":""cream"",""type"":""base""}]",[],[],,cream,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
living_en_gb,,,"[{""text"":""living"",""type"":""base""}]",[],[],,living,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
living_room_en_gb,,,"[{""text"":""living"",""type"":""base""},{""text"":""room"",""type"":""base""}]",[],"[""space""]",,living + room → living room,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
in_en_gb,,,"[{""text"":""in"",""type"":""base""}]",[],[],,in,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
law_en_gb,,,"[{""text"":""law"",""type"":""base""}]",[],[],,law,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
mother_in_law_en_gb,,,"[{""text"":""mother"",""type"":""base""},{""text"":""in"",""type"":""base""},{""text"":""law"",""type"":""base""}]",[],"[""hyphen"",""hyphen""]",,mother + in + law → mother-in-law,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
part_en_gb,,,"[{""text"":""part"",""type"":""base""}]",[],[],,part,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
part_time_en_gb,,,"[{""text"":""part"",""type"":""base""},{""text"":""time"",""type"":""base""}]",[],"[""hyphen""]",,part + time → part-time,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
office_en_gb,,,"[{""text"":""office"",""type"":""base""}]",[],[],,office,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
post_office_en_gb,,,"[{""text"":""post"",""type"":""base""},{""text"":""office"",""type"":""base""}]",[],"[""space""]",,post + office → post office,approved,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
