schema_version,review_packet_id,primary_decisions_visible,inventory_fingerprint,case_id,family,source_text,focus_surface,start_utf16,end_utf16,span_validated,source_reference,authored_by,source_authorship,identifier_generation,review_classification,review_intended_alternative,review_supported_construction,review_declared_construction,review_declared_subtype,review_protected_set_tags_json,non_gold_review_id,non_gold_reviewer,non_gold_review_timestamp_utc,review_notes
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,9d02c202c06d34832d44e05b2ef254f2fbd91cbbfbc1362ed46090c22d19bc94,v3-there-their-theyre-0001-there-their-theyre-01,THERE_THEIR_THEYRE,"Sophie pointed across the sports hall. The missing red scarf was there under the storage box, exactly where it had been left.",there,65,70,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=2,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,locative,adverbial_locative,[],non-gold-v3-there-their-theyre-0001-there-their-theyre-01,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,8f467ecfb8737af207dc127a2dab6d7f2ecb0cd3ce303b68c2556747a1c43745,v3-there-their-theyre-0002-there-their-theyre-01,THERE_THEIR_THEYRE,"Before the match began, the children placed the music book there by the sink, then returned to their tables. The teacher checked again before everyone left.",there,59,64,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=3,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,locative,adverbial_locative,[],non-gold-v3-there-their-theyre-0002-there-their-theyre-01,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,5bd708998e828dfd49fd3b005ea34597632044eed751dd8c8cb0d2e70c39b8f3,v3-there-their-theyre-0002-there-their-theyre-02,THERE_THEIR_THEYRE,"Before the match began, the children placed the music book there by the sink, then returned to their tables. The teacher checked again before everyone left.",their,95,100,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=3,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,possessive,possessive_subject_or_object,[],non-gold-v3-there-their-theyre-0002-there-their-theyre-02,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,c37d474c0e519b101d0cb8f1c3dae706fe9a903911338dca7f281a9182aaaf71,v3-there-their-theyre-0003-there-their-theyre-01,THERE_THEIR_THEYRE,"We searched the library for several minutes, but the reading journal had been sitting there behind the radiator all along. The next activity started as soon as everyone was ready.",there,86,91,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=4,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,locative,adverbial_locative,[],non-gold-v3-there-their-theyre-0003-there-their-theyre-01,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,03182c69573d117b7a61ef2f2947c6e17edb420ef44e932e0f213b837999f2be,v3-there-their-theyre-0004-there-their-theyre-01,THERE_THEIR_THEYRE,"After lunch, the children placed the chess clock there by the trophy cabinet, then returned to their tables. The class carried on without any further delay.",there,49,54,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=5,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,locative,adverbial_locative,[],non-gold-v3-there-their-theyre-0004-there-their-theyre-01,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,caf8d11ef70ac30079b10064da244156504d4bbae6b5329b5856d02e802c0f06,v3-there-their-theyre-0004-there-their-theyre-02,THERE_THEIR_THEYRE,"After lunch, the children placed the chess clock there by the trophy cabinet, then returned to their tables. The class carried on without any further delay.",their,95,100,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=5,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,possessive,possessive_subject_or_object,[],non-gold-v3-there-their-theyre-0004-there-their-theyre-02,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,c63b3161b58cc68ac7b8ea00b5e25ab64826440080b19121f72c3523ad7ca664,v3-there-their-theyre-0005-there-their-theyre-01,THERE_THEIR_THEYRE,"We searched the clubhouse for several minutes, but the music book had been sitting there behind the bookshelf all along. That detail mattered when they tidied the room at the end.",there,83,88,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=6,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,locative,adverbial_locative,[],non-gold-v3-there-their-theyre-0005-there-their-theyre-01,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,54e2a415f98ab150ed7883554839db36ba088d9e57a246099a9f738a91a635bd,v3-there-their-theyre-0006-there-their-theyre-01,THERE_THEIR_THEYRE,"Once the rehearsal finished, the children placed the science model there by the trophy cabinet, then returned to their tables. The next activity started as soon as everyone was ready.",there,67,72,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=7,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,locative,adverbial_locative,[],non-gold-v3-there-their-theyre-0006-there-their-theyre-01,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,23f7bab3693e899d4296fbdf77c884da5797239eed1bf3cf76b42e4b465c1847,v3-there-their-theyre-0006-there-their-theyre-02,THERE_THEIR_THEYRE,"Once the rehearsal finished, the children placed the science model there by the trophy cabinet, then returned to their tables. The next activity started as soon as everyone was ready.",their,113,118,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=7,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,possessive,possessive_subject_or_object,[],non-gold-v3-there-their-theyre-0006-there-their-theyre-02,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
1,s8-v3-there-non-gold-human-review-2026-09-10-01,TRUE,8ac3c7e72c6fd44134b4d44ddc5e83cfd5e430a2a2d32c0bd40bbbea89e0cea6,v3-there-their-theyre-0007-there-their-theyre-01,THERE_THEIR_THEYRE,"Although the science lab was crowded, the spare recipe book remained there near the noticeboard. By home time, everything had been put back in order.",there,69,74,true,source-intake/raw/THERE_THEIR_THEYRE.v3-intake-approved-by-katie - THERE_THEIR_THEYRE.v3-intake-approved-by-katie.csv.csv#row=8,Katie Sanderson,HUMAN_AUTHORED,AI_ASSISTED,VALID,,true,locative,adverbial_locative,[],non-gold-v3-there-their-theyre-0007-there-their-theyre-01,Katie Sanderson,2026-09-10T11:58:40Z,Katie Sanderson reviewed and copied this human decision.
