proof_id,scope,proof_type,status,required_before,record_location,summary,notes
7UI-PROOF-7A-LIVE-QA,ADLE 7a,live_flow,recorded,7-UI-A,docs/implementation/qa/adle-slice-7a-walkthrough-2026-07-08.md,7a child session and reward loop walkthrough recorded.,Existing proof.
7UI-PROOF-7P-REAL-CHILD,ADLE 7P,live_flow,recorded_in_roadmap,7-UI-A,docs/implementation/version-3-roadmap.md,Real child assignment proof described in slice track.,Keep or move to dedicated QA record later.
7UI-PROOF-7R-SCHEDULED-MISS,ADLE 7R,evidence_regression_live_flow,recorded,7-UI-A,docs/implementation/adle-slice-7r-attempt-capture-integrity.md,Scheduled-review miss attempt classified correctly; no authentic-use event.,Existing proof.
7UI-PROOF-7S-RECALL-GATE,ADLE 7S,live_manual_flow,recorded,evidence_sensitive_runtime_redesign,docs/implementation/qa/adle-slice-7s-reflection-recall-gate-proof-2026-07-10.md,Reflection recall gate live/manual proof recorded; evidence-sensitive runtime redesign blocker closed.,Existing proof.
7UI-PROOF-D4-MOR-OWNER,D4_MOR,owner_validation,recorded,D4_MOR contract freeze,docs/implementation/qa/adle-7-ui-g-observation-ledger.md,Owner accepted the current D4_MOR_PREFIXES_UN Word Lab preview on 2026-07-14.,Does not replace genuine-child proof.
7UI-PROOF-D4-MOR-CHILD,D4_MOR,child_validation,not_started,D4_MOR contract freeze,docs/implementation/qa/adle-7-ui-g-child-validation-proof.md,Child usability validation of vertical proof.,Prepared for one first-time intended-age learner; remaining UI-G gate.
7UI-PROOF-D4-MOR-A11Y,D4_MOR,accessibility,recorded,D4_MOR runtime enablement,docs/implementation/qa/adle-7-ui-g-device-accessibility-performance-proof.md,Mac Safari plus Chrome keyboard responsive direct-control and accessibility-tree proof recorded.,Physical touch browser 200% zoom operating-system reduced-motion execution native Windows Android iOS and screen-reader runs are optional UI-H coverage; automated reduced-motion regression remains required.
7UI-PROOF-D4-MOR-PERF,D4_MOR,performance,recorded,D4_MOR runtime enablement,docs/implementation/qa/adle-7-ui-g-device-accessibility-performance-proof.md,Lazy-loading boundary and 11105-byte compressed Word Lab chunk recorded within budget.,Controlled cold-cache Fast-4G and 4x-CPU Web Vitals are optional UI-H rollout evidence.
7UI-PROOF-D4-MOR-HUMAN-REVIEW,D4_MOR,human_content_review,recorded,D4_MOR approved source or runtime activation,docs/implementation/seed-data/adle-7-ui/review/d4-mor-human-review-pack/d4-mor-human-approval-record-v1.json,"Human approval recorded for all 24 D4_MOR category-v1 candidate micro-skills, all exception rows, and representative cluster spot checks; content remains not activated.",Recorded during PR 7-UI-D; no Supabase import or runtime activation.
7UI-PROOF-D4-MOR-APPROVED-SOURCE-FREEZE,D4_MOR,approved_source_freeze,recorded,D4_MOR runtime activation,data/adle/approved/d4-mor/v1/d4-mor-v1-manifest.json,"Approved D4_MOR category-v1 source package frozen with manifest hashes, human approval coverage, and not-activated runtime boundary.",Recorded during PR 7-UI-E; package is not imported into Supabase and has no composer/runtime consumer.
7UI-PROOF-D4-MOR-PRIMITIVES-QA,D4_MOR,primitive_platform_qa,recorded,7-UI-G vertical runtime pilot,docs/implementation/qa/adle-7-ui-f-morphology-primitives-qa-2026-07-12.md,"7-UI-F primitive/view-model layer accepted with dev-only D4_MOR preview and focused regression proof.",No composer Supabase live session evidence scheduler reward or runtime activation changes.
7UI-PROOF-D4-MOR-7UI-G-ENGINEERING,D4_MOR,vertical_pilot_engineering,recorded,D4_MOR genuine-child proof,docs/implementation/qa/adle-7-ui-g-observation-ledger.md,"7-UI-G guarded Word Lab passed automated, authenticated real-route, accessibility-tree, responsive, bundle, rollback, resume and database verification.","Allowlist-gated only; 16 items, 14 attempts and one private reflection verified; genuine-child proof remains open."
7UI-PROOF-D4-MOR-WORD-FAMILY-STAGING-RETIREMENT,D4_MOR,controlled_taxonomy_retirement,recorded,production word-family retirement,docs/implementation/qa/adle-d4-mor-word-families-staging-retirement-receipt-2026-07-29.json,"Staging export and zero-reference preflight passed; 22 field reviews, 2 derived readiness reports, 2 content versions, 3 support links, 2 allocations, 2 catalog children and 1 cluster were removed; 25 D4_MOR keys remain.","No learner item, assignment, attempt/evidence, reflection, review route/schedule, taught-history source reference, mapping, selector profile or lesson-route activation was deleted. Production later completed under separate written approval."
7UI-PROOF-D4-MOR-WORD-FAMILY-PRODUCTION-RETIREMENT,D4_MOR,controlled_taxonomy_retirement,recorded,retirement closeout,docs/implementation/qa/adle-d4-mor-word-families-production-retirement-receipt-2026-07-29.json,"Following written production approval, the production export and zero-reference preflight passed; the same bounded configuration rows were removed and 25 D4_MOR keys remain.","Independent post-removal verification found zero remaining word-family micro-skill or cluster reference sets. Root-family spelling remains current."
7UI-PROOF-D4-MOR-CLOSED-COMPOUNDS-STAGING,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,staging_live_flow,recorded,production promotion,docs/implementation/qa/adle-closed-compounds-staging-launch-proof-2026-07-30.md,"Dictionary-driven 18-item Word Lab passed stable staged deployment, real database, physical pointer drag, keyboard, meaning arrows, separator-sensitive recall, four distinct Dictations, reload/resume, reflection, evidence, taught-history and review-schedule verification.","Completed-child staging assignment was independently audited before the separately authorised production promotion."
7UI-PROOF-D4-MOR-CLOSED-COMPOUNDS-PRODUCTION,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,production_release,recorded,production enablement,docs/implementation/qa/adle-closed-compounds-production-receipt-2026-07-30.md,"Production batch 2f6db9a1-f844-4577-9631-c3740f6ea7ae created one active production-enabled profile and seven explicit compound facts; one approved playground Dictation repair prevented duplicate sentences; prohibited learner/runtime write counts were unchanged.","Production deployment dpl_7QNw3SyH4weqWj573LT4LDDHHvUy is Ready and the independently gated route returns the expected login boundary when unauthenticated."
