passage_id,source_text,authored_by,authorship_confirmed,source_group
v3-there-their-theyre-0001,"Sophie pointed across the sports hall. The missing red scarf was there under the storage box, exactly where it had been left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0002,"Before the match began, the children placed the music book there by the sink, then returned to their tables. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0003,"We searched the library for several minutes, but the reading journal had been sitting there behind the radiator all along. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0004,"After lunch, the children placed the chess clock there by the trophy cabinet, then returned to their tables. The class carried on without any further delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0005,"We searched the clubhouse for several minutes, but the music book had been sitting there behind the bookshelf all along. That detail mattered when they tidied the room at the end.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0006,"Once the rehearsal finished, the children placed the science model there by the trophy cabinet, then returned to their tables. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0007,"Although the science lab was crowded, the spare recipe book remained there near the noticeboard. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0008,The group crossed the art room slowly. Mia waited there near the piano while everyone else found a seat.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0009,"Poppy could see the music book from the doorway. It was still there beside the teacher's desk, even though the room had been rearranged.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0010,"If you need the reading journal, it is over there next to the garden gate; Amelia saw it a moment ago. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0011,"When the bell rang, the children placed the recipe book there by the trophy cabinet, then returned to their tables. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0012,"If you need the camera, it is over there next to the coat rack; Mia saw it a moment ago. The adults did not interfere because the children were managing it themselves.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0013,"Millie could see the umbrella from the doorway. It was still there beside the cupboard, even though the room had been rearranged.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0014,"If you need the pencil case, it is over there next to the bookshelf; Thomas saw it a moment ago. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0015,"If you need the pencil case, it is over there next to the stage; Leo saw it a moment ago. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0016,"We searched the library for several minutes, but the music book had been sitting there behind the stage all along. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0017,"Because the rain had started, Leo left the lunch box there beside the whiteboard, and the group carried on without it. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0018,"Although the playground was crowded, the spare football remained there near the whiteboard. Later, they laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0019,"We searched the corridor for several minutes, but the paintbrush had been sitting there behind the bookshelf all along. Nobody noticed until the room had almost emptied.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0020,"After the lesson ended, the children placed the sketch pad there by the bench, then returned to their tables. That detail mattered when they tidied the room at the end.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0021,"Although everyone was tired, the children placed the map there by the bench, then returned to their tables. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0022,"Although the kitchen was crowded, the spare notebook remained there near the storage box. That detail mattered when they tidied the room at the end.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0023,"If you need the reading journal, it is over there next to the storage box; Charlie saw it a moment ago. Later, they laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0024,"Isla could see the umbrella from the doorway. It was still there beside the radiator, even though the room had been rearranged.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0025,The group crossed the library slowly. Theo waited there near the piano while everyone else found a seat.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0026,"While the others packed away, Oscar left the paintbrush there beside the window, and the group carried on without it. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0027,The group crossed the sports hall slowly. James waited there near the noticeboard while everyone else found a seat.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0028,"When the bell rang, the children placed the football there by the noticeboard, then returned to their tables. The class carried on without any further delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0029,"Millie pointed across the garden. The missing tennis racket was there under the storage box, exactly where it had been left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0030,The group crossed the workshop slowly. Charlie waited there near the stage while everyone else found a seat.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0031,"Ivy pointed across the dining room. The missing tennis racket was there under the stage, exactly where it had been left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0032,"Thomas pointed across the dining room. The missing blue folder was there under the cupboard, exactly where it had been left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0033,"After the lesson ended, the children placed the raincoat there by the back door, then returned to their tables. A few minutes later, the group moved on to the next activity.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0034,"Although the room was noisy, Poppy left the chess clock there beside the teacher's desk, and the group carried on without it. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0035,"Theo could see the water bottle from the doorway. It was still there beside the storage box, even though the room had been rearranged.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0036,"If you need the reading journal, it is over there next to the storage box; Sophie saw it a moment ago. Later, they laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0037,"As the class lined up, Amelia left the notebook there beside the teacher's desk, and the group carried on without it. The next activity started as soon as everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0038,"We searched the clubhouse for several minutes, but the reading journal had been sitting there behind the garden gate all along. Later, they laughed about how easy it had been to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0039,The group crossed the music room slowly. Thomas waited there near the storage box while everyone else found a seat.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-there-their-theyre-0040,"Although the room was noisy, Sophie left the notebook there beside the whiteboard, and the group carried on without it. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
