case_id,classification,intended_alternative,supported_construction_status,rationale
g2-there-their-theyre-0341,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0342,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0343,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0344,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0345,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0346,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0347,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0348,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0349,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0350,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0351,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0352,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0353,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0354,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0355,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0356,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0357,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0358,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0359,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-there-their-theyre-0360,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
