case_id,classification,intended_alternative,supported_construction_status,rationale
g2-your-youre-0341,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0342,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0343,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0344,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0345,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0346,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0347,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0348,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0349,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0350,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0351,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0352,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0353,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0354,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0355,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0356,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0357,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0358,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0359,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
g2-your-youre-0360,UNCERTAIN,,UNSUPPORTED,"The ambiguous_gerund construction is an explicit S8 exclusion, so it is outside the declared supported scope."
