micro_skill_key,content_version,field_key,review_gate,review_status,reviewed_by,reviewed_at,review_notes
D4_SCHWA_INITIAL_A_INITIAL,v1,teaching_objective,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,child_friendly_explanation,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,rule_explanation,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,common_misconceptions,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,first_exposure_progression,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,guided_practice_progression,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,review_proofreading_progression,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,example_selection_guidance,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,contrast_policy_guidance,pedagogy,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,source,source_licence,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
D4_SCHWA_INITIAL_A_INITIAL,v1,licence,source_licence,approved_for_first_exposure,Synthetic Admin,2026-06-29,Synthetic test-only fixture review.
