"case_id","family","source_text","focus_surface","start_utf16","end_utf16","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","confidence","rationale"
"g2-your-youre-0330","YOUR_YOURE","By the window, three plants leaned toward the light. Noah copied “you're” onto a vocabulary card. The short line came from an imperfect first draft.","you're","66","72","","","","","",""
"g2-your-youre-0316","YOUR_YOURE","The coach placed a clipboard on the bench. Maybe you're ... because the next page is missing. The surrounding paragraph remained available for review.","you're","49","55","","","","","",""
"g2-your-youre-0279","YOUR_YOURE","A small crowd waited near the noticeboard. you're rucksack seems friendly in this light. The teacher preserved the learner's original phrasing.","you're","43","49","","","","","",""
"g2-your-youre-0385","YOUR_YOURE","A bell sounded across the empty yard. In the unseen picture, the label beside the arrow might be Your. The writer had not yet revised the response.","Your","97","101","","","","","",""
"g2-your-youre-0321","YOUR_YOURE","At sunrise, the class checked its plan. Ruby copied “your” onto a vocabulary card. The short line came from an imperfect first draft.","your","53","57","","","","","",""
"g2-your-youre-0023","YOUR_YOURE","The rain stopped before the gate opened. your shells seems excited in this light. The detail mattered to the whole story.","your","41","45","","","","","",""
"g2-your-youre-0164","YOUR_YOURE","During art club, the tables stayed busy. your happy enough to explain the choice. A later paragraph changed the subject.","your","41","45","","","","","",""
"g2-your-youre-0109","YOUR_YOURE","The youngest pupil reread the instructions. your toy seems fragile in this light. The writer left the punctuation exactly as shown.","your","44","48","","","","","",""
"g2-your-youre-0032","YOUR_YOURE","The caretaker unlocked the side entrance. you're ready enough to explain the choice. The detail mattered to the whole story.","you're","42","48","","","","","",""
"g2-your-youre-0158","YOUR_YOURE","The science group compared yesterday's notes. your heavy enough to explain the choice. The sentence stood on its own in the draft.","your","46","50","","","","","",""
"g2-your-youre-0050","YOUR_YOURE","By the window, three plants leaned toward the light. You're friendly enough to explain the choice. A partner checked the line once more.","You're","53","59","","","","","",""
"g2-your-youre-0068","YOUR_YOURE","In the kitchen, a timer clicked twice. you're cold enough to explain the choice. The next page contained a different example.","you're","39","45","","","","","",""
"g2-your-youre-0107","YOUR_YOURE","Before rehearsal, the group counted slowly. your hamster seems heavy in this light. The writer left the punctuation exactly as shown.","your","44","48","","","","","",""
"g2-your-youre-0252","YOUR_YOURE","The caretaker unlocked the side entrance. your tired enough to explain the choice. The author was describing a real event.","your","42","46","","","","","",""
"g2-your-youre-0296","YOUR_YOURE","A margin note mentioned “your” as a word form. The coach placed a clipboard on the bench. your fast enough to explain the choice. A second reader interpreted the passage independently.","your","90","94","","","","","",""
"g2-your-youre-0153","YOUR_YOURE","A robin landed beside the chalk line. you're team seems awake in this light. The sentence stood on its own in the draft.","you're","38","44","","","","","",""
"g2-your-youre-0357","YOUR_YOURE","Just before dusk, the clouds turned orange. Without the missing ending, Your running could introduce more than one structure. The focus occurrence was not copied from a heading.","Your","72","76","","","","","",""
"g2-your-youre-0195","YOUR_YOURE","you're hamster seems silent in this light. The class discussed why context mattered.","you're","0","6","","","","","",""
"g2-your-youre-0027","YOUR_YOURE","Before rehearsal, the group counted slowly. your sandwiches seems fast in this light. The detail mattered to the whole story.","your","44","48","","","","","",""
"g2-your-youre-0242","YOUR_YOURE","After lunch, everyone returned quietly. your ready enough to explain the choice. The author was describing a real event.","your","40","44","","","","","",""
"g2-your-youre-0098","YOUR_YOURE","The science group compared yesterday's notes. you're ready enough to explain the choice. Everyone understood the surrounding scene.","you're","46","52","","","","","",""
"g2-your-youre-0317","YOUR_YOURE","Just before dusk, the clouds turned orange. Maybe your ... because the next page is missing. The surrounding paragraph remained available for review.","your","50","54","","","","","",""
"g2-your-youre-0299","YOUR_YOURE","you're helmets seems excited in this light. A second reader interpreted the passage independently.","you're","0","6","","","","","",""
"g2-your-youre-0028","YOUR_YOURE","In the kitchen, a timer clicked twice. you're useful enough to explain the choice. The detail mattered to the whole story.","you're","39","45","","","","","",""
"g2-your-youre-0256","YOUR_YOURE","The coach placed a clipboard on the bench. your silent enough to explain the choice. The author was describing a real event.","your","43","47","","","","","",""
"g2-your-youre-0326","YOUR_YOURE","The note arrived on a windy Tuesday. Sam copied “you're” onto a vocabulary card. The short line came from an imperfect first draft.","you're","49","55","","","","","",""
"g2-your-youre-0347","YOUR_YOURE","Before rehearsal, the group counted slowly. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","72","76","","","","","",""
"g2-your-youre-0345","YOUR_YOURE","A bell sounded across the empty yard. Without the missing ending, your running could introduce more than one structure. The focus occurrence was not copied from a heading.","your","66","70","","","","","",""
"g2-your-youre-0085","YOUR_YOURE","A bell sounded across the empty yard. Your friend seems enormous in this light. Everyone understood the surrounding scene.","Your","38","42","","","","","",""
"g2-your-youre-0205","YOUR_YOURE","A bell sounded across the empty yard. youʼre house seems nervous in this light. The notebook also contained two unrelated spelling slips.","youʼre","38","44","","","","","",""
"g2-your-youre-0191","YOUR_YOURE","After the long journey, nobody hurried. you're rucksack seems delighted in this light. The class discussed why context mattered.","you're","40","46","","","","","",""
"g2-your-youre-0161","YOUR_YOURE","At sunrise, the class checked its plan. you're toy seems excited in this light. A later paragraph changed the subject.","you're","40","46","","","","","",""
"g2-your-youre-0304","YOUR_YOURE","During art club, the tables stayed busy. Maybe you're ... because the next page is missing. The surrounding paragraph remained available for review.","you're","47","53","","","","","",""
"g2-your-youre-0257","YOUR_YOURE","Just before dusk, the clouds turned orange. you're house seems silent in this light. The author was describing a real event.","you're","44","50","","","","","",""
"g2-your-youre-0248","YOUR_YOURE","In the kitchen, a timer clicked twice. your right enough to explain the choice. The author was describing a real event.","your","39","43","","","","","",""
"g2-your-youre-0036","YOUR_YOURE","The coach placed a clipboard on the bench. You're friendly enough to explain the choice. The detail mattered to the whole story.","You're","43","49","","","","","",""
"g2-your-youre-0049","YOUR_YOURE","The youngest pupil reread the instructions. your team seems kind in this light. A partner checked the line once more.","your","44","48","","","","","",""
"g2-your-youre-0262","YOUR_YOURE","After lunch, everyone returned quietly. your patient enough to explain the choice. The teacher preserved the learner's original phrasing.","your","40","44","","","","","",""
"g2-your-youre-0076","YOUR_YOURE","The coach placed a clipboard on the bench. you're enormous enough to explain the choice. The next page contained a different example.","you're","43","49","","","","","",""
"g2-your-youre-0204","YOUR_YOURE","During art club, the tables stayed busy. Your fast enough to explain the choice. The notebook also contained two unrelated spelling slips.","Your","41","45","","","","","",""
"g2-your-youre-0308","YOUR_YOURE","In the kitchen, a timer clicked twice. Maybe You're ... because the next page is missing. The surrounding paragraph remained available for review.","You're","45","51","","","","","",""
"g2-your-youre-0303","YOUR_YOURE","The rain stopped before the gate opened. Maybe your ... because the next page is missing. The surrounding paragraph remained available for review.","your","47","51","","","","","",""
"g2-your-youre-0106","YOUR_YOURE","The note arrived on a windy Tuesday. You're useful enough to explain the choice. The writer left the punctuation exactly as shown.","You're","37","43","","","","","",""
"g2-your-youre-0307","YOUR_YOURE","Before rehearsal, the group counted slowly. Maybe your ... because the next page is missing. The surrounding paragraph remained available for review.","your","50","54","","","","","",""
"g2-your-youre-0229","YOUR_YOURE","The youngest pupil reread the instructions. you're friend seems delighted in this light. Weather and whether were discussed as an unrelated near-homophone pair.","you're","44","50","","","","","",""
"g2-your-youre-0265","YOUR_YOURE","A bell sounded across the empty yard. you’re tail seems fast in this light. The teacher preserved the learner's original phrasing.","you’re","38","44","","","","","",""
"g2-your-youre-0219","YOUR_YOURE","A small crowd waited near the noticeboard. you're blanket seems brilliant in this light. The notebook also contained two unrelated spelling slips.","you're","43","49","","","","","",""
"g2-your-youre-0059","YOUR_YOURE","A small crowd waited near the noticeboard. your pencils seems cold in this light. A partner checked the line once more.","your","43","47","","","","","",""
"g2-your-youre-0210","YOUR_YOURE","By the window, three plants leaned toward the light. your heavy enough to explain the choice. The notebook also contained two unrelated spelling slips.","your","53","57","","","","","",""
"g2-your-youre-0065","YOUR_YOURE","your coat seems small in this light. The next page contained a different example.","your","0","4","","","","","",""
"g2-your-youre-0029","YOUR_YOURE","📝 The youngest pupil reread the instructions. Your tail seems delighted in this light. The detail mattered to the whole story.","Your","47","51","","","","","",""
"g2-your-youre-0247","YOUR_YOURE","you're pencils seems fragile in this light. The author was describing a real event.","you're","0","6","","","","","",""
"g2-your-youre-0123","YOUR_YOURE","The rain stopped before the gate opened. your lantern seems enormous in this light. No answer choices were visible.","your","41","45","","","","","",""
"g2-your-youre-0203","YOUR_YOURE","📝 The rain stopped before the gate opened. you're pencils seems small in this light. The notebook also contained two unrelated spelling slips.","you're","44","50","","","","","",""
"g2-your-youre-0241","YOUR_YOURE","At sunrise, the class checked its plan. you're teacher seems small in this light. The author was describing a real event.","you're","40","46","","","","","",""
"g2-your-youre-0388","YOUR_YOURE","In the kitchen, a timer clicked twice. In the unseen picture, the label beside the arrow might be you're. The writer had not yet revised the response.","you're","98","104","","","","","",""
"g2-your-youre-0114","YOUR_YOURE","The morning began with an unexpected puzzle. you're small enough to explain the choice. The writer left the punctuation exactly as shown.","you're","45","51","","","","","",""
"g2-your-youre-0275","YOUR_YOURE","Once the music ended, the hall became still. you're blanket seems careful in this light. The teacher preserved the learner's original phrasing.","you're","45","51","","","","","",""
"g2-your-youre-0116","YOUR_YOURE","📝 The coach placed a clipboard on the bench. you're wrong enough to explain the choice. The writer left the punctuation exactly as shown.","you're","46","52","","","","","",""
"g2-your-youre-0382","YOUR_YOURE","After lunch, everyone returned quietly. In the unseen picture, the label beside the arrow might be you're. The writer had not yet revised the response.","you're","99","105","","","","","",""
"g2-your-youre-0171","YOUR_YOURE","After the long journey, nobody hurried. youʼre sandwiches seems curious in this light. A later paragraph changed the subject.","youʼre","40","46","","","","","",""
"g2-your-youre-0165","YOUR_YOURE","A bell sounded across the empty yard. you're house seems small in this light. A later paragraph changed the subject.","you're","38","44","","","","","",""
"g2-your-youre-0346","YOUR_YOURE","The note arrived on a windy Tuesday. Without the missing ending, you're running could introduce more than one structure. The focus occurrence was not copied from a heading.","you're","65","71","","","","","",""
"g2-your-youre-0381","YOUR_YOURE","At sunrise, the class checked its plan. In the unseen picture, the label beside the arrow might be your. The writer had not yet revised the response.","your","99","103","","","","","",""
"g2-your-youre-0305","YOUR_YOURE","A bell sounded across the empty yard. Maybe your ... because the next page is missing. The surrounding paragraph remained available for review.","your","44","48","","","","","",""
"g2-your-youre-0398","YOUR_YOURE","The science group compared yesterday's notes. In the unseen picture, the label beside the arrow might be you're. The writer had not yet revised the response.","you're","105","111","","","","","",""
"g2-your-youre-0088","YOUR_YOURE","In the kitchen, a timer clicked twice. you're fragile enough to explain the choice. Everyone understood the surrounding scene.","you're","39","45","","","","","",""
"g2-your-youre-0328","YOUR_YOURE","In the kitchen, a timer clicked twice. Zoe copied “you're” onto a vocabulary card. The short line came from an imperfect first draft.","you're","51","57","","","","","",""
"g2-your-youre-0012","YOUR_YOURE","The caretaker unlocked the side entrance. you’re right enough to explain the choice. Nobody changed the original wording.","you’re","42","48","","","","","",""
"g2-your-youre-0060","YOUR_YOURE","The final clue appeared beneath a blue card. you're fast enough to explain the choice. A partner checked the line once more.","you're","45","51","","","","","",""
"g2-your-youre-0338","YOUR_YOURE","Ari copied “you're” onto a vocabulary card. The short line came from an imperfect first draft.","you're","12","18","","","","","",""
"g2-your-youre-0258","YOUR_YOURE","The science group compared yesterday's notes. your small enough to explain the choice. The author was describing a real event.","your","46","50","","","","","",""
"g2-your-youre-0009","YOUR_YOURE","The youngest pupil reread the instructions. your team seems fragile in this light. Nobody changed the original wording.","your","44","48","","","","","",""
"g2-your-youre-0368","YOUR_YOURE","In the kitchen, a timer clicked twice. Maya wrote quickly the lights went out you're the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","you're","78","84","","","","","",""
"g2-your-youre-0174","YOUR_YOURE","📝 The morning began with an unexpected puzzle. your tired enough to explain the choice. A later paragraph changed the subject.","your","48","52","","","","","",""
"g2-your-youre-0333","YOUR_YOURE","A margin note mentioned “your” as a word form. A robin landed beside the chalk line. Omar copied “your” onto a vocabulary card. The short line came from an imperfect first draft.","your","98","102","","","","","",""
"g2-your-youre-0042","YOUR_YOURE","After lunch, everyone returned quietly. you're cold enough to explain the choice. A partner checked the line once more.","you're","40","46","","","","","",""
"g2-your-youre-0057","YOUR_YOURE","Just before dusk, the clouds turned orange. Your teacher seems silent in this light. A partner checked the line once more.","Your","44","48","","","","","",""
"g2-your-youre-0365","YOUR_YOURE","A bell sounded across the empty yard. Ruby wrote quickly the lights went out your the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","your","77","81","","","","","",""
"g2-your-youre-0208","YOUR_YOURE","your excited enough to explain the choice. The notebook also contained two unrelated spelling slips.","your","0","4","","","","","",""
"g2-your-youre-0045","YOUR_YOURE","A bell sounded across the empty yard. your friend seems wet in this light. A partner checked the line once more.","your","38","42","","","","","",""
"g2-your-youre-0362","YOUR_YOURE","After lunch, everyone returned quietly. Iris wrote quickly the lights went out you're the meaning changes if a full stop is added A picture on the task page was intentionally withheld.","you're","79","85","","","","","",""
"g2-your-youre-0139","YOUR_YOURE","A small crowd waited near the noticeboard. your notebook seems useful in this light. No answer choices were visible.","your","43","47","","","","","",""
"g2-your-youre-0277","YOUR_YOURE","Just before dusk, the clouds turned orange. you're answer seems useful in this light. The teacher preserved the learner's original phrasing.","you're","44","50","","","","","",""
