schema_version,case_id,family,inventory_fingerprint,review_classification,review_intended_alternative,review_supported_construction,review_declared_construction,review_declared_subtype,review_protected_set_tags_json,non_gold_review_id,non_gold_reviewer,non_gold_review_timestamp_utc,primary_decisions_visible,analyser_predictions_visible,review_notes
1,v3-to-too-two-gerund-supplement-0001-to-too-two-01,TO_TOO_TWO,c32b35c01307658015056a73088245f4c51aa3d69ded615c0e6a9c703dc9f59f,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0001-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0002-to-too-two-02,TO_TOO_TWO,1ea1c6e52b30dd2792ad816d303711f6fca21bc6ab8164044bdeec54ff6ede9d,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0002-to-too-two-02,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0003-to-too-two-01,TO_TOO_TWO,e798f499840815423411ef2ec5cded51f91b85b7db0a5704523e84aa8aed150e,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0003-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0004-to-too-two-01,TO_TOO_TWO,6df02f19048ca984286f1a1c0f32f003aae7e1681719cfbadfaddbbd42b03506,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0004-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0005-to-too-two-01,TO_TOO_TWO,ee99494930aa7dfccfa37f6b83c714aa984844fd04715d2853dd42deed6f68e7,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0005-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0006-to-too-two-01,TO_TOO_TWO,b78ecb64e63440534796428831da5fb4852a4aba5617618b0312dab91b0d3e4b,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0006-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0007-to-too-two-01,TO_TOO_TWO,c10bf3deedd6c6cf62df2c3f4be99e862a7f933a85e4c55617662c77352bab98,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0007-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0008-to-too-two-01,TO_TOO_TWO,e95d4d5344aefd8f3afd6b24c67907f5e16207102d3f66a72d1d66a127bdb855,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0008-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0009-to-too-two-01,TO_TOO_TWO,45bc54c66359b8f6cb64b343ecc27bac4f0e4e7531a048b38591e5c28ea488e8,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0009-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
1,v3-to-too-two-gerund-supplement-0010-to-too-two-01,TO_TOO_TWO,8280bd8514c2883cfbc8e609882fcf2c1935b7920f60fd018bce1d47d1c0310c,VALID,,false,not_applicable,not_applicable,"[""gerund""]",non-gold-v3-to-too-two-gerund-supplement-0010-to-too-two-01,Katie Sanderson,2026-09-10T18:44:23Z,true,false,Katie Sanderson reviewed and copied this human decision.
