passage_id,source_text,authored_by,authorship_confirmed,source_group
v3-to-too-two-0001,"Sophie ran to the garden after breakfast, but the others stayed behind. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0002,"After checking the map, everyone headed to the playground by the shorter path. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0003,"Amelia cycled to the garden after breakfast, but the others stayed behind. The teacher checked everything before they left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0004,"We walked to the workshop together, although Evie stopped twice on the way. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0005,"Amelia handed the map to the receptionist, then returned to the group. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0006,"Isla handed the pencil case to the librarian, then returned to the group. A few minutes later, everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0007,"While everyone packed away, the class carried the camera to the classroom and put it away safely. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0008,"After checking the map, everyone headed to the studio by the shorter path. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0009,"Ella handed the music book to his brother, then returned to the group. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0010,"After checking the map, everyone headed to the museum by the shorter path. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0011,The children passed the message to the teacher before the meeting started. Nobody needed to change the plan.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0012,"We walked to the workshop together, although Thomas stopped twice on the way. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0013,"We walked to the classroom together, although Isla stopped twice on the way. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0014,"Ella drove to the classroom after breakfast, but the others stayed behind. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0015,"Thomas handed the recipe book to the organiser, then returned to the group. Later, the group talked about what had happened.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0016,"Ivy handed the chess clock to the instructor, then returned to the group. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0017,"Freya returned to the museum after breakfast, but the others stayed behind. Later, the group talked about what had happened.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0018,"While everyone packed away, the class carried the football to the clubhouse and put it away safely. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0019,"Finn handed the lunch box to the coach, then returned to the group. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0020,The children passed the message to the coach before the meeting started. The teacher checked everything before they left.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0021,"When the bell rang, the class carried the map to the museum and put it away safely. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0022,The children passed the message to his brother before the meeting started. Nobody needed to change the plan.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0023,"The children passed the message to the coach before the meeting started. Later, the group talked about what had happened.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0024,The children passed the message to her friend before the meeting started. The children finished the rest of the task quietly.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0025,"Alfie handed the chess clock to the receptionist, then returned to the group. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0026,The children passed the message to his brother before the meeting started. The children finished the rest of the task quietly.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0027,"Ella went to the swimming pool after breakfast, but the others stayed behind. A few minutes later, everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0028,"Evie drove to the library after breakfast, but the others stayed behind. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0029,"Although it was raining, the class carried the raincoat to the swimming pool and put it away safely. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0030,"Before lunch, the class carried the notebook to the classroom and put it away safely. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0031,"The teacher asked everyone to move the chairs before leaving the room. Later, the group talked about what had happened.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0032,The teacher asked everyone to find the missing key before leaving the room. The next activity began without any delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0033,The children were ready to help the younger pupils as soon as the signal was given. The teacher checked everything before they left.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0034,"Charlie remembered to help the younger pupils, which saved everyone some time. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0035,The teacher asked everyone to check the timetable before leaving the room. Nobody needed to change the plan.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0036,"Grace wanted to help the younger pupils before lunch, so the group started early. Nobody needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0037,"Henry wanted to check the timetable before lunch, so the group started early. A few minutes later, everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0038,"George remembered to pack the equipment, which saved everyone some time. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0039,The teacher asked everyone to wash the brushes before leaving the room. The children finished the rest of the task quietly.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0040,"The teacher asked everyone to check the timetable before leaving the room. A few minutes later, everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0041,"We decided to check the timetable, although the task looked harder than expected. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0042,"We decided to move the chairs, although the task looked harder than expected. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0043,"The children were ready to finish the puzzle as soon as the signal was given. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0044,"We decided to wash the brushes, although the task looked harder than expected. A few minutes later, everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0045,"Ivy remembered to start the experiment, which saved everyone some time. Nobody needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0046,The teacher asked everyone to find the missing key before leaving the room. Nobody needed to change the plan.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0047,"When the bell rang, Rosie tried to carry the boxes without asking for help. Nobody needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0048,"The teacher asked everyone to start the experiment before leaving the room. A few minutes later, everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0049,"As the class lined up, Oscar tried to check the timetable without asking for help. A few minutes later, everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0050,"We decided to return the books, although the task looked harder than expected. Later, the group talked about what had happened.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0051,"The teacher asked everyone to find the missing key before leaving the room. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0052,"We decided to read the instructions, although the task looked harder than expected. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0053,"Rosie wanted to join the rehearsal before lunch, so the group started early. Everyone carried on as normal afterwards.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0054,"Lucas remembered to start the experiment, which saved everyone some time. The teacher checked everything before they left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0055,"Isla remembered to move the chairs, which saved everyone some time. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0056,"We decided to start the experiment, although the task looked harder than expected. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0057,"Before the doors closed, Arthur tried to return the books without asking for help. Nobody needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0058,The teacher asked everyone to check the timetable before leaving the room. The next activity began without any delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0059,"Poppy remembered to pack the equipment, which saved everyone some time. Later, the group talked about what had happened.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0060,"We decided to carry the boxes, although the task looked harder than expected. Everyone carried on as normal afterwards.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0061,The teacher checked the first table and then checked the second one too. The teacher checked everything before they left.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0062,"Ivy packed a sandwich, and Lucas brought one too. Everyone carried on as normal afterwards.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0063,The teacher checked the first table and then checked the second one too. Nobody needed to change the plan.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0064,"The blue team finished early, and the red team finished too. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0065,"I would like to join the game too, if there is still enough room. Later, the group talked about what had happened.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0066,"Ivy packed a sandwich, and Oscar brought one too. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0067,"James packed a sandwich, and Alfie brought one too. Later, the group talked about what had happened.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0068,"I would like to join the game too, if there is still enough room. Everyone carried on as normal afterwards.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0069,"The teacher checked the first table and then checked the second one too. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0070,"The blue team finished early, and the red team finished too. The next activity began without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0071,"I would like to join the game too, if there is still enough room. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0072,"They were excited about the trip, and we were excited too. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0073,"The teacher checked the first table and then checked the second one too. By home time, the room was tidy again. Later, Oscar checked the water bottle before leaving.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0074,"They were excited about the trip, and we were excited too. Everyone carried on as normal afterwards.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0075,"Isla can bring a notebook, and I can bring one too. A few minutes later, everyone was ready.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0076,"Poppy packed a sandwich, and Amelia brought one too. By home time, the room was tidy again.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0077,"The blue team finished early, and the red team finished too. The teacher checked everything before they left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0078,"The blue team finished early, and the red team finished too. The next activity began without any delay. Later, Lily checked the lunch box before leaving.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0079,"The teacher checked the first table and then checked the second one too. Nobody needed to change the plan. Later, Charlie checked the music book before leaving.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-to-too-two-0080,"Charlie packed a sandwich, and George brought one too. The children finished the rest of the task quietly.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
