word_key,raw_morpholex_segmentation,raw_morpholex_pos,morphology_parts,feature_keys,morphology_joins,transformation_notes,word_sum,analysis_status,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at,review_notes
colour_en_gb,,,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""colour"",""surfaceText"":""colour"",""gloss"":"""",""displayRange"":{""start"":0,""end"":6}}]",[],[],,colour,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
colourful_en_gb,,,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""colour"",""surfaceText"":""colour"",""gloss"":"""",""displayRange"":{""start"":0,""end"":6}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ful"",""surfaceText"":""ful"",""gloss"":"""",""displayRange"":{""start"":6,""end"":9}}]",[],[],,colour + ful → colourful,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
colourless_en_gb,,,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""colour"",""surfaceText"":""colour"",""gloss"":"""",""displayRange"":{""start"":0,""end"":6}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""less"",""surfaceText"":""less"",""gloss"":"""",""displayRange"":{""start"":6,""end"":10}}]",[],[],,colour + less → colourless,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
immigrant_en_gb,,,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""im"",""surfaceText"":""im"",""gloss"":"""",""displayRange"":{""start"":0,""end"":2}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""migrant"",""surfaceText"":""migrant"",""gloss"":"""",""displayRange"":{""start"":2,""end"":9}}]",[],[],,im + migrant → immigrant,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
lock_en_gb,,,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""lock"",""surfaceText"":""lock"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4}}]",[],[],,lock,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
locking_en_gb,,,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""lock"",""surfaceText"":""lock"",""gloss"":"""",""displayRange"":{""start"":0,""end"":4}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ing"",""surfaceText"":""ing"",""gloss"":"""",""displayRange"":{""start"":4,""end"":7}}]",[],[],,lock + ing → locking,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
migrant_en_gb,,,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""migrant"",""surfaceText"":""migrant"",""gloss"":"""",""displayRange"":{""start"":0,""end"":7}}]",[],[],,migrant,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
misplace_en_gb,,,"[{""id"":""part_1"",""kind"":""prefix"",""morphemeKey"":null,""sourceText"":""mis"",""surfaceText"":""mis"",""gloss"":"""",""displayRange"":{""start"":0,""end"":3}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""place"",""surfaceText"":""place"",""gloss"":"""",""displayRange"":{""start"":3,""end"":8}}]",[],[],,mis + place → misplace,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
painter_en_gb,,,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""paint"",""surfaceText"":""paint"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""er"",""surfaceText"":""er"",""gloss"":"""",""displayRange"":{""start"":5,""end"":7}}]",[],[],,paint + er → painter,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
painting_en_gb,,,"[{""id"":""part_1"",""kind"":""base"",""morphemeKey"":null,""sourceText"":""paint"",""surfaceText"":""paint"",""gloss"":"""",""displayRange"":{""start"":0,""end"":5}},{""id"":""part_2"",""kind"":""suffix"",""morphemeKey"":null,""sourceText"":""ing"",""surfaceText"":""ing"",""gloss"":"""",""displayRange"":{""start"":5,""end"":8}}]",[],[],,paint + ing → painting,approved,internal_authored,Katie Sanderson approved Base Word workbook,local:base-word-prefix-suffix-readiness-audit-resolved (1).xlsx,internal/project-authored,"Human-approved Base+Prefix/Base+Suffix workbook projection; Katie Sanderson, 2026-08-11; workbook SHA-256 2af66d22ee827b9e8487475542037b43acbd8fb9468a4abc26d9b833d5f4e69a.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T00:00:00.000Z,Approved Base+Prefix/Base+Suffix workbook projection.
