source_ref,micro_skill_key,record_key,issue_type,current_value,issue,codex_recommendation,approve_amend_reject,reviewer_comment
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!11,,sub,slash_delimited_gloss_review,under / below,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!12,,inter,slash_delimited_gloss_review,between / among,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!13,,super,slash_delimited_gloss_review,above / beyond,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!2,,un,slash_delimited_gloss_review,not / opposite of,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!3,,re,slash_delimited_gloss_review,again / back,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!30,,dict,slash_delimited_gloss_review,say / speak (Latin),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!37,,phon,slash_delimited_gloss_review,sound / voice (Greek),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!38,,graph,slash_delimited_gloss_review,write / draw (Greek),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!40,,scope,slash_delimited_gloss_review,look / watch (Greek),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!46,,tri,slash_delimited_gloss_review,three (Greek/Latin),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!5,,dis,slash_delimited_gloss_review,not / opposite of,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!6,,mis,slash_delimited_gloss_review,wrongly / badly,Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Morpheme Glosses!8,,im,slash_delimited_gloss_review,not (before m/p),Gloss contains slash-delimited alternatives; retained as display text pending human wording review.,"Review wording; approve retained display text only if slash-separated alternatives are pedagogically intentional, otherwise amend to a single clear gloss or explicit alternatives.",approve,Human reviewer confirmed acceptable for inclusion. Approval recorded 2026-07-11.
