"case_id","family","source_text","focus_surface","start_utf16","end_utf16","primary_labeler_id","primary_classification","primary_intended_alternative","primary_supported_construction_status","primary_ambiguity_or_exclusion_reason","primary_confidence","primary_rationale","secondary_review_classification","secondary_review_intended_alternative","secondary_review_supported_construction_status","secondary_review_rationale","classification","intended_alternative","supported_construction_status","ambiguity_or_exclusion_reason","rationale"
"g2-its-its-0341","ITS_ITS","At sunrise, the class checked its plan. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","66","69","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0342","ITS_ITS","After lunch, everyone returned quietly. The unfinished note about it's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it's","66","70","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0343","ITS_ITS","The rain stopped before the gate opened. The unfinished note about Its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","Its","67","70","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0344","ITS_ITS","During art club, the tables stayed busy. The unfinished note about it's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it's","67","71","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0345","ITS_ITS","A bell sounded across the empty yard. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","64","67","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0346","ITS_ITS","The note arrived on a windy Tuesday. The unfinished note about it's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it's","63","67","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0347","ITS_ITS","Before rehearsal, the group counted slowly. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","70","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0348","ITS_ITS","📝 In the kitchen, a timer clicked twice. The unfinished note about it's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","it's","68","72","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0349","ITS_ITS","The youngest pupil reread the instructions. The unfinished note about its running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","its","70","73","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
"g2-its-its-0350","ITS_ITS","By the window, three plants leaned toward the light. The unfinished note about It's running leaves possession and contraction unresolved. The focus occurrence was not copied from a heading.","It's","79","83","Katherine Sanderson","UNCERTAIN","","SUPPORTED","The unfinished 'its/it's running' wording permits a possessive or contraction reading.","5","Both a possessive 'its running' reading and a contraction 'it's running' reading remain plausible from the available context.","UNCERTAIN","","UNSUPPORTED","The unfinished gerund context does not uniquely distinguish possessive its from contraction it's and is outside the declared supported constructions.","UNCERTAIN","","UNSUPPORTED","unfinished_gerund_context","Agreed with the non-gold review: the unfinished gerund context is unsupported."
