decision_id,topic,status,current_position,authority_doc,owner,due_before,notes
7UI-DEC-001,template-version storage,open,Use metadata/prompt_data v1 marker only as candidate; no migration approved.,docs/architecture/adle-activity-platform-architecture.md,7-UI architecture owner,PR 7-UI-B,Decide storage location and old-row defaulting before runtime code.
7UI-DEC-002,payload snapshot policy,open,Snapshot semantic teaching fields required for stable old assignments; do not snapshot visual layout.,docs/contracts/adle-template-development-contract.md,7-UI architecture owner,PR 7-UI-B,Define exact snapshot list per template.
7UI-DEC-003,experience-profile ownership,closed,"microSkillKey selects a D4_MOR category experience manifest entry; the manifest owns experienceProfileKey and template-variant selections. originThemeKey remains linguistic/origin metadata; teaching content owns pedagogical copy and linguistic facts; frontend owns assets, scene, animation, sound, and layout.",docs/contracts/adle-teaching-content-authoring-contract.md,content + UX owners,PR 7-UI-C,Closed by PR 7-UI-C generated d4-mor-experience-manifest-candidate-v1.json and teaching-content authoring contract update.
7UI-DEC-004,lazy-loading boundary,open,Lazy-load renderer by template/category where possible; keep safe fallback in base bundle.,docs/architecture/adle-activity-platform-architecture.md,runtime owner,PR 7-UI-B,Decide category chunks vs per-template chunks.
7UI-DEC-005,old-payload adapters,open,"Unsupported/missing versions must fail to safe fallback, not reinterpret silently.",docs/architecture/adle-activity-platform-architecture.md,runtime owner,PR 7-UI-B,Define adapter registry shape.
7UI-DEC-006,resumable-state ownership,open,Shared runtime owns resumable checkpoints; renderers own ephemeral state.,docs/architecture/adle-activity-platform-architecture.md,runtime owner,PR 7-UI-B,Decide persistence location and cap.
7UI-DEC-007,morphology separator/variant schema,closed,"D4_MOR semantic source owns ordered morphology parts and explicit joins/separators. splitPoints[] is a derived renderer view-model field, not authoritative source truth. Root aliases and written variants use explicit candidate identities and variant relationships.",docs/product/areas/d4-mor-ux-design-pack.md,D4_MOR category owner,PR 7-UI-C,Closed by PR 7-UI-C generated word-analysis and morpheme-catalog candidates plus D4_MOR design pack update.
7UI-DEC-008,approved D4_MOR source package boundary,closed,"The approved D4_MOR category-v1 source package is frozen under data/adle/approved/d4-mor/v1/. Candidate artifacts and review-pack records remain audit inputs; future server-side content-selection work may consume the package in a separate PR, but no runtime consumer is added by 7-UI-E.",docs/contracts/adle-teaching-content-authoring-contract.md,content + runtime owners,PR 7-UI-G,Closed by PR 7-UI-E approved package manifest and generator regression. 7UI-DEC-002 remains open because final assignment payload snapshot semantics are not defined here.
7UI-DEC-009,D4_MOR word-family taxonomy retirement,closed,"Retire D4_MOR_WORD_FAMILIES and its two catalog children from current taxonomy and live non-learner configuration; retain D4_MOR_ROOTS_ROOT_FAMILY_SPELLING as one of five remaining first-impression profiles; preserve the immutable July package as historical 24-key evidence.",docs/implementation/adle-current-state-and-release-registry.md,D4_MOR category owner,completed,"Staging and production hard removal completed 2026-07-29 after separate zero learner/runtime reference audits and written production approval. Both environments now have 25 D4_MOR keys: 18 production-enabled, 2 later-phase, 5 awaiting implementation."
7UI-DEC-010,D4_MOR closed-compound production activation,closed,"Use one reusable dictionary-driven closed-compound Word Lab. Select four words deterministically from explicit active approved compound facts; freeze selected IDs and order in the 18-item assignment snapshot; preserve separators in controlled comparison; production is independently gated.",docs/implementation/qa/adle-closed-compounds-production-receipt-2026-07-30.md,D4_MOR category owner,completed,"Completed child staging assignment was audited 2026-07-30. Production batch 2f6db9a1-f844-4577-9631-c3740f6ea7ae activated seven eligible dictionary facts with no learner writes; the distinct playground Dictation repair and production deployment are recorded."
