word_key,normalised_word,display_word,match_type,matched_forms,selection_reason,morpholex_segments,morpholex_pos,morpholex_nmorph,morpholex_prs_signature,derived_morphemes,derived_morphology_notes,confidence,review_status,needs_human_review_note
a_en_gb,a,a,exact,a,Exact MorphoLex row used.,{(a)},minor|NN,1,"0,1,0",a: root:a,"MorphoLex-en exact evidence: [a; POS=minor|NN; Nmorph=1; PRS=0,1,0; segmentation={(a)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
ability_en_gb,ability,ability,exact,ability,Exact MorphoLex row used.,{(able)}>ity>,NN,2,"0,1,1",ability: root:able + suffix:ity,"MorphoLex-en exact evidence: [ability; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(able)}>ity>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
about_en_gb,about,about,exact,about,Exact MorphoLex row used.,{(about)},minor|RB|JJ,1,"0,1,0",about: root:about,"MorphoLex-en exact evidence: [about; POS=minor|RB|JJ; Nmorph=1; PRS=0,1,0; segmentation={(about)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
act_en_gb,act,act,exact,act,Exact MorphoLex row used.,{(act)},NN|VB,1,"0,1,0",act: root:act,"MorphoLex-en exact evidence: [act; POS=NN|VB; Nmorph=1; PRS=0,1,0; segmentation={(act)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
action_en_gb,action,action,exact,action,Exact MorphoLex row used.,{(act)}>ion>,NN,2,"0,1,1",action: root:act + suffix:ion,"Latin root act meaning do; suffix -ion forms a noun. | MorphoLex-en exact evidence: [action; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(act)}>ion>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
activity_en_gb,activity,activity,exact,activity,Exact MorphoLex row used.,{(act)}>ive>>ity>,NN,3,"0,1,2",activity: root:act + suffix:ive + suffix:ity,"Latin root act meaning do; suffixes build a related noun. | MorphoLex-en exact evidence: [activity; POS=NN; Nmorph=3; PRS=0,1,2; segmentation={(act)}>ive>>ity>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
actor_en_gb,actor,actor,exact,actor,Exact MorphoLex row used.,{(act)}>or>,NN,2,"0,1,1",actor: root:act + suffix:or,"Latin root act meaning do; suffix -or marks a person who does the action. | MorphoLex-en exact evidence: [actor; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(act)}>or>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
actual_en_gb,actual,actual,exact,actual,Exact MorphoLex row used.,{(act)>al>},JJ|NN,2,"0,1,1",actual: root:act + suffix:al,"MorphoLex-en exact evidence: [actual; POS=JJ|NN; Nmorph=2; PRS=0,1,1; segmentation={(act)>al>}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
again_en_gb,again,again,exact,again,Exact MorphoLex row used.,{(again)},RB,1,"0,1,0",again: root:again,"MorphoLex-en exact evidence: [again; POS=RB; Nmorph=1; PRS=0,1,0; segmentation={(again)}] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
agreement_en_gb,agreement,agreement,exact,agreement,Exact MorphoLex row used.,{(agree)}>ment>,NN,2,"0,1,1",agreement: root:agree + suffix:ment,"MorphoLex-en exact evidence: [agreement; POS=NN; Nmorph=2; PRS=0,1,1; segmentation={(agree)}>ment>] Selection note: Exact MorphoLex row used.",medium,approved_for_first_exposure,
