word_key,display_word,age_band,complexity_band,dictation_sentence,dictation_target_token_index,dictation_target_end_exclusive,exact_governed_answer,audio_text,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,reviewed_by,reviewed_at,review_notes
grand_en_gb,grand,middle_primary,low,The palace has a grand entrance.,4,5,grand,The palace has a grand entrance.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
grandmother_en_gb,grandmother,early_primary,medium,Mia wrote a letter to her grandmother.,6,7,grandmother,Mia wrote a letter to her grandmother.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
homework_en_gb,homework,early_primary,medium,I finished my homework before tea.,3,4,homework,I finished my homework before tea.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
sunflower_en_gb,sunflower,early_primary,medium,The sunflower grew beside the fence.,1,2,sunflower,The sunflower grew beside the fence.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
cream_en_gb,cream,early_primary,low,She poured cream onto the fruit.,2,3,cream,She poured cream onto the fruit.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
living_en_gb,living,early_primary,medium,Living near the sea can be exciting.,0,1,living,Living near the sea can be exciting.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
living_room_en_gb,living room,early_primary,medium,We read together in the living room.,5,7,living room,We read together in the living room.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
in_en_gb,in,early_primary,low,The pencils are in the box.,3,4,in,The pencils are in the box.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
law_en_gb,law,middle_primary,medium,The new law protects wild birds.,2,3,law,The new law protects wild birds.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
mother_in_law_en_gb,mother-in-law,upper_primary,high,Her mother-in-law came for lunch.,1,2,mother-in-law,Her mother-in-law came for lunch.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
part_en_gb,part,early_primary,low,I read one part of the story.,3,4,part,I read one part of the story.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
part_time_en_gb,part-time,middle_primary,medium,Dad works part-time at the library.,2,3,part-time,Dad works part-time at the library.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
office_en_gb,office,early_primary,medium,The school office is near the entrance.,2,3,office,The school office is near the entrance.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
post_office_en_gb,post office,early_primary,medium,We bought stamps at the post office.,5,7,post office,We bought stamps at the post office.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
twenty_en_gb,twenty,early_primary,medium,There are twenty pencils in the box.,2,3,twenty,There are twenty pencils in the box.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
known_en_gb,known,middle_primary,medium,This story is known around the world.,3,4,known,This story is known around the world.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
well_known_en_gb,well-known,middle_primary,medium,The castle is a well-known landmark.,4,5,well-known,The castle is a well-known landmark.,internal_authored,Katie Sanderson approved Compound Word v2 workbook,local:4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f,internal/project-authored,"Human-approved Compound Word v2 workbook; Katie Sanderson, 2026-08-11; workbook SHA-256 4d59997206c4faf5c05eac37f9c4dd23d5581d3600327a7a8d0ef758b4c1338f.",high,approved_for_first_exposure,Katie Sanderson,2026-08-11T20:09:55.000Z,Approved in the hash-bound Compound Word v2 curriculum review.
