word,repair_type,micro_skill_key,review_status,reviewed_by,reviewed_at,review_notes
business,support_add,D4_IRRE_TRICKY_WORDS_COMMON_HIGH_FREQUENCY,in_review,,,
enough,support_add,D4_IRRE_TRICKY_WORDS_COMMON_HIGH_FREQUENCY,in_review,,,
fly,support_review,D4_PG_LONG_IGH_Y_FINAL,in_review,,,
government,support_add,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,in_review,,,
let's,support_add,D4_PAT_CONTRACTIONS_PRONOUN_VERB,in_review,,,
govern,metadata_add,,in_review,,,
governor,metadata_add,,in_review,,,
tall,metadata_add,,in_review,,,
sign,readiness_support,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,in_review,,,
signature,readiness_support,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,in_review,,,
bomb,readiness_support,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,in_review,,,
bombard,readiness_support,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,in_review,,,
nature,readiness_support,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,in_review,,,
natural,readiness_support,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,in_review,,,
heal,readiness_support,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,in_review,,,
health,readiness_support,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,in_review,,,
