word_key,micro_skill_key,support_role,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,review_notes
played_en_gb,D4_MOR_BASE_WORDS_IDENTIFY_BASE,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
player_en_gb,D4_MOR_BASE_WORDS_IDENTIFY_BASE,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
replayed_en_gb,D4_MOR_BASE_WORDS_IDENTIFY_BASE,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
hopeful_en_gb,D4_MOR_BASE_WORDS_PRESERVE_BASE,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
hopeless_en_gb,D4_MOR_BASE_WORDS_PRESERVE_BASE,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
careful_en_gb,D4_MOR_BASE_WORDS_PRESERVE_BASE,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
signature_en_gb,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
health_en_gb,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
natural_en_gb,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
action_en_gb,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,support_example,internal_authored,Katie Sanderson remaining blocker review,docs/implementation/seed-data/teaching-dictionary/candidates/2026-06-29-phase-5-source-intake,internal,"Human-reviewed remaining-blocker completion for Teaching Dictionary morphology/support readiness; candidate CSV only, not imported by this pass.",medium,approved_for_first_exposure,Human-reviewed morphology support example added to clear remaining Teaching Dictionary support/metadata blocker.
