source_ref,source_sheet,source_row,micro_skill_key,word_or_content_key,candidate_output_ref,validation_result,transformation_code,source_value,generated_candidate_value,reason,human_confirmation_required,warning_or_error_codes,human_review_status
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!2,Distractor Tiles,2,D4_MOR_BASE_WORDS_IDENTIFY_BASE,,D4_MOR_BASE_WORDS_IDENTIFY_BASE,pass,distractor_candidate_mapping,helful (corrupted base)|full (wrong suffix form),D4_MOR_BASE_WORDS_IDENTIFY_BASE,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!3,Distractor Tiles,3,D4_MOR_BASE_WORDS_PRESERVE_BASE,,D4_MOR_BASE_WORDS_PRESERVE_BASE,pass,distractor_candidate_mapping,realy (lost l)|hopless (lost e),D4_MOR_BASE_WORDS_PRESERVE_BASE,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!4,Distractor Tiles,4,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,,D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,pass,distractor_candidate_mapping,ri (misheard re)|natral (corrupted base),D4_MOR_BASE_WORDS_BASE_PLUS_PREFIX,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!5,Distractor Tiles,5,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,,D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,pass,distractor_candidate_mapping,lee (misheard ly)|nis (misheard ness),D4_MOR_BASE_WORDS_BASE_PLUS_SUFFIX,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!6,Distractor Tiles,6,D4_MOR_PREFIXES_UN,,D4_MOR_PREFIXES_UN,pass,distractor_candidate_mapping,on|an|hapy (corrupted base),D4_MOR_PREFIXES_UN,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!7,Distractor Tiles,7,D4_MOR_PREFIXES_RE_PRE,,D4_MOR_PREFIXES_RE_PRE,pass,distractor_candidate_mapping,ri|per|pri,D4_MOR_PREFIXES_RE_PRE,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!8,Distractor Tiles,8,D4_MOR_PREFIXES_DIS_MIS,,D4_MOR_PREFIXES_DIS_MIS,pass,distractor_candidate_mapping,diss|mi|spel (lost l/s),D4_MOR_PREFIXES_DIS_MIS,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!9,Distractor Tiles,9,D4_MOR_PREFIXES_IN_IM_IL_IR,,D4_MOR_PREFIXES_IN_IM_IL_IR,pass,distractor_candidate_mapping,"in (before p/l/r bases)|i (single, losing double)",D4_MOR_PREFIXES_IN_IM_IL_IR,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!10,Distractor Tiles,10,D4_MOR_PREFIXES_SUB_INTER_SUPER,,D4_MOR_PREFIXES_SUB_INTER_SUPER,pass,distractor_candidate_mapping,supper|intre|sup,D4_MOR_PREFIXES_SUB_INTER_SUPER,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!11,Distractor Tiles,11,D4_MOR_SUFFIXES_NESS,,D4_MOR_SUFFIXES_NESS,pass,distractor_candidate_mapping,nes|niss|nis,D4_MOR_SUFFIXES_NESS,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!12,Distractor Tiles,12,D4_MOR_SUFFIXES_FUL_LESS,,D4_MOR_SUFFIXES_FUL_LESS,pass,distractor_candidate_mapping,full|les,D4_MOR_SUFFIXES_FUL_LESS,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!13,Distractor Tiles,13,D4_MOR_SUFFIXES_MENT,,D4_MOR_SUFFIXES_MENT,pass,distractor_candidate_mapping,mant|mint|movment-base (move without e),D4_MOR_SUFFIXES_MENT,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!14,Distractor Tiles,14,D4_MOR_SUFFIXES_OUS,,D4_MOR_SUFFIXES_OUS,pass,distractor_candidate_mapping,us|is|ess,D4_MOR_SUFFIXES_OUS,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!15,Distractor Tiles,15,D4_MOR_SUFFIXES_ITY,,D4_MOR_SUFFIXES_ITY,pass,distractor_candidate_mapping,aty|ety|itty,D4_MOR_SUFFIXES_ITY,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!16,Distractor Tiles,16,D4_MOR_SUFFIXES_AL,,D4_MOR_SUFFIXES_AL,pass,distractor_candidate_mapping,le|el|ul,D4_MOR_SUFFIXES_AL,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!17,Distractor Tiles,17,D4_MOR_SUFFIXES_ABLE_IBLE,,D4_MOR_SUFFIXES_ABLE_IBLE,pass,distractor_candidate_mapping,ible-after-base (washible)|able-after-root (visable),D4_MOR_SUFFIXES_ABLE_IBLE,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!18,Distractor Tiles,18,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,,D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,pass,distractor_candidate_mapping,futball (corrupted first base)|bal (letter lost at join),D4_MOR_COMPOUND_WORDS_CLOSED_COMPOUNDS,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!19,Distractor Tiles,19,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,,D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,pass,distractor_candidate_mapping,icecream (wrongly glued tile)|twenty one (missing hyphen option),D4_MOR_COMPOUND_WORDS_SEPARATED_HYPHENATED,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!20,Distractor Tiles,20,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,,D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,pass,distractor_candidate_mapping,sine|mussel|no (for know),D4_MOR_WORD_FAMILIES_RELATED_WORD_SUPPORT,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!21,Distractor Tiles,21,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,pass,distractor_candidate_mapping,plesant|nachural|helth,D4_MOR_WORD_FAMILIES_PRONUNCIATION_SHIFT,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!22,Distractor Tiles,22,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,pass,distractor_candidate_mapping,pot (corrupted port)|stuct|rup,D4_MOR_ROOTS_COMMON_LATIN_ROOTS,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!23,Distractor Tiles,23,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,pass,distractor_candidate_mapping,fone|foto|graf,D4_MOR_ROOTS_COMMON_GREEK_ROOTS,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!24,Distractor Tiles,24,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,pass,distractor_candidate_mapping,thurm|miter|senti,D4_MOR_ROOTS_SCIENCE_MATH_ROOTS,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Distractor Tiles!25,Distractor Tiles,25,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,pass,distractor_candidate_mapping,acshun|medisin|akt,D4_MOR_ROOTS_ROOT_FAMILY_SPELLING,Split pipe-separated distractor tiles into explicit distractor identities.,TRUE,,human_review_required
source-artifacts/2026-07-10-d4-mor/D4_MOR_content_workbook_v1.xlsx#Micro Skill Content!2,Micro Skill Content,2,D4_MOR_BASE_WORDS_IDENTIFY_BASE,,D4_MOR_BASE_WORDS_IDENTIFY_BASE::2026-07-10.v1,pass,candidate_content_mapping,D4_MOR_BASE_WORDS_IDENTIFY_BASE,D4_MOR_BASE_WORDS_IDENTIFY_BASE::2026-07-10.v1,Mapped retained authored content to separate review-ready 7-UI candidate without touching runtime content selection.,TRUE,,human_review_required
