passage_id,source_text,authored_by,authorship_confirmed,source_group
v3-its-its-0001,"The fox pushed its paw against the red scarf while everyone watched. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0002,"The tree dropped its last leaf during the storm, and the children watched it spin across the science lab. The class carried on without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0003,"Before the lesson began, the rabbit wagged its ear beside the back door, and Freya smiled. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0004,"The dog pushed its collar against the notebook while everyone watched. A few minutes later, the group moved on.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0005,"Because the machine was shaking, Oliver checked its loose handle before switching it on again. That detail mattered when they tidied the room.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0006,"The tree dropped its last leaf during the storm, and the children watched it spin across the music room. That detail mattered when they tidied the room.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0007,The team returned the camera to its padded case before leaving the clubhouse. No one needed to change the plan.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0008,"Ruby noticed that the robot had lost its small wheel near the coat rack. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0009,"After lunch, the parrot wagged its collar beside the teacher's desk, and Ava smiled. A few minutes later, the group moved on.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0010,"The team returned the camera to its padded case before leaving the sports hall. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0011,"The school club put its new poster beside the trophy cabinet, although the old one was still readable. That detail mattered when they tidied the room.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0012,"Because the machine was shaking, Mia checked its loose handle before switching it on again. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0013,Everyone admired the model for its careful design and tiny moving parts. That detail mattered when they tidied the room.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0014,"The school club put its new poster beside the whiteboard, although the old one was still readable. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0015,The team returned the camera to its padded case before leaving the playground. That detail mattered when they tidied the room.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0016,"The tree dropped its last leaf during the storm, and the children watched it spin across the garden. That detail mattered when they tidied the room.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0017,Isla noticed that the robot had lost its small wheel near the back door. The class carried on without any delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0018,"Because the machine was shaking, Isla checked its loose handle before switching it on again. Nobody noticed until the end of the lesson.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0019,"Because the machine was shaking, Leo checked its loose handle before switching it on again. That detail mattered when they tidied the room.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0020,"The tree dropped its last leaf during the storm, and the children watched it spin across the sports hall. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0021,"The team returned the camera to its padded case before leaving the theatre. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0022,"The tree dropped its last leaf during the storm, and the children watched it spin across the library. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0023,"Before the match, the kitten wagged its feather beside the bookshelf, and Mia smiled. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0024,"While everyone packed away, the pony wagged its nose beside the whiteboard, and Ivy smiled. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0025,"The school club put its new poster beside the bookshelf, although the old one was still readable. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0026,"The school club put its new poster beside the storage box, although the old one was still readable. That detail mattered when they tidied the room.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0027,"The school club put its new poster beside the back door, although the old one was still readable. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0028,"The tree dropped its last leaf during the storm, and the children watched it spin across the workshop. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0029,Alfie noticed that the robot had lost its small wheel near the radiator. The class carried on without any delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0030,Theo noticed that the robot had lost its small wheel near the piano. Nobody noticed until the end of the lesson.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0031,"The tree dropped its last leaf during the storm, and the children watched it spin across the music room. Nobody noticed until the end of the lesson.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0032,"The dog pushed its collar against the chess clock while everyone watched. A few minutes later, the group moved on.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0033,"The tree dropped its last leaf during the storm, and the children watched it spin across the kitchen. No one needed to change the plan.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0034,Sophie noticed that the robot had lost its small wheel near the bookshelf. The class carried on without any delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0035,"Because the machine was shaking, Arthur checked its loose handle before switching it on again. The class carried on without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0036,"Because the machine was shaking, Ella checked its loose handle before switching it on again. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0037,"Because the machine was shaking, Theo checked its loose handle before switching it on again. The teacher checked again before everyone left.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0038,"When the bell rang, the hamster wagged its tail beside the teacher's desk, and Isla smiled. A few minutes later, the group moved on.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0039,"Although the room was busy, the cat wagged its leg beside the garden gate, and Oscar smiled. The class carried on without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0040,"The hamster pushed its feather against the lunch box while everyone watched. A few minutes later, the group moved on.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0041,"The tree dropped its last leaf during the storm, and the children watched it spin across the garden. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0042,"As the class lined up, the cat wagged its lead beside the teacher's desk, and Alfie smiled. A few minutes later, the group moved on.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0043,"Finn noticed that the robot had lost its small wheel near the garden gate. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0044,"Because the machine was shaking, Oscar checked its loose handle before switching it on again. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0045,"Although the room was busy, the fox wagged its lead beside the whiteboard, and Finn smiled. That detail mattered when they tidied the room.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0046,"The tree dropped its last leaf during the storm, and the children watched it spin across the library. By home time, everything had been put back in order.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0047,"Everyone admired the model for its careful design and tiny moving parts. A few minutes later, the group moved on.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0048,"Once the rehearsal finished, the dog wagged its tail beside the noticeboard, and Jack smiled. The class carried on without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0049,"The tree dropped its last leaf during the storm, and the children watched it spin across the kitchen. Nobody noticed until the end of the lesson.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0050,"Everyone admired the model for its careful design and tiny moving parts. Later, everyone laughed about how easy it was to miss.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0051,"When the bell rang, the hamster wagged its lead beside the teacher's desk, and Ruby smiled. The class carried on without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0052,Rosie noticed that the robot had lost its small wheel near the whiteboard. The class carried on without any delay.,Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
v3-its-its-0053,"Because the machine was shaking, Evie checked its loose handle before switching it on again. The class carried on without any delay.",Katie Sanderson,TRUE,THERE_THEIR_THEYRE_V3_AI_GENERATED_APPROVED
