passage_id,source_text,source_reference,authored_by,authorship_confirmed,source_group,notes,authoring_prompt,planned_protected_tag,planned_classification,planned_supported_construction,planned_declared_construction,planned_declared_subtype
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_01,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'be used to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_02,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'look forward to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_03,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'objected to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_04,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'admitted to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_05,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'committed to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_06,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'accustomed to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_07,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'devoted ... to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_08,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'confessed to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_09,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'resorted to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10_10,,,TO_TOO_TWO_V3_GERUND_SUPPLEMENT_2026-09-10,"Human-authored prose only. Do not copy AI/example text. After authoring, run governed occurrence intake to derive case_id, spans and fingerprints.",Write a natural passage containing 'opposed to' followed by an -ing form; the focus word must be the 'to'.,gerund,VALID,FALSE,not_applicable,not_applicable
